"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"1",0.454545454545455,0.247244030287617,0.661601424257838,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",5,NA,NA,NA
"2",0.352941176470588,0.193486200928915,0.511549093188732,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",5,NA,NA,NA
"3",0.433333333333333,0.258565022640197,0.610008310693136,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",5,NA,NA,NA
"4",0.391304347826087,0.1933457436165,0.588732517253065,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",5,NA,NA,NA
"5",0.32,0.13669654655991,0.50337545344009,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",5,NA,NA,NA
"6",0.32,0.138616306977476,0.503143693022524,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",5,NA,NA,NA
"7",0.125,-0.034217557210843,0.286905057210843,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",5,NA,NA,NA
"8",0.52,0.326350610379888,0.716729389620112,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",5,NA,NA,NA
"9",0.384615384615385,0.195474671629368,0.571517636062939,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",5,NA,NA,NA
"10",0.0909090909090909,-0.245272847562074,0.420963756652984,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",5,"",FALSE,0
"11",0.0454545454545455,-0.222861901485312,0.312761901485312,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",5,"",FALSE,0
"12",-0.1,-0.350465825542107,0.15157915887544,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",5,"",FALSE,0
"13",0.0869565217391304,-0.148775593450731,0.325688636928992,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",5,"",FALSE,0
"14",0.0434782608695652,-0.209637742821766,0.295142090647853,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",5,"",FALSE,0
"15",0,-0.272482844800701,0.271290844800701,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",5,"",FALSE,0
"16",-0.4375,-0.679682498163093,-0.193067501836907,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",5,"",TRUE,1
"17",-0.1875,-0.445141425221753,0.0705164252217533,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",5,"",FALSE,0
"18",0.16,-0.102641473900758,0.420985473900758,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",5,"",FALSE,0
"19",0.473684210526316,0.251283180912271,0.698790503298255,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",10,NA,NA,NA
"20",0.352941176470588,0.191376550410784,0.51354109664804,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",10,NA,NA,NA
"21",0.444444444444444,0.25798156500449,0.630485101662177,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",10,NA,NA,NA
"22",0.380952380952381,0.171677728395312,0.590941319223735,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",10,NA,NA,NA
"23",0.347826086956522,0.153204478310985,0.542778130384667,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",10,NA,NA,NA
"24",0.315789473684211,0.108700154539311,0.525226161250163,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",10,NA,NA,NA
"25",0.133333333333333,-0.0368789372673428,0.305105603934009,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",10,NA,NA,NA
"26",0.541666666666667,0.343183171277298,0.741058495389369,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",10,NA,NA,NA
"27",0.384615384615385,0.197541544198346,0.571381532724731,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",10,NA,NA,NA
"28",0.105263157894737,-0.185494328382373,0.393010117856057,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",10,"",FALSE,0
"29",0.105263157894737,-0.185289257471133,0.391457678523765,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"30",-0.111111111111111,-0.347282628637196,0.128052999007567,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"31",0.0476190476190476,-0.263579201673677,0.355693487387963,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",10,"",FALSE,0
"32",0,-0.253744998098365,0.254113419150996,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"33",0.0526315789473684,-0.255660670692206,0.362155407534312,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"34",-0.4,-0.64684480652535,-0.152461860141317,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",10,"",TRUE,1
"35",-0.2,-0.478846372934075,0.0748463729340746,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"36",0.208333333333333,-0.100580573288322,0.518172239954989,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"37",0.444444444444444,0.213906361100861,0.673938083343584,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"38",0.34375,0.182471371633292,0.506166128366708,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",15,NA,NA,NA
"39",0.444444444444444,0.256772921269993,0.631597449100377,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"40",0.421052631578947,0.199929803420469,0.642417565000584,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"41",0.347826086956522,0.15219293346311,0.543154892623846,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",15,NA,NA,NA
"42",0.333333333333333,0.115221046562528,0.552201175659694,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"43",0.142857142857143,-0.0422984119986415,0.324112697712927,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"44",0.541666666666667,0.343205559711777,0.741527773621556,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",15,NA,NA,NA
"45",0.375,0.182837523946241,0.567570809387093,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"46",0.111111111111111,-0.148604667068554,0.371293555957443,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",15,"",FALSE,0
"47",0.111111111111111,-0.149647461189786,0.374603016745341,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"48",-0.111111111111111,-0.347456841166334,0.126434618944112,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"49",0.0526315789473684,-0.216749119123435,0.324370171755014,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",15,"",FALSE,0
"50",0.0555555555555556,-0.271785536401998,0.386085536401998,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"51",0,-0.300087538215392,0.306731982659837,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"52",-0.428571428571429,-0.752851420926188,-0.102862864788097,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",15,"",TRUE,1
"53",-0.214285714285714,-0.507936643389269,0.0808937862464118,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",15,"",FALSE,0
"54",0.166666666666667,-0.133936144689986,0.466094478023319,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",15,"",FALSE,0
"55",0.444444444444444,0.211614565135024,0.676329879309421,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",20,NA,NA,NA
"56",0.34375,0.179182798559304,0.509517201440696,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",20,NA,NA,NA
"57",0.444444444444444,0.258578139190279,0.633688527476387,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",20,NA,NA,NA
