"","mean_CI","low_CI","high_CI","category_combination","X5","question","orderCategoryCombination","filterType","filterValue","significantDifference","sizeSignificantDifference"
"1",1.38421604128651,0.992952257233267,1.77449776386212,"focus,WHAT_Ql","","log_diffA1","focus: WHAT_Ql","p",5,NA,NA
"2",2.08868550349983,1.65358349534386,2.52082042656197,"focus,WHAT_Qn","","log_diffA1","focus: WHAT_Qn","p",5,NA,NA
"3",2.42663315912981,2.01696749234,2.84059631749353,"focus,WHERE","","log_diffA1","focus: WHERE","p",5,NA,NA
"4",1.92948203492245,1.51980875629778,2.33809139717763,"focus,WHAT_Ql","","log_diffA2","focus: WHAT_Ql","p",5,NA,NA
"5",2.35809925063977,2.05307206675217,2.66226227613325,"focus,WHAT_Qn","","log_diffA2","focus: WHAT_Qn","p",5,NA,NA
"6",3.12753514746727,2.73074903314096,3.52370555537181,"focus,WHERE","","log_diffA2","focus: WHERE","p",5,NA,NA
"7",1.6173937364878,1.16936250399652,2.06346912408095,"focus,WHAT_Ql","","log_diffA3","focus: WHAT_Ql","p",5,NA,NA
"8",1.54596927395313,1.0843072297387,2.00633587138063,"focus,WHAT_Qn","","log_diffA3","focus: WHAT_Qn","p",5,NA,NA
"9",1.94440482029746,1.52408519304158,2.36702633127021,"focus,WHERE","","log_diffA3","focus: WHERE","p",5,NA,NA
"10",-0.737237501508128,-1.34446318037935,-0.119164129409564,"focus: WHAT_Ql-WHAT_Qn","","log_diffA1","focus: WHAT_Ql-WHAT_Qn","p",5,TRUE,1
"11",-0.975983785735476,-1.57716224400109,-0.375214605654731,"focus: WHAT_Ql-WHERE","","log_diffA1","focus: WHAT_Ql-WHERE","p",5,TRUE,1
"12",-0.168201442488679,-0.803817305402179,0.472731608406102,"focus: WHAT_Qn-WHERE","","log_diffA1","focus: WHAT_Qn-WHERE","p",5,FALSE,0
"13",-0.353287039150152,-0.87137556449265,0.161367783481611,"focus: WHAT_Ql-WHAT_Qn","","log_diffA2","focus: WHAT_Ql-WHAT_Qn","p",5,FALSE,0
"14",-1.18992717611484,-1.72342323589924,-0.65785161014063,"focus: WHAT_Ql-WHERE","","log_diffA2","focus: WHAT_Ql-WHERE","p",5,TRUE,1
"15",-0.702700611692591,-1.25959619217362,-0.156368585098932,"focus: WHAT_Qn-WHERE","","log_diffA2","focus: WHAT_Qn-WHERE","p",5,TRUE,1
"16",0.130642397943358,-0.460240307961966,0.7218881869358,"focus: WHAT_Ql-WHAT_Qn","","log_diffA3","focus: WHAT_Ql-WHAT_Qn","p",5,FALSE,0
"17",-0.202978679260402,-0.799085611448498,0.391436150676687,"focus: WHAT_Ql-WHERE","","log_diffA3","focus: WHAT_Ql-WHERE","p",5,FALSE,0
"18",-0.147054537808431,-0.752481759966348,0.455754030555261,"focus: WHAT_Qn-WHERE","","log_diffA3","focus: WHAT_Qn-WHERE","p",5,FALSE,0
"19",1.37816233714289,0.96981623190563,1.79013800068458,"focus,WHAT_Ql","","log_diffA1","focus: WHAT_Ql","p",10,NA,NA
"20",1.9129388810491,1.44632004034153,2.39096058756628,"focus,WHAT_Qn","","log_diffA1","focus: WHAT_Qn","p",10,NA,NA
"21",2.51334164224425,2.02707497558371,3.00196414694806,"focus,WHERE","","log_diffA1","focus: WHERE","p",10,NA,NA
"22",1.97815587048443,1.57489779188036,2.38245516167718,"focus,WHAT_Ql","","log_diffA2","focus: WHAT_Ql","p",10,NA,NA
"23",2.12342657726276,1.79316853880737,2.45287092463407,"focus,WHAT_Qn","","log_diffA2","focus: WHAT_Qn","p",10,NA,NA
"24",3.07631449080732,2.64499847653496,3.50174011817144,"focus,WHERE","","log_diffA2","focus: WHERE","p",10,NA,NA
"25",1.54502823045657,1.07198361654459,2.02238484366774,"focus,WHAT_Ql","","log_diffA3","focus: WHAT_Ql","p",10,NA,NA
"26",1.24248875851609,0.734937573350316,1.75754749233847,"focus,WHAT_Qn","","log_diffA3","focus: WHAT_Qn","p",10,NA,NA
"27",1.95403317077582,1.49823107488477,2.4029062533589,"focus,WHERE","","log_diffA3","focus: WHERE","p",10,NA,NA
"28",-0.406140482014482,-1.15554431621315,0.343688260337282,"focus: WHAT_Ql-WHAT_Qn","","log_diffA1","focus: WHAT_Ql-WHAT_Qn","p",10,FALSE,0
"29",-1.21367554295341,-1.92328718845317,-0.510995580452547,"focus: WHAT_Ql-WHERE","","log_diffA1","focus: WHAT_Ql-WHERE","p",10,TRUE,1
