"","mean_CI","low_CI","high_CI","category_combination","X5","question","orderCategoryCombination","filterType","filterValue","significantDifference","sizeSignificantDifference"
"1",1.46477165409285,1.08331521881036,1.83894777376742,"focus,WHAT_Ql","","log_diffA1","focus: WHAT_Ql","p",0,NA,NA
"2",2.20271299826742,1.84821573312807,2.55464829857277,"focus,WHAT_Qn","","log_diffA1","focus: WHAT_Qn","p",0,NA,NA
"3",2.32833235620515,1.93385771734015,2.72568919961266,"focus,WHERE","","log_diffA1","focus: WHERE","p",0,NA,NA
"4",1.84463449969626,1.47508715139844,2.21668091420134,"focus,WHAT_Ql","","log_diffA2","focus: WHAT_Ql","p",0,NA,NA
"5",2.35044582944712,2.0819997356613,2.61824926287908,"focus,WHAT_Qn","","log_diffA2","focus: WHAT_Qn","p",0,NA,NA
"6",3.11589322729162,2.76659514826438,3.46649107952372,"focus,WHERE","","log_diffA2","focus: WHERE","p",0,NA,NA
"7",1.62570442607408,1.22334863417965,2.0214835080749,"focus,WHAT_Ql","","log_diffA3","focus: WHAT_Ql","p",0,NA,NA
"8",1.59602692478911,1.22009899680384,1.97206089894964,"focus,WHAT_Qn","","log_diffA3","focus: WHAT_Qn","p",0,NA,NA
"9",1.85644763189901,1.48666580230332,2.23152019323331,"focus,WHERE","","log_diffA3","focus: WHERE","p",0,NA,NA
"10",-0.742146959566513,-1.27979506581485,-0.214795741144329,"focus: WHAT_Ql-WHAT_Qn","","log_diffA1","focus: WHAT_Ql-WHAT_Qn","p",0,TRUE,1
"11",-0.794195088942856,-1.38984015674545,-0.201216754439295,"focus: WHAT_Ql-WHERE","","log_diffA1","focus: WHAT_Ql-WHERE","p",0,TRUE,1
"12",0.0259720907158794,-0.54275656683555,0.593293155351734,"focus: WHAT_Qn-WHERE","","log_diffA1","focus: WHAT_Qn-WHERE","p",0,FALSE,0
"13",-0.562219712483886,-1.00507428204975,-0.124051908706531,"focus: WHAT_Ql-WHAT_Qn","","log_diffA2","focus: WHAT_Ql-WHAT_Qn","p",0,TRUE,1
"14",-1.2991565533487,-1.83147886636184,-0.769386635416331,"focus: WHAT_Ql-WHERE","","log_diffA2","focus: WHAT_Ql-WHERE","p",0,TRUE,1
"15",-0.697023910662623,-1.14407068467527,-0.249393258579561,"focus: WHAT_Qn-WHERE","","log_diffA2","focus: WHAT_Qn-WHERE","p",0,TRUE,1
"16",-0.0585797004033193,-0.568507557297058,0.442216834594984,"focus: WHAT_Ql-WHAT_Qn","","log_diffA3","focus: WHAT_Ql-WHAT_Qn","p",0,FALSE,0
"17",-0.0833856503593469,-0.642685306552928,0.476293662151882,"focus: WHAT_Ql-WHERE","","log_diffA3","focus: WHAT_Ql-WHERE","p",0,FALSE,0
"18",0.00998811644638859,-0.45566545642562,0.475661678900534,"focus: WHAT_Qn-WHERE","","log_diffA3","focus: WHAT_Qn-WHERE","p",0,FALSE,0
"19",1.38421604128651,0.997269369078925,1.77651463513542,"focus,WHAT_Ql","","log_diffA1","focus: WHAT_Ql","p",5,NA,NA
"20",2.08868550349983,1.66004573259192,2.51328614072108,"focus,WHAT_Qn","","log_diffA1","focus: WHAT_Qn","p",5,NA,NA
"21",2.42663315912981,2.01185789662653,2.84002944568464,"focus,WHERE","","log_diffA1","focus: WHERE","p",5,NA,NA
"22",1.92948203492245,1.52647889336365,2.33462472938547,"focus,WHAT_Ql","","log_diffA2","focus: WHAT_Ql","p",5,NA,NA
"23",2.35809925063977,2.0537138430352,2.66301817895649,"focus,WHAT_Qn","","log_diffA2","focus: WHAT_Qn","p",5,NA,NA
"24",3.12753514746727,2.72614301055581,3.52946606688436,"focus,WHERE","","log_diffA2","focus: WHERE","p",5,NA,NA
"25",1.6173937364878,1.17204090970497,2.06530959967029,"focus,WHAT_Ql","","log_diffA3","focus: WHAT_Ql","p",5,NA,NA
"26",1.54596927395313,1.08515058300252,2.00988835892313,"focus,WHAT_Qn","","log_diffA3","focus: WHAT_Qn","p",5,NA,NA
"27",1.94440482029746,1.51766454934285,2.3676796527699,"focus,WHERE","","log_diffA3","focus: WHERE","p",5,NA,NA
"28",-0.737237501508128,-1.3506022569969,-0.124601991539845,"focus: WHAT_Ql-WHAT_Qn","","log_diffA1","focus: WHAT_Ql-WHAT_Qn","p",5,TRUE,1
"29",-0.975983785735476,-1.57504526278027,-0.373039977095086,"focus: WHAT_Ql-WHERE","","log_diffA1","focus: WHAT_Ql-WHERE","p",5,TRUE,1
"30",-0.168201442488679,-0.808251024855863,0.460543892747051,"focus: WHAT_Qn-WHERE","","log_diffA1","focus: WHAT_Qn-WHERE","p",5,FALSE,0
