"","mean_CI","low_CI","high_CI","category_combination","X5","question","orderCategoryCombination","filterType","filterValue","significantDifference","sizeSignificantDifference"
"1",0.373134328358209,0.257611691158558,0.489483831229502,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",0,NA,NA
"2",0.402173913043478,0.301421683809276,0.502202229234202,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",0,NA,NA
"3",0.376470588235294,0.274216815691886,0.478286713719879,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",0,NA,NA
"4",0.0149253731343284,-0.136080625005929,0.167155251871601,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",0,FALSE,0
"5",0.0298507462686567,-0.136568081854524,0.196666589317211,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",0,FALSE,0
"6",0.0235294117647059,-0.124923007408555,0.173163007408555,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",0,FALSE,0
"7",0.344262295081967,0.224135475803075,0.463215343869057,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",5,NA,NA
"8",0.392857142857143,0.288462482264572,0.498451803449714,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",5,NA,NA
"9",0.382716049382716,0.278700442000352,0.486748940715697,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",5,NA,NA
"10",-0.0163934426229508,-0.190544283156694,0.15618362741899,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",5,FALSE,0
"11",0,-0.181199391511917,0.180878080036508,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",5,FALSE,0
"12",0,-0.140460134900747,0.140277418851364,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",5,FALSE,0
"13",0.345454545454545,0.220125407913775,0.472947319358953,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",10,NA,NA
"14",0.407407407407407,0.301811502694283,0.514704546688433,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",10,NA,NA
"15",0.388888888888889,0.276542970372958,0.501923696293708,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",10,NA,NA
"16",-0.0363636363636364,-0.223793237908082,0.150818692453537,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",10,FALSE,0
"17",0.0181818181818182,-0.167084226205402,0.202553317114493,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",10,FALSE,0
"18",0.0138888888888889,-0.140883393346988,0.165491726680321,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",10,FALSE,0
"19",0.352941176470588,0.221379975627274,0.484416102804099,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",15,NA,NA
"20",0.40506329113924,0.29794514462648,0.513163716133014,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",15,NA,NA
"21",0.391304347826087,0.275520314846838,0.506418815587944,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",15,NA,NA
"22",-0.0588235294117647,-0.241809081300635,0.124365944045733,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",15,FALSE,0
"23",0,-0.198238361516207,0.195763851712286,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",15,FALSE,0
"24",0,-0.166978128277582,0.165488273205118,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",15,FALSE,0
"25",0.377777777777778,0.237100932382223,0.519196845395555,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",20,NA,NA
"26",0.40506329113924,0.297363447695369,0.513583387747669,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",20,NA,NA
"27",0.402985074626866,0.285055276831657,0.521055170929537,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",20,NA,NA
"28",-0.0666666666666667,-0.256703267039922,0.122258822595477,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",20,FALSE,0
"29",0.0666666666666667,-0.12222442003324,0.259868864477685,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",20,FALSE,0
"30",-0.0149253731343284,-0.179208603931228,0.148593678558094,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",20,FALSE,0
"31",0.341463414634146,0.196769041789049,0.485669982601195,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",25,NA,NA
"32",0.41025641025641,0.300502135833778,0.51834658211494,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",25,NA,NA
"33",0.415384615384615,0.298267874798497,0.534005971355349,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",25,NA,NA
"34",-0.0975609756097561,-0.309749316076997,0.112598096564802,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",25,FALSE,0
"35",0.024390243902439,-0.158818568161309,0.207886860844235,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",25,FALSE,0
"36",-0.0307692307692308,-0.209110218808218,0.149731757269756,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",25,FALSE,0
"37",0.358974358974359,0.208633825459851,0.508058482232457,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",30,NA,NA
"38",0.414285714285714,0.300081423100338,0.530287148328234,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",30,NA,NA
"39",0.4,0.274582791657386,0.523717208342614,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",30,NA,NA
"40",-0.0512820512820513,-0.253477841228637,0.148882969433765,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",30,FALSE,0
"41",0.0256410256410256,-0.181063497939099,0.232817344092945,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",30,FALSE,0
"42",-0.0166666666666667,-0.200142446998749,0.164459113665415,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",30,FALSE,0
"43",0.368421052631579,0.219514939745319,0.519127165517839,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",35,NA,NA
"44",0.417910447761194,0.297954008127071,0.53755942470875,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",35,NA,NA
"45",0.413793103448276,0.286942435467527,0.541395495566956,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",35,NA,NA
"46",-0.0526315789473684,-0.271283225741909,0.16277269942612,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",35,FALSE,0
"47",0.0263157894736842,-0.183653793441008,0.23300116186206,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",35,FALSE,0
"48",-0.0344827586206897,-0.192324298943454,0.124748436874489,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",35,FALSE,0
"49",0.375,0.206207325297854,0.544817674702146,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",40,NA,NA
"50",0.421875,0.299909542459819,0.543218582540181,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",40,NA,NA
"51",0.436363636363636,0.30618812521167,0.566964602061057,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",40,NA,NA
"52",-0.0625,-0.291597400221083,0.166284900221083,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",40,FALSE,0
"53",-0.03125,-0.284517453930253,0.222111203930253,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",40,FALSE,0
"54",-0.0545454545454545,-0.230279770751568,0.124399770751569,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",40,FALSE,0
"55",0.37037037037037,0.185197874741487,0.553550273406661,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",45,NA,NA
"56",0.423728813559322,0.297585029140094,0.549048869164991,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",45,NA,NA
"57",0.425925925925926,0.294053455860158,0.55813543302873,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",45,NA,NA
"58",-0.037037037037037,-0.273809799868627,0.200602392461219,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",45,FALSE,0
"59",-0.037037037037037,-0.319372279599848,0.242668575896144,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",45,FALSE,0
"60",0,-0.197466050393708,0.19731790224556,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",45,FALSE,0
"61",0.4,0.207926895403496,0.592313104596504,"dComplex_focus,E","","reverseB","focus complexity: Easy","p",50,NA,NA
"62",0.454545454545455,0.323404392113915,0.586857426067903,"dComplex_focus,M","","reverseB","focus complexity: Medium","p",50,NA,NA
"63",0.431372549019608,0.296141807791161,0.567701329463741,"dComplex_focus,H","","reverseB","focus complexity: Hard","p",50,NA,NA
"64",-0.04,-0.298631438023325,0.217271438023325,"dComplex_focus,E_M","","reverseB","focus complexity: Easy-Medium","p",50,FALSE,0
"65",0,-0.316357377621311,0.315621377621311,"dComplex_focus,E_H","","reverseB","focus complexity: Easy-Hard","p",50,FALSE,0
"66",0.0392156862745098,-0.155001084485493,0.235361868799219,"dComplex_focus,M_H","","reverseB","focus complexity: Medium-Hard","p",50,FALSE,0
