"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"1",0.478260869565217,0.276421371994159,0.68082210626671,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",0,NA,NA,NA
"2",0.375,0.227594425112448,0.526445574887552,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",0,NA,NA,NA
"3",0.433333333333333,0.255673472207628,0.608846527792372,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",0,NA,NA,NA
"4",0.384615384615385,0.195658660703755,0.573518262373168,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",0,NA,NA,NA
"5",0.32,0.135401108551901,0.503822891448099,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",0,NA,NA,NA
"6",0.310344827586207,0.140546651862383,0.479549899861755,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",0,NA,NA,NA
"7",0.222222222222222,0.0329543790839389,0.412023398693839,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",0,NA,NA,NA
"8",0.518518518518518,0.331886141466647,0.706224969644464,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",0,NA,NA,NA
"9",0.384615384615385,0.196730615268261,0.571369384731739,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",0,NA,NA,NA
"10",0.130434782608696,-0.196864514695363,0.451229732086667,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",0,"",FALSE,0
"11",0.0869565217391304,-0.230948371752563,0.401304893491694,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",0,"",FALSE,0
"12",-0.133333333333333,-0.372635697624726,0.109115697624726,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",0,"",FALSE,0
"13",0.08,-0.190829746950304,0.352269746950304,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",0,"",FALSE,0
"14",0.0384615384615385,-0.231147156741515,0.315724079818438,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",0,"",FALSE,0
"15",0,-0.268522962826275,0.266786962826275,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",0,"",FALSE,0
"16",-0.333333333333333,-0.598889736713877,-0.0650769299527895,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",0,"",TRUE,1
"17",-0.0555555555555556,-0.302492347893281,0.186514570115503,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",0,"",FALSE,0
"18",0.115384615384615,-0.126844566219474,0.359483027757935,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",0,"",FALSE,0
"19",0.454545454545455,0.243785837277579,0.663268708176966,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",5,NA,NA,NA
"20",0.352941176470588,0.191265579121151,0.516152067937672,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",5,NA,NA,NA
"21",0.433333333333333,0.25466388694687,0.611149446386464,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",5,NA,NA,NA
