cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",15.16,15.53,34.73,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_245",27.44,24.93,10.2,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_246",46.74,43.36,18.81,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_247",38.2,34.69,52.52,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_248",78.8,77.49,29.47,false,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_249",21.53,34.69,21.39,false,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",56.12,56.14,6.47,false,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_251",39.6,27.34,12.07,true,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_252",34.32,42.6,6.36,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_253",15.47,15.53,27.54,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_254",21.74,24.93,11.95,false,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_255",41.63,43.36,25.41,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_256",36.73,34.69,18.99,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_257",76.5,77.49,21.05,true,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_258",26.05,34.69,17.91,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_259",56.36,56.14,15.86,true,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_260",24.71,27.34,20.74,false,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_261",40,42.6,29.09,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_262",18.04,15.53,34.73,true,"WHAT_Qn","Easy","EEM","hard"
"cntrQ_263",27.81,24.93,26.53,true,"WHAT_Qn","Easy","EEH","hard"
"cntrQ_264",43.46,43.36,15.84,false,"WHAT_Qn","Easy","EME","hard"
"cntrQ_265",27.69,34.69,20.77,false,"WHAT_Qn","Easy","EMM","hard"
"cntrQ_266",75.14,77.49,21.32,true,"WHAT_Qn","Easy","EMH","hard"
"cntrQ_267",25.26,34.69,20.32,false,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_268",53.25,56.14,16.5,true,"WHAT_Qn","Easy","EHM","hard"
"cntrQ_269",26.87,27.34,18.89,true,"WHAT_Qn","Easy","EHH","hard"
"cntrQ_270",44.65,42.6,24.85,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_271",34.04,84.16,34.04,true,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_272",8.13,18.7,23.98,true,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_273",4.53,15.02,22.43,false,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_274",16.76,54.19,23.09,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_275",4.73,15.47,16.88,false,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_276",12.75,33.53,40.39,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_277",0,3.7,52.55,true,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_278",13.28,51.61,23.55,false,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_279",22.43,78.74,22.43,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_280",21.75,84.16,22.7,true,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_281",5.69,18.7,38.62,false,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_282",2.88,15.02,19.96,true,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_283",16.57,54.19,38.55,false,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_284",4.6,15.47,22.12,true,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_285",5.49,33.53,20.2,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_286",0,3.7,29.63,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_287",14.13,51.61,48.61,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_288",21.5,78.74,21.5,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_289",7.33,84.16,13.71,true,"WHAT_Ql","Easy","EEM","hard"
"cntrQ_290",0,18.7,20.73,true,"WHAT_Ql","Easy","EEH","hard"
"cntrQ_291",9.05,15.02,25.51,false,"WHAT_Ql","Easy","MEE","hard"
"cntrQ_292",19.74,54.19,33.33,false,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_293",4.48,15.47,26.98,true,"WHAT_Ql","Easy","MEH","hard"
"cntrQ_294",5.88,33.53,27.25,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_295",0,3.7,27.78,true,"WHAT_Ql","Easy","HEM","hard"
"cntrQ_296",6.21,51.61,18.2,true,"WHAT_Ql","Easy","HEH","hard"
"cntrQ_297",13.55,78.74,20.09,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_298",14.85,16.09,24.17,true,"WHERE","Easy","EME","easy"
"cntrQ_299",21.2,14.87,40.21,false,"WHERE","Easy","EHE","easy"
"cntrQ_300",23.44,16.03,14.4,true,"WHERE","Easy","MEE","easy"
"cntrQ_301",22.14,20.11,8.56,false,"WHERE","Easy","MME","easy"
"cntrQ_302",24.56,18.8,39.29,false,"WHERE","Easy","MHE","easy"
"cntrQ_303",22.82,19.96,12.3,false,"WHERE","Easy","HEE","easy"
"cntrQ_304",9.62,15.73,11.04,true,"WHERE","Easy","HME","easy"
"cntrQ_305",14.59,18.52,14.47,false,"WHERE","Easy","HHE","easy"
"cntrQ_306",12.12,15.53,19.76,true,"WHERE","Easy","EEE","easy"
