ResponseId,Question_Block,TimeSubmitSeconds,Agreement_Avg-Higher,Baseline avg,Bool_Avg-Higher,Confidence_Avg-Higher,Answer_More-Variation,Baseline var,Bool_More-Variation,Confidence_More-Variation
R_3fIemEpBQe7biQb,9,22.131,1,1,1,5,1,1,1,5
R_1LRSdClA9Cb8qIC,9,23.189,1,1,1,4,0,1,0,3
R_1ig6OyTdlwckPV7,6,24.07,1,1,1,5,-1,1,0,4
R_1LRSdClA9Cb8qIC,6,24.084,1,1,1,5,-1,1,0,5
R_1LRSdClA9Cb8qIC,8,26.152,1,-1,0,3,1,-1,0,3
R_1LRSdClA9Cb8qIC,5,26.351,1,1,1,3,0,-1,0,3
R_1LSfV7EaEVRuizJ,9,26.416,-1,1,0,4,1,1,1,4
R_AAj09muI0chchJn,7,26.547,-1,1,0,5,-1,1,0,5
R_1KxokZAgw0RBDUl,8,26.897,-1,-1,1,4,0,-1,0,1
R_25LsLMyzZZzTIq6,8,27.198,0,-1,0,4,0,-1,0,4
R_1KxokZAgw0RBDUl,7,28.007,1,1,1,2,-1,1,0,2
R_1LRSdClA9Cb8qIC,7,29.177,-1,1,0,4,1,1,1,4
R_0oiv4S7O1SCQgRr,9,29.982,1,1,1,3,1,1,1,4
R_3fIemEpBQe7biQb,7,30.022,0,1,0,3,0,1,0,3
R_3PzuW4dQwJWA9yg,9,31.039,1,1,1,4,-1,1,0,4
R_AAj09muI0chchJn,8,31.488,0,-1,0,5,0,-1,0,5
R_Dkm0jBTLY5OkQpP,6,31.652,1,1,1,5,-1,1,0,5
R_AAj09muI0chchJn,5,31.986,-1,1,0,5,-1,-1,1,5
R_Dkm0jBTLY5OkQpP,9,32.214,1,1,1,5,-1,1,0,5
R_1LSfV7EaEVRuizJ,8,32.564,-1,-1,1,3,-1,-1,1,4
R_3PzuW4dQwJWA9yg,8,32.925,1,-1,0,4,0,-1,0,3
R_0oiv4S7O1SCQgRr,7,32.947,0,1,0,3,0,1,0,2
R_1LSfV7EaEVRuizJ,6,33.588,1,1,1,4,-1,1,0,4
R_AAj09muI0chchJn,6,33.682,1,1,1,3,-1,1,0,2
R_3qPwSdP90mZL2ql,9,33.819,1,1,1,5,1,1,1,5
R_3fIemEpBQe7biQb,3,34.015,1,-1,0,5,1,-1,0,5
R_AAj09muI0chchJn,1,34.201,-1,-1,1,5,1,1,1,5
R_1LSfV7EaEVRuizJ,2,34.275,-1,-1,1,4,-1,1,0,4
R_3fIemEpBQe7biQb,6,34.46,1,1,1,5,-1,1,0,4
R_25LsLMyzZZzTIq6,7,34.774,0,1,0,4,0,1,0,4
R_Dkm0jBTLY5OkQpP,8,34.939,-1,-1,1,4,1,-1,0,4
R_1LRSdClA9Cb8qIC,3,34.953,-1,-1,1,5,1,-1,0,5
R_3PzuW4dQwJWA9yg,7,35.524,0,1,0,3,0,1,0,3
R_1LSfV7EaEVRuizJ,3,35.649,-1,-1,1,5,-1,-1,1,4
R_1ig6OyTdlwckPV7,1,37.359,-1,-1,1,5,1,1,1,4
R_1LRSdClA9Cb8qIC,2,37.605,-1,-1,1,5,1,1,1,5
R_2ZEwxvOCswvduC3,7,38.068,0,1,0,3,-1,1,0,3
R_1LSfV7EaEVRuizJ,7,38.777,0,1,0,3,-1,1,0,4
R_AAj09muI0chchJn,3,39.601,-1,-1,1,4,-1,-1,1,4
R_3qPwSdP90mZL2ql,7,40.217,-1,1,0,5,-1,1,0,5
R_1LSfV7EaEVRuizJ,1,40.275,-1,-1,1,5,-1,1,0,3
R_0oiv4S7O1SCQgRr,2,40.449,-1,-1,1,5,-1,1,0,3
R_25LsLMyzZZzTIq6,3,40.835,-1,-1,1,4,-1,-1,1,4
R_2ZEwxvOCswvduC3,9,41.223,0,1,0,4,0,1,0,4
R_25LsLMyzZZzTIq6,9,41.659,1,1,1,3,0,1,0,3
R_AAj09muI0chchJn,9,41.701,0,1,0,5,1,1,1,2
R_25LsLMyzZZzTIq6,2,41.717,-1,-1,1,5,1,1,1,3
R_1ig6OyTdlwckPV7,8,41.978,1,-1,0,4,-1,-1,1,3
R_2ZEwxvOCswvduC3,6,42.001,1,1,1,3,-1,1,0,3
R_svSMrtyltUrKF7r,9,42.613,-1,1,0,3,-1,1,0,3
R_2ZEwxvOCswvduC3,8,42.643,0,-1,0,2,1,-1,0,3
R_3fIemEpBQe7biQb,2,42.799,-1,-1,1,5,-1,1,0,5
R_1LRSdClA9Cb8qIC,4,43.36982835,-1,-1,1,3,1,1,1,5
R_Dkm0jBTLY5OkQpP,5,43.585,-1,1,0,5,-1,-1,1,5
R_AAj09muI0chchJn,2,43.926,-1,-1,1,5,0,1,0,4
R_1ig6OyTdlwckPV7,9,45.064,-1,1,0,3,1,1,1,2
R_25LsLMyzZZzTIq6,6,45.32,1,1,1,4,0,1,0,4
R_86Lx4ZDiw6LjG0N,2,46.432,-1,-1,1,4,-1,1,0,4
R_0oiv4S7O1SCQgRr,6,46.583,1,1,1,5,1,1,1,3
R_86Lx4ZDiw6LjG0N,3,47.025,1,-1,0,3,0,-1,0,3
R_AAj09muI0chchJn,4,47.0930966,0,-1,0,3,-1,1,0,4
R_svSMrtyltUrKF7r,6,47.4,1,1,1,3,1,1,1,3
R_1LRSdClA9Cb8qIC,1,47.684,-1,-1,1,4,1,1,1,5
R_3qPwSdP90mZL2ql,8,48.684,-1,-1,1,5,-1,-1,1,5
R_1ig6OyTdlwckPV7,7,48.691,1,1,1,3,-1,1,0,4
R_0oiv4S7O1SCQgRr,1,50.63,-1,-1,1,5,1,1,1,4
R_3qPwSdP90mZL2ql,2,51,-1,-1,1,5,-1,1,0,5
R_0oiv4S7O1SCQgRr,8,51.597,0,-1,0,3,-1,-1,1,3
R_3PzuW4dQwJWA9yg,3,51.976,-1,-1,1,2,1,-1,0,4
R_1ig6OyTdlwckPV7,5,52.754,1,1,1,3,0,-1,0,2
R_Dkm0jBTLY5OkQpP,3,53.301,-1,-1,1,5,-1,-1,1,5
R_86Lx4ZDiw6LjG0N,5,53.959,0,1,0,3,0,-1,0,3
R_1ig6OyTdlwckPV7,3,54.617,-1,-1,1,5,-1,-1,1,4
R_3qPwSdP90mZL2ql,3,54.912,-1,-1,1,5,1,-1,0,5
R_0oiv4S7O1SCQgRr,3,56.766,-1,-1,1,4,0,-1,0,3
R_3PzuW4dQwJWA9yg,1,57.052,-1,-1,1,4,1,1,1,4
R_2ZEwxvOCswvduC3,2,57.078,0,-1,0,3,0,1,0,3
R_0oiv4S7O1SCQgRr,5,57.694,1,1,1,2,0,-1,0,3
R_3fIemEpBQe7biQb,8,58.444,1,-1,0,4,0,-1,0,3
R_1KxokZAgw0RBDUl,9,58.643,-1,1,0,1,-1,1,0,1
R_2ZEwxvOCswvduC3,3,58.664,-1,-1,1,4,-1,-1,1,2
R_svSMrtyltUrKF7r,5,59.126,-1,1,0,3,0,-1,0,3
R_1KxokZAgw0RBDUl,3,59.829,-1,-1,1,3,-1,-1,1,3
R_Dkm0jBTLY5OkQpP,7,60.001,1,1,1,3,-1,1,0,5
R_svSMrtyltUrKF7r,7,61.022,-1,1,0,2,-1,1,0,1
R_3EbR2Qpdnbxhohf,8,61.032,0,-1,0,3,1,-1,0,3
