StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q15,Q11,Q12,Q13,Q17,Q14,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q25_1,Q26_1,Q27_1,Q28,Q29,Q30,Q31,Q32,Q105_First Click,Q105_Last Click,Q105_Page Submit,Q105_Click Count,Q106_1,Q107_1,Q108_1,Q109,Q110,Q111,Q112,Q113,Q186_First Click,Q186_Last Click,Q186_Page Submit,Q186_Click Count,Q187_1,Q188_1,Q189_1,Q190,Q191,Q192,Q193,Q194,Q267_First Click,Q267_Last Click,Q267_Page Submit,Q267_Click Count,Q268_1,Q269_1,Q270_1,Q271,Q272,Q273,Q274,Q275,Q348_First Click,Q348_Last Click,Q348_Page Submit,Q348_Click Count,Q349_1,Q350_1,Q351_1,Q352,Q353,Q354,Q355,Q356,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,Q52_1,Q53_1,Q54_1,Q55,Q56,Q57,Q58,Q59,Q132_First Click,Q132_Last Click,Q132_Page Submit,Q132_Click Count,Q133_1,Q134_1,Q135_1,Q136,Q137,Q138,Q139,Q140,Q213_First Click,Q213_Last Click,Q213_Page Submit,Q213_Click Count,Q214_1,Q215_1,Q216_1,Q217,Q218,Q219,Q220,Q221,Q294_First Click,Q294_Last Click,Q294_Page Submit,Q294_Click Count,Q295_1,Q296_1,Q297_1,Q298,Q299,Q300,Q301,Q302,Q375_First Click,Q375_Last Click,Q375_Page Submit,Q375_Click Count,Q376_1,Q377_1,Q378_1,Q379,Q380,Q381,Q382,Q383,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q79_1,Q80_1,Q81_1,Q82,Q83,Q84,Q85,Q86,Q159_First Click,Q159_Last Click,Q159_Page Submit,Q159_Click Count,Q160_1,Q161_1,Q162_1,Q163,Q164,Q165,Q166,Q167,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,Q241_1,Q242_1,Q243_1,Q244,Q245,Q246,Q247,Q248,Q321_First Click,Q321_Last Click,Q321_Page Submit,Q321_Click Count,Q322_1,Q323_1,Q324_1,Q325,Q326,Q327,Q328,Q329,Q402_First Click,Q402_Last Click,Q402_Page Submit,Q402_Click Count,Q403_1,Q404_1,Q405_1,Q406,Q407,Q408,Q409,Q410,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q34_1,Q35_1,Q36_1,Q37,Q38,Q39,Q40,Q41,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,Q115_1,Q116_1,Q117_1,Q118,Q119,Q120,Q121,Q122,Q195_First Click,Q195_Last Click,Q195_Page Submit,Q195_Click Count,Q196_1,Q197_1,Q198_1,Q199,Q200,Q201,Q202,Q203,Q276_First Click,Q276_Last Click,Q276_Page Submit,Q276_Click Count,Q277_1,Q278_1,Q279_1,Q280,Q281,Q282,Q283,Q284,Q357_First Click,Q357_Last Click,Q357_Page Submit,Q357_Click Count,Q358_1,Q359_1,Q360_1,Q361,Q362,Q363,Q364,Q365,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61_1,Q62_1,Q63_1,Q64,Q65,Q66,Q67,Q68,Q141_First Click,Q141_Last Click,Q141_Page Submit,Q141_Click Count,Q142_1,Q143_1,Q144_1,Q145,Q146,Q147,Q148,Q149,Q222_First Click,Q222_Last Click,Q222_Page Submit,Q222_Click Count,Q223_1,Q224_1,Q225_1,Q226,Q227,Q228,Q229,Q230,Q303_First Click,Q303_Last Click,Q303_Page Submit,Q303_Click Count,Q304_1,Q305_1,Q306_1,Q307,Q308,Q309,Q310,Q311,Q384_First Click,Q384_Last Click,Q384_Page Submit,Q384_Click Count,Q385_1,Q386_1,Q387_1,Q388,Q389,Q390,Q391,Q392,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q88_1,Q89_1,Q90_1,Q91,Q92,Q93,Q94,Q95,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q169_1,Q170_1,Q171_1,Q172,Q173,Q174,Q175,Q176,Q249_First Click,Q249_Last Click,Q249_Page Submit,Q249_Click Count,Q250_1,Q251_1,Q252_1,Q253,Q254,Q255,Q256,Q257,Q330_First Click,Q330_Last Click,Q330_Page Submit,Q330_Click Count,Q331_1,Q332_1,Q333_1,Q334,Q335,Q336,Q337,Q338,Q411_First Click,Q411_Last Click,Q411_Page Submit,Q411_Click Count,Q412_1,Q413_1,Q414_1,Q415,Q416,Q417,Q418,Q419,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q43_1,Q44_1,Q45_1,Q46,Q47,Q48,Q49,Q50,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q124_1,Q125_1,Q126_1,Q127,Q128,Q129,Q130,Q131,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,Q205_1,Q206_1,Q207_1,Q208,Q209,Q210,Q211,Q212,Q285_First Click,Q285_Last Click,Q285_Page Submit,Q285_Click Count,Q286_1,Q287_1,Q288_1,Q289,Q290,Q291,Q292,Q293,Q366_First Click,Q366_Last Click,Q366_Page Submit,Q366_Click Count,Q367_1,Q368_1,Q369_1,Q370,Q371,Q372,Q373,Q374,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q70_1,Q71_1,Q72_1,Q73,Q74,Q75,Q76,Q77,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q151_1,Q152_1,Q153_1,Q154,Q155,Q156,Q157,Q158,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,Q232_1,Q233_1,Q234_1,Q235,Q236,Q237,Q238,Q239,Q312_First Click,Q312_Last Click,Q312_Page Submit,Q312_Click Count,Q313_1,Q314_1,Q315_1,Q316,Q317,Q318,Q319,Q320,Q393_First Click,Q393_Last Click,Q393_Page Submit,Q393_Click Count,Q394_1,Q395_1,Q396_1,Q397,Q398,Q399,Q400,Q401,Q96_First Click,Q96_Last Click,Q96_Page Submit,Q96_Click Count,Q97_1,Q98_1,Q99_1,Q100,Q101,Q102,Q103,Q104,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,Q178_1,Q179_1,Q180_1,Q181,Q182,Q183,Q184,Q185,Q258_First Click,Q258_Last Click,Q258_Page Submit,Q258_Click Count,Q259_1,Q260_1,Q261_1,Q262,Q263,Q264,Q265,Q266,Q339_First Click,Q339_Last Click,Q339_Page Submit,Q339_Click Count,Q340_1,Q341_1,Q342_1,Q343,Q344,Q345,Q346,Q347,Q420_First Click,Q420_Last Click,Q420_Page Submit,Q420_Click Count,Q421_1,Q422_1,Q423_1,Q424,Q425,Q426,Q427,Q428
15/11/2021 10:41,15/11/2021 10:57,IP Address,2.222.108.58,100,963,True,15/11/2021 10:57,R_3lWHByIVfB2Gs7g,,,,,53.64129639,-2.669204712,anonymous,EN,I agree to take part in this study,,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,10.332,43.34,44.176,9,1,12,8,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.224,86.502,87.428,10,35,25,11,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.722,166.854,167.952,17,4,27,50,Disagree,5,4,4,3,,,,,,,,,,,,,16.773,65.792,66.826,13,28,78,26,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.27,104.656,105.588,11,3,13,39,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.176,50.491,51.499,11,3,10,16,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,14.812,61.161,62.199,9,20,35,13,Neither agree nor disagree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.686,93.242,94.24,13,66,71,26,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.372,101.188,102.209,10,27,80,23,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 10:40,15/11/2021 11:01,IP Address,86.180.100.113,100,1228,True,15/11/2021 11:01,R_eYjg7i4wA7I7RF7,,,,,51.57440186,-0.713699341,anonymous,EN,I agree to take part in this study,576075c3624ccc0006233eb7,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,10.766,75.721,76.401,19,7,78,41,Disagree,3,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.517,58.606,59.524,12,74,66,10,Disagree,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.445,94.967,95.908,18,64,70,20,Agree,3,2,3,4,,,,,,,,,,,,,12.788,52.728,53.468,11,38,41,35,Disagree,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.169,70.261,70.922,12,70,70,15,Disagree,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.076,86.88,87.877,12,40,45,33,Disagree,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,221.392,222.138,10,35,56,26,Disagree,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.378,126.728,127.668,10,12,43,18,Disagree,3,3,3,4,,,,,,,,,,,,,12.499,89.998,90.915,17,0,15,7,Agree,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 10:39,15/11/2021 11:02,IP Address,69.180.215.111,100,1395,True,15/11/2021 11:02,R_1QcRv3lkjVBir87,,,,,36.15789795,-86.8608017,anonymous,EN,I agree to take part in this study,60a71d27a66fac796ad4de6f,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.319,79.385,80.107,10,82,73,18,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,16.235,90.064,91.266,15,6,58,8,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.817,107.911,110.257,13,11,22,47,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.324,126.868,128.438,13,70,75,18,Disagree,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,37.883,179.326,189.598,18,17,85,25,Agree,2,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,14.626,58.157,59.072,17,78,69,32,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.568,137.779,138.632,18,11,85,14,Neither agree nor disagree,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.617,99.702,100.638,18,0,8,39,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.383,114.751,115.816,23,50,45,26,Agree,4,4,5,3,,,,,,,,,,,,
15/11/2021 10:39,15/11/2021 11:06,IP Address,169.1.87.16,100,1624,True,15/11/2021 11:06,R_AbzhkaHbLakoqat,,,,,-33.91400146,18.41290283,anonymous,EN,I agree to take part in this study,600d559d03355c51465a7004,Down,From time 10 to 30 and time 60 to 70,Time 60,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,38.416,90.959,92.038,9,36,90,41,Agree,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.668,102.636,103.7,9,46,62,68,Neither agree nor disagree,3,3,2,3,,,,,,,,,,,,,24.423,44.983,46.103,8,91,72,69,Disagree,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.212,81.595,82.965,8,93,83,82,Agree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.266,146.336,148.056,10,94,84,42,Neither agree nor disagree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.702,82.205,83.327,8,81,76,60,Neither agree nor disagree,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.005,70.844,71.94,9,42,31,51,Agree,4,4,4,4,20.727,85.742,86.734,10,98,71,33,Neither agree nor disagree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.76,82.655,83.487,8,83,33,47,Agree,4,4,3,4
15/11/2021 10:39,15/11/2021 11:07,IP Address,160.19.36.2,100,1654,True,15/11/2021 11:07,R_3FXSzdWDzDn5Vcu,,,,,-25.87750244,28.16799927,anonymous,EN,I agree to take part in this study,609867b0b776ee0e3d256324,Down,From time 10 to 30 and time 60 to 70,Time 15,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,36.592,99.786,101.492,13,52,60,17,Neither agree nor disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.518,109.043,109.957,11,25,82,45,Disagree,4,5,4,5,,,,,,,,,,,,,11.169,97.615,99.342,10,0,20,20,Disagree,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.956,152.769,154.012,19,7,17,36,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.25,112.413,113.4,12,30,35,36,Neither agree nor disagree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,26.3,99.695,100.598,9,15,81,53,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.757,88.189,89.422,12,9,71,52,Agree,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.568,117.099,118.481,8,30,35,54,Neither agree nor disagree,2,4,4,5,,,,,,,,,,,,,45.86,140.761,142.459,14,72,76,21,Agree,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 10:47,15/11/2021 11:19,IP Address,77.102.241.7,100,1926,True,15/11/2021 11:19,R_6xnWdwudje2xgiZ,,,,,51.61869812,-0.115402222,anonymous,EN,I agree to take part in this study,60ca8ba5df33cf01a47b670a,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,138.502,142.995,22,24,30,24,Agree,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.408,354.307,356.377,17,38,61,38,Neither agree nor disagree,1,1,1,0,,,,,,,,,,,,,29.346,70.794,71.972,12,43,51,7,Neither agree nor disagree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.446,222.182,223.371,67,30,35,32,Agree,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.515,107.017,109.168,15,10,20,33,Agree,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49,74.218,75.695,10,4,19,14,Disagree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.977,102.723,103.826,12,23,26,23,Disagree,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.658,164.811,167,16,63,60,26,Neither agree nor disagree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.072,57.408,58.593,10,0,15,7,Neither agree nor disagree,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 10:41,15/11/2021 11:33,IP Address,147.69.128.138,100,3130,True,15/11/2021 11:33,R_cNknNK87491pFK1,,,,,-42.88499451,147.3342896,anonymous,EN,I agree to take part in this study,5eec9ed2f32dc20379a7934f,Down,From time 10 to 30 and time 60 to 70,Time 60,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.04,93.92,95.049,16,89,79,12,Disagree,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.757,104.874,105.541,19,15,84,15,Agree,4,4,3,5,,,,,,,,,,,,,238.148,306.451,306.988,12,0,22,7,Disagree,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.23,237.751,238.256,18,56,62,39,Disagree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.59,167.416,169.648,153,74,69,16,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.039,169.549,170.199,18,77,79,33,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.084,147.304,148.341,23,23,36,22,Disagree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.839,110.808,111.792,20,0,5,34,Neither agree nor disagree,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.64,127.253,128.264,14,17,76,25,Disagree,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 11:12,15/11/2021 11:34,IP Address,77.168.149.66,100,1338,True,15/11/2021 11:34,R_06PLufXex2iGael,,,,,51.26409912,5.708602905,anonymous,EN,I agree to take part in this study,6093db807d15df55e6990a28,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.588,75.035,75.654,13,9,28,33,Disagree,4,4,3,2,9.483,119.867,129.263,18,1,62,9,Disagree,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.057,67.72,68.481,18,10,19,54,Disagree,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.299,118.651,119.395,23,79,74,34,Disagree,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,12.812,90.692,91.334,9,28,78,36,Agree,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.225,82.599,84.063,10,43,48,32,Disagree,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.336,97.36,98.249,12,14,84,19,Agree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.437,185.165,189.799,16,8,39,13,Disagree,4,3,2,4,,,,,,,,,,,,,9.42,45.773,46.926,10,0,12,8,Disagree,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 10:37,15/11/2021 11:42,IP Address,102.223.228.154,100,3888,True,15/11/2021 11:42,R_2dXcY4y0CayKleI,,,,,-29.12519836,26.16299438,anonymous,EN,I agree to take part in this study,5ff8442a0d726a59d5325267,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.427,60.905,61.461,18,10,20,22,Disagree,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2.903,438.287,439.094,34,45,50,41,Agree,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.903,108.007,109.895,17,15,55,21,Neither agree nor disagree,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.471,138.972,139.631,20,14,30,36,Neither agree nor disagree,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.737,309.928,310.848,37,45,35,65,Disagree,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.593,309.2,310.99,33,30,75,50,Disagree,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.469,172.655,174.431,27,27,80,20,Disagree,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5.615,121.91,123.7,21,25,40,20,Agree,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.876,350.075,351.415,31,85,70,35,Disagree,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 11:13,15/11/2021 11:46,IP Address,86.131.181.119,100,1978,True,15/11/2021 11:46,R_1j8uMbjHcw420iP,,,,,51.37350464,-2.359405518,anonymous,EN,I agree to take part in this study,5fef10fbbf9ae41f48f739ee,Down,Never,Time 15,At the beginning of the trajectory,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,289.944,328.284,328.579,11,31,15,25,Agree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.367,54.009,54.834,9,57,61,15,Disagree,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.396,114.488,115.47,15,30,70,40,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,1.75,50.592,51.371,20,80,80,22,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014,43.362,43.686,18,96,89,58,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038,51.802,52.67,15,40,63,40,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.652,45.822,46.738,13,30,15,30,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.703,99.533,100.356,13,40,41,30,Agree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,532.988,533.889,29,54,50,13,Agree,5,5,2,4,,,,,,,,,,,,
