StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q15,Q11,Q12,Q13,Q17,Q14,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q25_1,Q26_1,Q27_1,Q28,Q29,Q30,Q31,Q32,Q105_First Click,Q105_Last Click,Q105_Page Submit,Q105_Click Count,Q106_1,Q107_1,Q108_1,Q109,Q110,Q111,Q112,Q113,Q186_First Click,Q186_Last Click,Q186_Page Submit,Q186_Click Count,Q187_1,Q188_1,Q189_1,Q190,Q191,Q192,Q193,Q194,Q267_First Click,Q267_Last Click,Q267_Page Submit,Q267_Click Count,Q268_1,Q269_1,Q270_1,Q271,Q272,Q273,Q274,Q275,Q348_First Click,Q348_Last Click,Q348_Page Submit,Q348_Click Count,Q349_1,Q350_1,Q351_1,Q352,Q353,Q354,Q355,Q356,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,Q52_1,Q53_1,Q54_1,Q55,Q56,Q57,Q58,Q59,Q132_First Click,Q132_Last Click,Q132_Page Submit,Q132_Click Count,Q133_1,Q134_1,Q135_1,Q136,Q137,Q138,Q139,Q140,Q213_First Click,Q213_Last Click,Q213_Page Submit,Q213_Click Count,Q214_1,Q215_1,Q216_1,Q217,Q218,Q219,Q220,Q221,Q294_First Click,Q294_Last Click,Q294_Page Submit,Q294_Click Count,Q295_1,Q296_1,Q297_1,Q298,Q299,Q300,Q301,Q302,Q375_First Click,Q375_Last Click,Q375_Page Submit,Q375_Click Count,Q376_1,Q377_1,Q378_1,Q379,Q380,Q381,Q382,Q383,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q79_1,Q80_1,Q81_1,Q82,Q83,Q84,Q85,Q86,Q159_First Click,Q159_Last Click,Q159_Page Submit,Q159_Click Count,Q160_1,Q161_1,Q162_1,Q163,Q164,Q165,Q166,Q167,Q240_First Click,Q240_Last Click,Q240_Page Submit,Q240_Click Count,Q241_1,Q242_1,Q243_1,Q244,Q245,Q246,Q247,Q248,Q321_First Click,Q321_Last Click,Q321_Page Submit,Q321_Click Count,Q322_1,Q323_1,Q324_1,Q325,Q326,Q327,Q328,Q329,Q402_First Click,Q402_Last Click,Q402_Page Submit,Q402_Click Count,Q403_1,Q404_1,Q405_1,Q406,Q407,Q408,Q409,Q410,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q34_1,Q35_1,Q36_1,Q37,Q38,Q39,Q40,Q41,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,Q115_1,Q116_1,Q117_1,Q118,Q119,Q120,Q121,Q122,Q195_First Click,Q195_Last Click,Q195_Page Submit,Q195_Click Count,Q196_1,Q197_1,Q198_1,Q199,Q200,Q201,Q202,Q203,Q276_First Click,Q276_Last Click,Q276_Page Submit,Q276_Click Count,Q277_1,Q278_1,Q279_1,Q280,Q281,Q282,Q283,Q284,Q357_First Click,Q357_Last Click,Q357_Page Submit,Q357_Click Count,Q358_1,Q359_1,Q360_1,Q361,Q362,Q363,Q364,Q365,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61_1,Q62_1,Q63_1,Q64,Q65,Q66,Q67,Q68,Q141_First Click,Q141_Last Click,Q141_Page Submit,Q141_Click Count,Q142_1,Q143_1,Q144_1,Q145,Q146,Q147,Q148,Q149,Q222_First Click,Q222_Last Click,Q222_Page Submit,Q222_Click Count,Q223_1,Q224_1,Q225_1,Q226,Q227,Q228,Q229,Q230,Q303_First Click,Q303_Last Click,Q303_Page Submit,Q303_Click Count,Q304_1,Q305_1,Q306_1,Q307,Q308,Q309,Q310,Q311,Q384_First Click,Q384_Last Click,Q384_Page Submit,Q384_Click Count,Q385_1,Q386_1,Q387_1,Q388,Q389,Q390,Q391,Q392,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q88_1,Q89_1,Q90_1,Q91,Q92,Q93,Q94,Q95,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q169_1,Q170_1,Q171_1,Q172,Q173,Q174,Q175,Q176,Q249_First Click,Q249_Last Click,Q249_Page Submit,Q249_Click Count,Q250_1,Q251_1,Q252_1,Q253,Q254,Q255,Q256,Q257,Q330_First Click,Q330_Last Click,Q330_Page Submit,Q330_Click Count,Q331_1,Q332_1,Q333_1,Q334,Q335,Q336,Q337,Q338,Q411_First Click,Q411_Last Click,Q411_Page Submit,Q411_Click Count,Q412_1,Q413_1,Q414_1,Q415,Q416,Q417,Q418,Q419,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q43_1,Q44_1,Q45_1,Q46,Q47,Q48,Q49,Q50,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q124_1,Q125_1,Q126_1,Q127,Q128,Q129,Q130,Q131,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,Q205_1,Q206_1,Q207_1,Q208,Q209,Q210,Q211,Q212,Q285_First Click,Q285_Last Click,Q285_Page Submit,Q285_Click Count,Q286_1,Q287_1,Q288_1,Q289,Q290,Q291,Q292,Q293,Q366_First Click,Q366_Last Click,Q366_Page Submit,Q366_Click Count,Q367_1,Q368_1,Q369_1,Q370,Q371,Q372,Q373,Q374,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q70_1,Q71_1,Q72_1,Q73,Q74,Q75,Q76,Q77,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q151_1,Q152_1,Q153_1,Q154,Q155,Q156,Q157,Q158,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,Q232_1,Q233_1,Q234_1,Q235,Q236,Q237,Q238,Q239,Q312_First Click,Q312_Last Click,Q312_Page Submit,Q312_Click Count,Q313_1,Q314_1,Q315_1,Q316,Q317,Q318,Q319,Q320,Q393_First Click,Q393_Last Click,Q393_Page Submit,Q393_Click Count,Q394_1,Q395_1,Q396_1,Q397,Q398,Q399,Q400,Q401,Q96_First Click,Q96_Last Click,Q96_Page Submit,Q96_Click Count,Q97_1,Q98_1,Q99_1,Q100,Q101,Q102,Q103,Q104,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,Q178_1,Q179_1,Q180_1,Q181,Q182,Q183,Q184,Q185,Q258_First Click,Q258_Last Click,Q258_Page Submit,Q258_Click Count,Q259_1,Q260_1,Q261_1,Q262,Q263,Q264,Q265,Q266,Q339_First Click,Q339_Last Click,Q339_Page Submit,Q339_Click Count,Q340_1,Q341_1,Q342_1,Q343,Q344,Q345,Q346,Q347,Q420_First Click,Q420_Last Click,Q420_Page Submit,Q420_Click Count,Q421_1,Q422_1,Q423_1,Q424,Q425,Q426,Q427,Q428
15/11/2021 14:00,15/11/2021 14:16,IP Address,124.176.50.45,100,986,True,15/11/2021 14:16,R_2DZhsugGTzRu4kr,,,,,-27.46789551,153.0325012,anonymous,EN,I agree to take part in this study,60778acc9a9a6692623224c6,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,39.275,105.128,105.909,8,20,78,30,Neither agree nor disagree,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,23.443,28.071,9,36,53,38,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,35.099,36.013,12,24,32,70,Neither agree nor disagree,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.664,136.038,137.174,29,55,65,66,Neither agree nor disagree,1,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.328,33.332,34.278,11,55,40,35,Neither agree nor disagree,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.276,21.177,22.13,8,39,24,28,Neither agree nor disagree,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.488,61.637,64.193,8,36,57,20,Neither agree nor disagree,1,1,2,1,,,,,,,,,,,,,11.589,27.994,29.712,12,34,48,67,Neither agree nor disagree,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.263,89.248,90.162,10,20,35,30,Neither agree nor disagree,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 13:57,15/11/2021 14:20,IP Address,82.31.69.96,100,1392,True,15/11/2021 14:20,R_ZwxOkHCP2410fUl,,,,,53.15530396,-0.62159729,anonymous,EN,I agree to take part in this study,5f70f2db1da187103ac30229,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.893,83.183,84.548,12,85,72,18,Disagree,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,31.866,58.304,60,10,10,10,10,Disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.757,83.41,84.418,9,0,24,17,Disagree,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.363,148.684,149.704,16,68,72,33,Neither agree nor disagree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.549,84.411,85.122,13,30,85,38,Disagree,4,5,4,4,25.519,71.36,72.291,12,80,72,32,Disagree,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.984,149.223,150.253,13,18,20,22,Disagree,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.528,128.118,129.885,17,27,32,20,Neither agree nor disagree,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.328,146.528,147.817,13,62,42,27,Agree,4,4,4,2,,,,,,,,,,,,
15/11/2021 14:00,15/11/2021 14:21,IP Address,80.189.208.12,100,1306,True,15/11/2021 14:22,R_2Tz2Gp32Lc1v0Pq,,,,,53.11140442,-1.653106689,anonymous,EN,I agree to take part in this study,6027cc78c597e0049f3e455d,Up,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.499,65.692,67.566,14,80,70,25,Disagree,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.292,78.802,80.273,15,19,78,25,Agree,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.177,60.761,62.45,15,4,32,40,Disagree,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.736,77.432,78.815,16,7,11,50,Agree,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.093,109.981,111.44,14,30,40,15,Neither agree nor disagree,1,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.075,118.762,119.815,14,30,40,40,Disagree,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5.399,88.539,90.263,19,15,21,25,Disagree,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.713,63.137,64.577,16,9,42,20,Agree,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,54.335,56.082,13,1,5,20,Disagree,3,4,4,4
15/11/2021 14:02,15/11/2021 14:22,IP Address,121.75.127.253,100,1223,True,15/11/2021 14:22,R_STTBmI166EiBsv7,,,,,-41.36749268,174.7153015,anonymous,EN,I agree to take part in this study,5d102402903d45000151ca7a,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,11.574,63.245,64.199,8,1,15,10,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.306,60.946,62.502,8,10,53,11,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.347,72.934,74.331,8,8,33,24,Disagree,4,4,4,5,,,,,,,,,,,,,47.442,132.135,133.231,10,30,78,30,Disagree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.195,93.041,94.498,8,25,85,35,Disagree,3,4,3,3,,,,,,,,,,,,,22.827,118.041,120.866,8,40,80,38,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.647,79.252,80.667,8,17,30,15,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.282,70.556,71.369,10,0,8,35,Neither agree nor disagree,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.042,68.528,70.214,8,32,80,30,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 14:03,15/11/2021 14:33,IP Address,86.27.101.172,100,1812,True,15/11/2021 14:33,R_3JsgqjMCkYbscq0,,,,,54.55540466,-1.515106201,anonymous,EN,I agree to take part in this study,5e5843f3677ae4053b1a0169,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,17.074,82.929,83.885,15,1,13,13,Agree,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,9.25,143.7,145.07,23,70,65,8,Disagree,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.301,169.638,170.951,15,8,18,50,Agree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,30.682,103.008,103.805,13,30,40,36,Disagree,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.754,299.33,305.042,32,25,75,30,Disagree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.704,174.184,175.143,17,24,70,32,Agree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.128,84.409,85.404,12,12,84,15,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75,89.63,90.376,12,25,30,20,Disagree,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.655,80.021,81.158,15,45,40,28,Neither agree nor disagree,2,2,3,4,,,,,,,,,,,,
15/11/2021 14:03,15/11/2021 14:34,IP Address,197.185.108.145,100,1901,True,15/11/2021 14:34,R_RKBkxhdqNYnRO4F,,,,,-26.38110352,27.83760071,anonymous,EN,I agree to take part in this study,6097ec1a8c0b4df21cbb9024,Down,From time 10 to 30 and time 60 to 70,Time 60,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,28.49,106.666,107.89,14,70,70,100,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.259,121.677,123.156,13,45,55,80,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,29.572,259.578,261.077,22,80,30,100,Disagree,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.381,90.5,92.003,13,15,15,100,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,7.75,116.474,117.5,20,90,100,15,Disagree,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.488,142.696,144.05,13,100,100,30,Disagree,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.953,140.323,141.652,13,90,50,25,Disagree,5,4,5,5,25.183,76.426,77.837,13,55,55,100,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.152,158.48,159.699,21,58,60,30,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,
15/11/2021 14:00,15/11/2021 14:36,IP Address,197.91.184.98,100,2167,True,15/11/2021 14:36,R_1LwzP9e5sLu3BQe,,,,,-26.38110352,27.83760071,anonymous,EN,I agree to take part in this study,607c3abee7460a09186f93d7,Down,From time 10 to 30 and time 60 to 70,Time 75,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.177,89.873,91.086,35,65,69,46,Disagree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,48.249,51.784,16,65,90,45,Agree,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,3.228,124.823,126.502,25,13,50,30,Neither agree nor disagree,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.456,325.311,327.955,182,51,40,31,Neither agree nor disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.217,68.378,69.332,18,19,46,42,Disagree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.391,57.974,59.192,16,67,46,77,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,88.548,89.712,20,18,22,28,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.091,64.287,65.451,20,38,45,41,Disagree,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2.253,132.151,133.266,33,0,22,100,Agree,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 14:05,15/11/2021 14:37,IP Address,217.44.4.9,100,1937,True,15/11/2021 14:37,R_2EFD1teRYjrTJKl,,,,,55.83079529,-4.490997314,anonymous,EN,I agree to take part in this study,6080759d1697447f85c16a18,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.719,338.072,339.163,18,54,23,31,Neither agree nor disagree,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,28.698,107.12,110.65,15,34,36,23,Agree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.414,164.82,166.237,9,76,71,20,Disagree,5,4,5,5,,,,,,,,,,,,,49.183,190.585,193.365,40,15,25,35,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.469,107.035,108.035,11,80,74,7,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.981,98.258,99.417,8,37,23,14,Agree,5,5,5,5,,,,,,,,,,,,,26.155,151.268,152.257,10,69,41,28,Neither agree nor disagree,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.293,94.507,95.428,9,47,9,38,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.993,58.516,59.392,8,27,8,19,Agree,5,5,5,5
15/11/2021 14:16,15/11/2021 14:58,IP Address,41.193.194.133,100,2523,True,15/11/2021 14:58,R_1FhqnEB6eNaNQBP,,,,,-26.38110352,27.83760071,anonymous,EN,I agree to take part in this study,60a7dd873516b2a5cdf48e6f,Down,From time 10 to 30 and time 60 to 70,Time 15,At the beginning of the trajectory,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,29.509,127.876,129.187,11,70,85,19,Agree,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.68,153.838,154.99,12,90,98,14,Agree,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.848,155.12,156.136,12,33,25,11,Disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.891,109.267,110.382,10,80,78,27,Disagree,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.932,213.057,214.521,14,57,23,36,Agree,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.396,218.661,220.163,15,98,98,33,Disagree,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.381,139.213,140.308,14,49,40,26,Agree,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.078,177.38,178.5,14,12,40,19,Agree,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.458,336.814,338.474,13,26,67,25,Disagree,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2021 15:00,15/11/2021 15:12,IP Address,94.173.159.5,100,697,True,15/11/2021 15:12,R_1LpAijXYOmxLcrJ,,,,,52.5296936,-1.854293823,anonymous,EN,I agree to take part in this study,5ff78a07326eb6472c53cbff,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,6.984,35.806,37.523,11,100,78,21,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.651,55.518,57.083,10,43,75,33,Agree,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71,31.707,32.701,12,54,61,35,Agree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.324,110.023,111.081,41,60,84,61,Neither agree nor disagree,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62,27.935,29.444,10,57,51,30,Agree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.808,38.896,40.992,13,90,59,36,Neither agree nor disagree,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,43.106,71.7,72.963,11,16,82,39,Neither agree nor disagree,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,9.628,44.283,45.446,16,31,30,23,Agree,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.931,49.338,51.059,15,95,73,40,Agree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
