StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Ql",10.28,78.73,31.54,-1,244,"E","WHAT_Ql_E_E","E_E","2","105.909","20",-9.72,"78",0.730000000000004,"30",1.5399999999999991,"Neither agree nor disagree",0,"2","3","0",0
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","E","H","WHAT_Qn",48.07,56.78,23.82,1,351,"H","WHAT_Qn_H_H","H_H","1","28.071","36",12.07,"53",3.780000000000001,"38",-14.18,"Neither agree nor disagree",0,"1","1","1",1
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",8,"hard","M","M","M","WHAT_Qn",71.72,64.01,22.38,1,418,"M","WHAT_Qn_M_H","M_H","1","36.013","24",47.72,"32",32.010000000000005,"70",-47.620000000000005,"Neither agree nor disagree",0,"0","1","1",2
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","E","H","WHAT_Qn",51.15,56.78,51.3,1,277,"H","WHAT_Qn_H_M","H_M","0","137.174","55",-3.8500000000000014,"65",-8.219999999999999,"66",-14.700000000000003,"Neither agree nor disagree",0,"1","1","4",3
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHAT_Qn",75.46,64.01,19.18,1,354,"M","WHAT_Qn_M_E","M_E","0","34.278","55",20.459999999999994,"40",24.010000000000005,"35",-15.82,"Neither agree nor disagree",0,"1","0","0",4
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","H","H","WHAT_Ql",1.93,21.24,16.73,1,445,"H","WHAT_Ql_H_H","H_H","1","22.13","39",-37.07,"24",-2.7600000000000016,"28",-11.27,"Neither agree nor disagree",0,"0","0","1",5
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","M","H","WHAT_Qn",47.3,56.78,25.13,1,310,"H","WHAT_Qn_H_M","H_M","1","64.193","36",11.299999999999997,"57",-0.21999999999999886,"20",5.129999999999999,"Neither agree nor disagree",0,"1","1","2",6
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","M","E","WHAT_Qn",26.3,42.6,13.33,-1,379,"E","WHAT_Qn_E_E","E_E","1","29.712","34",-7.699999999999999,"48",-5.399999999999999,"67",-53.67,"Neither agree nor disagree",0,"1","2","1",7
"15/11/2021 14:00","15/11/2021 14:16","IP Address","124.176.50.45","100","986","True","15/11/2021 14:16","R_2DZhsugGTzRu4kr","-27.46789551","153.0325012","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHAT_Ql",0.19,15.58,7.29,-1,460,"M","WHAT_Ql_M_E","M_E","1","90.162","20",-19.81,"35",-19.42,"30",-22.71,"Neither agree nor disagree",0,"3","3","1",8
"15/11/2021 13:57","15/11/2021 14:20","IP Address","82.31.69.96","100","1392","True","15/11/2021 14:20","R_ZwxOkHCP2410fUl","53.15530396","-0.62159729","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",6,"medium","H","M","E","WHAT_Qn",84.3,76.69,19.89,-1,256,"H","WHAT_Qn_H_M","H_M","3","84.548","85",-0.7000000000000028,"72",4.689999999999998,"18",1.8900000000000006,"Disagree",1,"4","4","5",9
"15/11/2021 13:57","15/11/2021 14:20","IP Address","82.31.69.96","100","1392","True","15/11/2021 14:20","R_ZwxOkHCP2410fUl","53.15530396","-0.62159729","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","H","M","E","WHAT_Ql",8.62,58.43,10.19,-1,327,"M","WHAT_Ql_M_E","M_E","3","60","10",-1.3800000000000008,"10",48.43,"10",0.1899999999999995,"Disagree",1,"3","3","3",10
"15/11/2021 13:57","15/11/2021 14:20","IP Address","82.31.69.96","100","1392","True","15/11/2021 14:20","R_ZwxOkHCP2410fUl","53.15530396","-0.62159729","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Ql",0,24.27,10.9,1,406,"E","WHAT_Ql_E_E","E_E","4","84.418","0",0,"24",0.2699999999999996,"17",-6.1,"Disagree",0,"5","5","5",11
