session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61923426fc41386331a8148b,5c86c0b48963590017515341,APPROVED,2021-11-15 10:19:21.484000,2021-11-15 11:00:38.604000,2477.12,30,191,0,100,2021-11-15 14:12:25.002000,739A8D81,United States,United States,Other,English,United States,Female,Yes
61923e265d51a08867f68a70,5f50196326475e18b036b372,RETURNED,2021-11-15 11:02:00.396000,,95628.044604,26,68,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619241f5710d9c321bafd531,60ae419bf2ddcd95e75f1898,APPROVED,2021-11-15 11:18:16.320000,2021-11-15 11:40:29.281000,1332.961,25,32,0,100,2021-11-15 14:12:24.270000,739A8D81,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61924230e4a4f422f21808e7,5e64bee9765e8a23c773b7da,APPROVED,2021-11-15 11:19:15.492000,2021-11-15 11:35:07.931000,952.439,30,113,1,100,2021-11-15 14:12:25.110000,739A8D81,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
61924529b45030fbf0b25307,5feaf2720b1a4463f881fc15,APPROVED,2021-11-15 11:31:53.074000,2021-11-15 11:49:43.150000,1070.076,28,76,1,100,2021-11-15 14:12:25.215000,739A8D81,United Kingdom,United Kingdom,DATA EXPIRED,English,Ireland,Female,DATA EXPIRED
619246619782e60a6c94b751,60e7566a73b40e5048595605,APPROVED,2021-11-15 11:37:08.606000,2021-11-15 11:55:57.979000,1129.373,50,34,0,100,2021-11-15 14:12:25.321000,739A8D81,Ireland,Ireland,Full-Time,English,Ireland,Female,No
619246beacdd9253e061d8a3,6091239986d0f3ee42bb4342,APPROVED,2021-11-15 11:38:52.296000,2021-11-15 12:10:47.470000,1915.174,23,12,0,100,2021-11-15 14:12:25.421000,739A8D81,South Africa,South Africa,Part-Time,English,South Africa,Female,No
61924961b597c9cfbf4515b2,60c1ba7f781d5b45dbf720d4,APPROVED,2021-11-15 11:49:57.949000,2021-11-15 12:11:25.856000,1287.907,29,17,1,99,2021-11-15 14:12:25.543000,739A8D81,South Africa,South Africa,Full-Time,English,South Africa,Female,Yes
61924af50d7efb6e31a987e1,5d49999aadb3e10001910cce,RETURNED,2021-11-15 11:56:41.620000,,92346.956904,29,204,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61924afcf493f01e45214ac3,5d5133513e142a001c0cd860,RETURNED,2021-11-15 11:56:47.076000,,92341.518691,35,117,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61924df6ca9b25763c9a2a37,59d32249f7b7a000011982bc,APPROVED,2021-11-15 12:09:30.668000,2021-11-15 12:41:01.228000,1890.56,36,423,1,100,2021-11-15 14:12:25.678000,739A8D81,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61924e7953d3ab7346ab6f1a,5d0cd8d9615fe30001f53469,RETURNED,2021-11-15 12:11:45.604000,,91443.029236,23,37,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6192500676e7ccd60fd792c6,59f7a04c05d1d60001f14597,APPROVED,2021-11-15 12:18:16.583000,2021-11-15 12:45:29.650000,1633.067,31,131,2,100,2021-11-15 14:12:25.819000,739A8D81,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,DATA EXPIRED
61925120c8cacc5b5f127c1d,603ddae8a0efddcdc8780603,APPROVED,2021-11-15 12:23:02.473000,2021-11-15 12:44:38.628000,1296.155,23,67,1,100,2021-11-15 14:12:24.395000,739A8D81,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Male,No
619253c9fe3d3d8424ca419f,60a4127d4c901e993eb8360d,APPROVED,2021-11-15 12:34:22.559000,2021-11-15 12:55:10.990000,1248.431,24,35,0,100,2021-11-15 14:12:24.529000,739A8D81,South Africa,South Africa,Part-Time,English,South Africa,Male,Yes
6192544d3c271b2e056fadcb,5e8cab68c8e665057a49ef87,APPROVED,2021-11-15 12:36:29.218000,2021-11-15 13:03:14.537000,1605.319,26,23,0,100,2021-11-15 14:12:24.643000,739A8D81,United Kingdom,United Kingdom,Due to start a new job within the next month,English,United Kingdom,Male,Yes
6192552cd9a3db228eddede7,5fc15f929b92050b1a0cc42c,APPROVED,2021-11-15 12:40:14.301000,2021-11-15 13:22:12.551000,2518.25,30,44,2,98,2021-11-15 14:12:24.787000,739A8D81,Greece,Netherlands,Full-Time,English,Greece,Male,DATA EXPIRED
61925723ced23160d2a22e04,60ab3a88449dab494cc31468,TIMED-OUT,2021-11-15 12:48:35.848000,,89232.940952,34,34,1,100,,,Zimbabwe,South Africa,Full-Time,English,Zimbabwe,Male,Yes
61925a620e6c4047e46f2b0f,5f6a064fecc7cb03c2b61542,RETURNED,2021-11-15 13:02:26.681000,,88402.127928,29,84,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61925c2be46989866d556b03,601997714cfca90e99caac7c,APPROVED,2021-11-15 13:10:34.167000,2021-11-15 13:39:38.748000,1744.581,24,73,0,100,2021-11-15 14:12:24.904000,739A8D81,South Africa,South Africa,Other,English,South Africa,Male,No
61926b82f5109e482c2806fa,60721c2da01b3a616edba9a7,RETURNED,2021-11-15 14:15:39.063000,,84009.885569,42,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61926cda285a8d7a2a1b9163,5d8272d1ffc7c6001b113c3e,RETURNED,2021-11-15 14:31:14.672000,,83074.296744,19,680,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61926ce698f87ebd43ba039a,5880eca663c3fc000175dcd5,APPROVED,2021-11-15 14:21:30.135000,2021-11-15 14:55:57.755000,2067.62,45,226,0,100,2021-11-15 14:57:30.369000,739A8D81,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,No
