session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61919f6d6b059dcf781e769c,5d168ed70a274600013f683d,APPROVED,2021-11-14 23:44:52.416000,2021-11-14 23:57:20.353000,747.937,31,29,0,100,2021-11-15 09:26:46.767000,2A38B8FF,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
6191a2424b097310cb4ab66d,5d0f1dcd3eda3d001af64f1e,TIMED-OUT,2021-11-14 23:56:52.168000,,50729.594781,26,71,1,100,,,Canada,Canada,Full-Time,English,Philippines,Male,No
6191a521dfdcc3e10f8c95c4,5ab3db4b892136000182d629,APPROVED,2021-11-15 00:09:07.906000,2021-11-15 00:49:38.447000,2430.541,24,250,2,100,2021-11-15 09:26:47.880000,2A38B8FF,United States,United States,Full-Time,English,United States,Female,No
6191a569c54b3d3da953c3af,609af34fdc80792f5a5ae438,TIMED-OUT,2021-11-15 00:10:23.402000,,49918.402241,30,0,0,100,,,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
6191a60dc9df4fbdfade3beb,5bee2c1fc998f000011f8095,APPROVED,2021-11-15 00:13:06.025000,2021-11-15 00:48:39.496000,2133.471,,56,0,100,2021-11-15 09:26:48.070000,2A38B8FF,Canada,Canada,DATA EXPIRED,English,Canada,Female,No
6191a6524c4da8d68a718e3a,5edf27d679c9f31cb47b8d7a,APPROVED,2021-11-15 00:14:12.890000,2021-11-15 00:47:06.367000,1973.477,20,125,1,100,2021-11-15 09:26:46.930000,2A38B8FF,Korea,United States,Part-Time,English,Korea,Male,Yes
6191a7b0c7330f42b10690e5,5fc175e1e8b4d40e74b123b3,APPROVED,2021-11-15 00:20:03.327000,2021-11-15 00:45:09.730000,1506.403,23,38,1,100,2021-11-15 09:26:47.078000,2A38B8FF,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
6191aa13bb4d5b283fa0046f,5f384e85935f7434dd5526df,TIMED-OUT,2021-11-15 00:30:19.099000,,48722.804838,58,13,0,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
6191af879e5823e4c0d24a14,5aa83cdd1ade740001b97ea5,APPROVED,2021-11-15 00:53:30.762000,2021-11-15 01:21:25.851000,1675.089,40,196,0,100,2021-11-15 09:26:48.209000,2A38B8FF,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
6191b21ff3ffda41fe4e6369,60a0cd3f8ed08669d97fbeaf,APPROVED,2021-11-15 01:04:31.281000,2021-11-15 01:25:38.222000,1266.941,58,47,0,100,2021-11-15 09:26:48.379000,2A38B8FF,South Africa,South Africa,DATA EXPIRED,English,South Africa,Female,DATA EXPIRED
6191ba94bf49e83fa02f0b70,5e3373382dd28834ce51abd1,RETURNED,2021-11-15 01:40:39.248000,,44502.711277,27,79,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191bb366f84ec300b78662e,5f9f60f26d31ca5a4817bce7,RETURNED,2021-11-15 01:43:22.972000,,44339.003641,30,33,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191bc30c77167baf7f483dd,5821e8579b80f50001ba21bd,RETURNED,2021-11-15 01:47:32.358000,,44089.633566,64,133,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191c33255e7ed1ae63cd1da,5f4694488276ea02540ea650,APPROVED,2021-11-15 02:17:26.232000,2021-11-15 02:38:18.204000,1251.972,42,141,0,100,2021-11-15 09:26:48.582000,2A38B8FF,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6191c3be60d1978a997eaaab,606d8325cfeb53937854d948,APPROVED,2021-11-15 02:19:44.658000,2021-11-15 02:35:31.380000,946.722,20,39,0,100,2021-11-15 09:26:47.227000,2A38B8FF,South Africa,South Africa,Full-Time,English,South Africa,Male,Yes
6191c3c93338ed0a035391ca,5fdf213eeae543727a6624e3,RETURNED,2021-11-15 02:19:53.915000,,42148.127523,31,137,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191c49db98ac6d76dabfbba,5e89354a419be55c8877a2e4,RETURNED,2021-11-15 02:23:29.072000,,41932.988067,28,210,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191c500291927a856450876,607c7c2c33467394c1247fbc,APPROVED,2021-11-15 02:25:04.032000,2021-11-15 02:56:41.249000,1897.217,19,52,1,100,2021-11-15 09:26:48.756000,2A38B8FF,South Africa,South Africa,Other,English,South Africa,Female,Yes
6191c51e1612f1005be7cf31,607640fb9a0d528b42991acd,RETURNED,2021-11-15 02:25:45.851000,,41796.245483,30,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191c5a376616ccb74dcff40,5af164965bbd0b00015ec58e,APPROVED,2021-11-15 02:27:51.327000,2021-11-15 02:52:32.532000,1481.205,29,163,1,100,2021-11-15 09:26:47.390000,2A38B8FF,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
6191c5a6d6a8660170f876ec,5df009be35886f068d794ebd,APPROVED,2021-11-15 02:27:54.971000,2021-11-15 02:48:59.255000,1264.284,43,148,0,100,2021-11-15 09:26:48.908000,2A38B8FF,New Zealand,New Zealand,Other,English,New Zealand,Female,No
6191c63d1612f1005be7cf38,607d666f53269920e0e1fe9e,RETURNED,2021-11-15 02:30:21.325000,,41520.831022,24,55,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191c9249c699fe6e4c530af,5c3e18dfb3369c0001a93088,RETURNED,2021-11-15 02:42:46.848000,,40775.32511,30,400,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6191caa10668d9eeb4214cf6,5b0152bd293d3100010238a5,APPROVED,2021-11-15 02:49:08.453000,2021-11-15 03:06:16.699000,1028.246,26,38,0,100,2021-11-15 09:26:47.563000,2A38B8FF,New Zealand,New Zealand,DATA EXPIRED,English,New Zealand,Male,No
6191cd9bb19b41506823db15,60cc20a8d1d940dcfa9df92d,APPROVED,2021-11-15 03:01:47.344000,2021-11-15 03:20:01.045000,1093.701,42,34,0,100,2021-11-15 09:26:47.704000,2A38B8FF,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,English,DATA EXPIRED,Male,No
6191cf59542615f281a1e009,5dd5d4c89ca8a3590739700f,APPROVED,2021-11-15 03:09:13.819000,2021-11-15 04:05:39.241000,3385.422,60,219,1,100,2021-11-15 09:26:49.072000,2A38B8FF,United Kingdom,Canada,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
