session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61905c7aa7ae04fb79b59f87,60decc2bf26deda1b681f81b,RETURNED,2021-11-14 00:47:06.812000,,134069.128471,23,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619065e7b12b1159535882c7,5d02c130c4fc3b0001eef1e2,APPROVED,2021-11-14 01:27:04.939000,2021-11-14 01:39:35.127000,750.188,27,69,3,96,2021-11-14 11:40:37.093000,804E44E8,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61906d777bf669fc8b5077ee,5fef552ac274b328156773f7,APPROVED,2021-11-14 01:59:21.310000,2021-11-14 02:08:43.689000,562.379,37,134,0,100,2021-11-14 11:40:40.810000,804E44E8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
619071b6170bcc81a7f82978,60ad7bc194a8625071b05642,APPROVED,2021-11-14 02:18:21.288000,2021-11-14 03:07:14.150000,2932.862,21,31,0,100,2021-11-14 11:40:40.922000,804E44E8,South Africa,South Africa,Other,English,South Africa,Female,Yes
6190747dca385ebf14d07591,6036ada488d8ef4a3481901e,RETURNED,2021-11-14 02:29:17.854000,,127938.14834,24,74,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61907be48e76fb94cc8d3d54,5f7fa70784150017071ce084,RETURNED,2021-11-14 03:00:55.406000,,126040.610959,40,96,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61907fab72be5a51c402155b,600e9f3d9b955475336971bb,APPROVED,2021-11-14 03:17:01.460000,2021-11-14 03:45:15.708000,1694.248,30,115,0,100,2021-11-14 11:40:41.030000,804E44E8,United States,United States,Full-Time,English,United States,Female,No
619080a699191f3a8760c34a,607618b91a15b0b63e794ee8,RETURNED,2021-11-14 03:21:18.283000,,124817.764423,51,37,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619082104416f73b927f02a9,5f16991179c6bd38015a710d,APPROVED,2021-11-14 03:27:28.136000,2021-11-14 03:50:26.290000,1378.154,21,59,0,100,2021-11-14 11:40:37.185000,804E44E8,United States,United States,Part-Time,English,Somalia,Male,No
61908217b208bb225d508911,5c2be60910677f0001dcaa61,RETURNED,2021-11-14 03:27:22.793000,,124453.286203,27,90,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190829750c0888cfdcbdd9a,558f226dfdf99b6ebd36218a,APPROVED,2021-11-14 03:29:30.942000,2021-11-14 03:55:32.411000,1561.469,41,76,0,100,2021-11-14 11:40:37.270000,804E44E8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6190836b0b6123bd11ffa25d,5a6d05fb3fb6420001c31279,TIMED-OUT,2021-11-14 03:32:59.905000,,124116.204868,57,29,0,100,,,New Zealand,New Zealand,DATA EXPIRED,English,New Zealand,Male,DATA EXPIRED
61908738b4ff08f1f73328dd,5b4141c3ebd5a4000119c1eb,APPROVED,2021-11-14 03:56:22.261000,2021-11-14 04:15:28.101000,1145.84,24,39,0,100,2021-11-14 11:40:41.123000,804E44E8,Canada,Canada,Unemployed (and job seeking),English,Canada,Female,Yes
61908c60cffb8d6eff022e81,60835eba178d9a75f7082d00,APPROVED,2021-11-14 04:11:16.103000,2021-11-14 04:56:31.894000,2715.791,27,21,0,100,2021-11-14 11:40:41.222000,804E44E8,South Africa,South Africa,Full-Time,English,South Africa,Female,Yes
61908c638241c916fca9aeb2,5ad2c7f6459c3500011375a5,TIMED-OUT,2021-11-14 04:11:19.483000,,121816.681593,22,51,1,100,,,Canada,Canada,Full-Time,English,Canada,Female,No
61908ceb6446dee7ac55553a,609252692568228b9e5399b0,RETURNED,2021-11-14 04:13:41.300000,,121674.884344,33,39,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61908e760d2919fb37b102c3,60ef639fd43d95445f4e3961,APPROVED,2021-11-14 04:20:12.961000,2021-11-14 04:55:11.038000,2098.077,41,50,0,100,2021-11-14 11:40:41.354000,804E44E8,Ireland,Ireland,DATA EXPIRED,English,Ireland,Female,DATA EXPIRED
61908e80ee20beae06574e3d,60e778bc34513cf9744eee56,TIMED-OUT,2021-11-14 04:20:18.931000,,121277.291889,29,42,0,100,,,Ireland,Ireland,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Ireland,Female,No
61908f2c8f2ad8c8ebd04bc4,6037ba894d34b607ad1f0d09,APPROVED,2021-11-14 04:23:11.921000,2021-11-14 05:17:55.864000,3283.943,23,65,0,100,2021-11-14 11:40:41.477000,804E44E8,Australia,Australia,Unemployed (and job seeking),English,Australia,Female,Yes
61908fea4a4179d0ef0eaabb,60a4f997a173190852d69166,TIMED-OUT,2021-11-14 04:26:27.322000,,120908.939907,40,45,1,100,,,South Africa,South Africa,Full-Time,English,South Africa,Male,No
