session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6192b0329be84a8aa63cd8ed,60a55b2b2c245756335974ee,APPROVED,2021-11-15 19:09:16.939000,2021-11-15 19:33:44.260000,1467.321,28,47,1,100,2021-11-15 20:49:14.945000,4A88BA87,South Africa,South Africa,Full-Time,English,South Africa,Female,No
6192b06a5fd95bcdd73d0e49,6012c41ab1babe06a4caac79,APPROVED,2021-11-15 19:09:33.270000,2021-11-15 19:44:23.610000,2090.34,45,148,0,100,2021-11-15 20:49:15.028000,4A88BA87,Zimbabwe,South Africa,Unemployed (and job seeking),English,Zimbabwe,Female,Yes
6192b0858ebf39f758eb1c73,60e18e07547d88000e6606aa,REJECTED,2021-11-15 19:10:01.154000,2021-11-15 19:29:01.129000,1139.975,42,52,1,100,2021-11-15 19:55:52.082000,NOCODE,United Kingdom,Ireland,Part-Time,English,United Kingdom,Female,No
6192b0918976dbe85d709a83,5f5aac0291f8b61a084d1bd6,APPROVED,2021-11-15 19:11:49.921000,2021-11-15 19:34:03.337000,1333.416,27,58,0,100,2021-11-15 20:49:15.113000,4A88BA87,New Zealand,New Zealand,Part-Time,English,New Zealand,Female,No
6192b0a119e39b13ef8e7719,6044de15c6d07557bd594f75,APPROVED,2021-11-15 19:10:55.373000,2021-11-15 19:41:15.642000,1820.269,22,88,2,100,2021-11-15 20:49:14.526000,4A88BA87,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Male,Yes
6192b0a4aa0b72831bfb06c1,60d2047fa2a559315ac26c69,APPROVED,2021-11-15 19:10:36.506000,2021-11-15 19:53:23.296000,2566.79,19,58,0,100,2021-11-15 20:49:15.183000,4A88BA87,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
6192b0fcb43cf1aef51b45ac,5af196e1e1b5b8000148ac76,APPROVED,2021-11-15 19:11:56.652000,2021-11-15 19:26:25.218000,868.566,32,178,0,100,2021-11-15 20:49:14.602000,4A88BA87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,Yes
6192b14133340baf35bdd98f,5fa0116685177c0158e77913,APPROVED,2021-11-15 19:13:05.932000,2021-11-15 20:01:39.511000,2913.579,26,133,0,100,2021-11-15 20:49:14.671000,4A88BA87,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Male,No
6192b1474ab3b6edb1d319dc,5ea944c287b415000ce42862,APPROVED,2021-11-15 19:13:11.660000,2021-11-15 19:34:21.673000,1270.013,47,385,0,100,2021-11-15 20:49:14.744000,4A88BA87,Spain,Spain,Full-Time,English,Spain,Male,Yes
6192b155e2d9e662025d5282,5ca29ee193d3840001f6499a,APPROVED,2021-11-15 19:13:25.941000,2021-11-15 19:56:09.768000,2563.827,36,374,0,100,2021-11-15 20:49:14.824000,4A88BA87,Ireland,Ireland,DATA EXPIRED,English,Ireland,Male,DATA EXPIRED
6192bb537b21bf87c8bee82c,5c365b5e8821900001b3876c,RETURNED,2021-11-15 19:56:05.967000,,63630.867331,61,1709,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6192bc1ee4b83620d4dd3f55,57ab1dd9082d1f00013d5c3f,APPROVED,2021-11-15 19:59:26.054000,2021-11-15 20:43:05.100000,2619.046,50,893,5,100,2021-11-15 20:49:15.273000,4A88BA87,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
