cntrQ,diffB,strTotal
1,0.21694669665981525,idc63-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EEM-fcs_WHAT_Qn-bsln_19.71)15.52)16.76_f-cntrQ_1
2,-0.21233235339543027,idc64-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EEH-fcs_WHAT_Qn-bsln_27.17)24.93)30.90_t-cntrQ_2
3,-0.03248521959548206,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EME-fcs_WHAT_Qn-bsln_42.89)43.35)46.53_t-cntrQ_3
4,0.10452263869463885,idc32-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EMM-fcs_WHAT_Qn-bsln_38.98)34.69)15.13_f-cntrQ_4
5,-0.1340665073529415,idc72-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EMH-fcs_WHAT_Qn-bsln_84.11)77.48)28.42_t-cntrQ_5
6,-0.06820877836118483,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EHE-fcs_WHAT_Qn-bsln_32.22)34.69)37.70_t-cntrQ_6
7,0.017194914488612545,idc54-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EHM-fcs_WHAT_Qn-bsln_59.27)56.13)52.75_f-cntrQ_7
8,-0.11478728518783543,idc34-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EHH-fcs_WHAT_Qn-bsln_18.77)27.34)20.12_t-cntrQ_8
9,-0.19576081500000014,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_32.50)42.60)24.24_t-cntrQ_9
10,-0.0801286184485408,idc63-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEM-fcs_WHAT_Qn-bsln_14.99)15.52)37.12_t-cntrQ_10
11,0.1336542484965037,idc64-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEH-fcs_WHAT_Qn-bsln_25.90)24.93)41.69_f-cntrQ_11
12,-0.009368617516012423,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EME-fcs_WHAT_Qn-bsln_46.22)43.35)37.62_t-cntrQ_12
13,-0.02081127623280865,idc32-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EMM-fcs_WHAT_Qn-bsln_37.51)34.69)36.49_t-cntrQ_13
14,0.03391508868157833,idc72-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EMH-fcs_WHAT_Qn-bsln_80.48)77.48)24.47_f-cntrQ_14
15,-0.10360623566842475,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EHE-fcs_WHAT_Qn-bsln_34.10)34.69)47.59_t-cntrQ_15
16,-0.11433965625725628,idc54-sF-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EHM-fcs_WHAT_Qn-bsln_60.36)56.13)23.62_t-cntrQ_16
17,-0.07624810119047604,idc34-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EHH-fcs_WHAT_Qn-bsln_28.04)27.34)10.83_t-cntrQ_17
18,-0.33530073947612343,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEE-fcs_WHAT_Qn-bsln_35.07)42.60)25.15_t-cntrQ_18
