StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q15,Q11,Q12,Q13,Q17,Q14,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q26_1,Q27_1,Q28_1,Q29,Q30,Q31,Q32,Q33,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35_1,Q36_1,Q37_1,Q38,Q39,Q40,Q41,Q42,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44_1,Q45_1,Q46_1,Q47,Q48,Q49,Q50,Q51,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,Q53_1,Q54_1,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q62_1,Q63_1,Q64_1,Q65,Q66,Q67,Q68,Q69,Q160_First Click,Q160_Last Click,Q160_Page Submit,Q160_Click Count,Q161_1,Q162_1,Q163_1,Q164,Q165,Q166,Q167,Q168,Q169_First Click,Q169_Last Click,Q169_Page Submit,Q169_Click Count,Q170_1,Q171_1,Q172_1,Q173,Q174,Q175,Q176,Q177,Q178_First Click,Q178_Last Click,Q178_Page Submit,Q178_Click Count,Q179_1,Q180_1,Q181_1,Q182,Q183,Q184,Q185,Q186,Q187_First Click,Q187_Last Click,Q187_Page Submit,Q187_Click Count,Q188_1,Q189_1,Q190_1,Q191,Q192,Q193,Q194,Q195,Q196_First Click,Q196_Last Click,Q196_Page Submit,Q196_Click Count,Q197_1,Q198_1,Q199_1,Q200,Q201,Q202,Q203,Q204,Q295_First Click,Q295_Last Click,Q295_Page Submit,Q295_Click Count,Q296_1,Q297_1,Q298_1,Q299,Q300,Q301,Q302,Q303,Q304_First Click,Q304_Last Click,Q304_Page Submit,Q304_Click Count,Q305_1,Q306_1,Q307_1,Q308,Q309,Q310,Q311,Q312,Q313_First Click,Q313_Last Click,Q313_Page Submit,Q313_Click Count,Q314_1,Q315_1,Q316_1,Q317,Q318,Q319,Q320,Q321,Q322_First Click,Q322_Last Click,Q322_Page Submit,Q322_Click Count,Q323_1,Q324_1,Q325_1,Q326,Q327,Q328,Q329,Q330,Q331_First Click,Q331_Last Click,Q331_Page Submit,Q331_Click Count,Q332_1,Q333_1,Q334_1,Q335,Q336,Q337,Q338,Q339,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q71_1,Q72_1,Q73_1,Q74,Q75,Q76,Q77,Q78,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q80_1,Q81_1,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89_1,Q90_1,Q91_1,Q92,Q93,Q94,Q95,Q96,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q98_1,Q99_1,Q100_1,Q101,Q102,Q103,Q104,Q105,Q106_First Click,Q106_Last Click,Q106_Page Submit,Q106_Click Count,Q107_1,Q108_1,Q109_1,Q110,Q111,Q112,Q113,Q114,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,Q206_1,Q207_1,Q208_1,Q209,Q210,Q211,Q212,Q213,Q214_First Click,Q214_Last Click,Q214_Page Submit,Q214_Click Count,Q215_1,Q216_1,Q217_1,Q218,Q219,Q220,Q221,Q222,Q223_First Click,Q223_Last Click,Q223_Page Submit,Q223_Click Count,Q224_1,Q225_1,Q226_1,Q227,Q228,Q229,Q230,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q233_1,Q234_1,Q235_1,Q236,Q237,Q238,Q239,Q240,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,Q242_1,Q243_1,Q244_1,Q245,Q246,Q247,Q248,Q249,Q340_First Click,Q340_Last Click,Q340_Page Submit,Q340_Click Count,Q341_1,Q342_1,Q343_1,Q344,Q345,Q346,Q347,Q348,Q349_First Click,Q349_Last Click,Q349_Page Submit,Q349_Click Count,Q350_1,Q351_1,Q352_1,Q353,Q354,Q355,Q356,Q357,Q358_First Click,Q358_Last Click,Q358_Page Submit,Q358_Click Count,Q359_1,Q360_1,Q361_1,Q362,Q363,Q364,Q365,Q366,Q367_First Click,Q367_Last Click,Q367_Page Submit,Q367_Click Count,Q368_1,Q369_1,Q370_1,Q371,Q372,Q373,Q374,Q375,Q376_First Click,Q376_Last Click,Q376_Page Submit,Q376_Click Count,Q377_1,Q378_1,Q379_1,Q380,Q381,Q382,Q383,Q384,Q115_First Click,Q115_Last Click,Q115_Page Submit,Q115_Click Count,Q116_1,Q117_1,Q118_1,Q119,Q120,Q121,Q122,Q123,Q124_First Click,Q124_Last Click,Q124_Page Submit,Q124_Click Count,Q125_1,Q126_1,Q127_1,Q128,Q129,Q130,Q131,Q132,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q134_1,Q135_1,Q136_1,Q137,Q138,Q139,Q140,Q141,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,Q143_1,Q144_1,Q145_1,Q146,Q147,Q148,Q149,Q150,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,Q152_1,Q153_1,Q154_1,Q155,Q156,Q157,Q158,Q159,Q250_First Click,Q250_Last Click,Q250_Page Submit,Q250_Click Count,Q251_1,Q252_1,Q253_1,Q254,Q255,Q256,Q257,Q258,Q259_First Click,Q259_Last Click,Q259_Page Submit,Q259_Click Count,Q260_1,Q261_1,Q262_1,Q263,Q264,Q265,Q266,Q267,Q268_First Click,Q268_Last Click,Q268_Page Submit,Q268_Click Count,Q269_1,Q270_1,Q271_1,Q272,Q273,Q274,Q275,Q276,Q277_First Click,Q277_Last Click,Q277_Page Submit,Q277_Click Count,Q278_1,Q279_1,Q280_1,Q281,Q282,Q283,Q284,Q285,Q286_First Click,Q286_Last Click,Q286_Page Submit,Q286_Click Count,Q287_1,Q288_1,Q289_1,Q290,Q291,Q292,Q293,Q294,Q385_First Click,Q385_Last Click,Q385_Page Submit,Q385_Click Count,Q386_1,Q387_1,Q388_1,Q389,Q390,Q391,Q392,Q393,Q394_First Click,Q394_Last Click,Q394_Page Submit,Q394_Click Count,Q395_1,Q396_1,Q397_1,Q398,Q399,Q400,Q401,Q402,Q403_First Click,Q403_Last Click,Q403_Page Submit,Q403_Click Count,Q404_1,Q405_1,Q406_1,Q407,Q408,Q409,Q410,Q411,Q412_First Click,Q412_Last Click,Q412_Page Submit,Q412_Click Count,Q413_1,Q414_1,Q415_1,Q416,Q417,Q418,Q419,Q420,Q421_First Click,Q421_Last Click,Q421_Page Submit,Q421_Click Count,Q422_1,Q423_1,Q424_1,Q425,Q426,Q427,Q428,Q429
30/10/2021 20:07,30/10/2021 20:36,IP Address,138.51.150.191,100,1754,True,30/10/2021 20:36,R_3NWeXxuFAtNvBSU,,,,,43.53660583,-79.69190216,anonymous,EN,I agree to take part in this study,61118b8a86db70c1e312c259,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.691,77.173,78.238,10,84,73,72,Neither agree nor disagree,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,18.106,86.189,87.689,9,60,71,57,Disagree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.706,150.328,151.896,12,75,71,41,Neither agree nor disagree,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.153,195.332,196.493,10,20,23,72,Disagree,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.406,133.706,134.652,13,7,22,23,Agree,5,4,4,5,81.662,149.705,150.541,9,17,22,73,Disagree,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.826,95.044,96.953,11,7,10,84,Agree,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.854,146.913,149.311,100,4,4,24,Agree,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.371,77.439,78.461,11,10,5,27,Neither agree nor disagree,3,3,4,2,,,,,,,,,,,,
30/10/2021 20:21,30/10/2021 20:44,IP Address,99.51.151.218,100,1344,True,30/10/2021 20:44,R_3et9gkv19S32CnH,,,,,34.06750488,-118.3520966,anonymous,EN,I agree to take part in this study,5f470cabf1863a0fb0eb7d61,Down,From time 10 to 30 and time 60 to 70,Time 75,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,17.694,146.869,147.792,27,75,84,70,Disagree,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,74.781,75.685,9,81,70,50,Disagree,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35,69.364,70.961,12,75,60,16,Disagree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.532,74.576,75.302,10,89,30,80,Disagree,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.188,177.425,178.301,17,42,79,23,Disagree,5,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.129,97.634,98.546,9,57,84,80,Neither agree nor disagree,4,4,4,2,,,,,,,,,,,,,31.176,58.939,60.117,10,70,100,70,Disagree,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.987,91.086,92.596,10,65,90,65,Disagree,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.683,199.42,200.95,13,50,100,73,Disagree,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:09,30/10/2021 21:15,IP Address,68.129.164.67,100,367,True,30/10/2021 21:15,R_3HReKL11KwfLdlD,,,,,41.08410645,-73.83969879,anonymous,EN,I agree to take part in this study,61089f79336756945af6c234,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,8.206,36.257,37.092,13,51,64,18,Neither agree nor disagree,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.432,28.458,29.425,10,70,71,31,Neither agree nor disagree,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.024,26.063,26.964,11,65,71,17,Neither agree nor disagree,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.838,61.11,61.948,11,7,20,35,Neither agree nor disagree,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,34.002,34.455,17,14,21,28,Neither agree nor disagree,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.175,24.575,25.415,12,59,79,55,Neither agree nor disagree,4,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.918,42.525,43.355,13,9,25,14,Neither agree nor disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.326,23.459,24.473,20,18,35,12,Neither agree nor disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.914,16.245,17.053,9,29,55,44,Neither agree nor disagree,3,3,4,2
30/10/2021 21:15,30/10/2021 21:28,IP Address,99.58.1.192,100,729,True,30/10/2021 21:28,R_1diaJCC7e14VJcd,,,,,32.82420349,-96.7507019,anonymous,EN,I agree to take part in this study,60fcde7858e7b5e782c587e3,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.24,64.822,66.885,12,24,40,62,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,65.939,66.553,12,55,65,52,Disagree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.018,42.433,43.161,10,69,80,30,Disagree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.316,49.781,50.653,12,4,15,25,Agree,4,4,4,4,,,,,,,,,,,,,15.206,45.033,45.905,13,21,78,21,Disagree,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.674,66.74,67.522,11,22,78,58,Neither agree nor disagree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.449,96.949,98.029,127,60,85,75,Neither agree nor disagree,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.159,30.186,31.115,10,20,80,20,Disagree,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58,43.032,43.862,13,20,90,16,Neither agree nor disagree,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:15,30/10/2021 21:33,IP Address,180.150.115.177,100,1091,True,30/10/2021 21:33,R_3ixSDblLFM11cDb,,,,,-34.92739868,138.6004944,anonymous,EN,I agree to take part in this study,5f5cacf2f7e0494a48769448,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.493,47.993,48.697,9,28,32,63,Disagree,4,4,4,4,28.847,104.717,112.605,12,44,38,46,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.63,95.113,96.159,15,75,58,10,Disagree,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.122,65.326,66.07,14,83,22,80,Disagree,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.519,56.301,57.586,10,35,78,23,Agree,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,2.328,110.887,111.911,10,40,86,66,Neither agree nor disagree,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.335,87.5,88.233,14,24,34,4,Disagree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.41,112.214,121.566,11,63,20,7,Disagree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.777,60.151,60.898,11,22,35,20,Agree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:16,30/10/2021 21:38,IP Address,173.34.140.20,100,1315,True,30/10/2021 21:38,R_2Sfear423Df4LTX,,,,,44.354599,-79.68890381,anonymous,EN,I agree to take part in this study,606d48dba13858d9f6914ab1,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,59.7,116.617,117.918,16,26,35,65,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.307,61.905,63.286,14,63,70,61,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.803,107.875,108.658,24,70,65,25,Agree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.962,83.026,83.822,14,5,14,20,Disagree,4,4,4,3,,,,,,,,,,,,,11.632,43.859,46.059,11,24,78,24,Disagree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.783,156.094,156.901,22,55,70,60,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.783,71.217,72.077,10,17,25,68,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,46.336,111.628,112.628,19,15,35,39,Agree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.764,79.4,80.236,13,19,36,49,Agree,4,4,4,5
30/10/2021 21:14,30/10/2021 21:38,IP Address,174.112.107.148,100,1436,True,30/10/2021 21:38,R_3Kp7JYjkeFDD1wW,,,,,45.27220154,-75.75219727,anonymous,EN,I agree to take part in this study,6096a175a2933cf1f6987fc4,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.247,70.618,72.498,15,86,88,77,Agree,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,13.802,125.252,125.811,15,60,70,71,Neither agree nor disagree,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.199,76.395,76.921,18,70,68,20,Disagree,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2.96,95.869,98.435,17,16,35,76,Disagree,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.885,140.968,142.141,18,6,17,55,Disagree,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.832,110.164,111.097,16,20,25,70,Disagree,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.278,87.118,87.963,15,20,20,78,Agree,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.332,126.762,127.821,21,10,25,20,Agree,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.253,82.135,82.816,16,15,26,34,Agree,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:11,30/10/2021 22:02,IP Address,107.77.79.37,100,3069,True,30/10/2021 22:02,R_1LojhWxPNHQQ8hm,,,,,37.75100708,-97.8219986,anonymous,EN,I agree to take part in this study,60f72f4f1341357926bf94cc,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,75.284,190.243,191.433,12,80,75,73,Agree,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.251,143.114,144.925,14,55,45,40,Agree,1,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.605,225.255,226.497,29,70,50,13,Disagree,2,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.167,189.148,197.778,13,27,20,77,Disagree,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.786,203.136,219.569,24,12,25,40,Disagree,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.091,385.689,386.534,15,45,73,50,Disagree,1,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.782,211.845,220.344,22,15,30,10,Disagree,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.01,244.062,253.335,16,5,15,25,Agree,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.732,154.802,156.638,15,20,50,15,Disagree,2,1,4,5,,,,,,,,,,,,
30/10/2021 21:36,30/10/2021 22:23,IP Address,99.242.76.133,100,2819,True,30/10/2021 22:23,R_1KiLUp7161sJiss,,,,,42.98860168,-81.18440247,anonymous,EN,I agree to take part in this study,60fda481a96c200924ca0ea9,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,93.171,158.786,159.701,8,45,40,10,Agree,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.59,237.426,238.421,74,60,70,30,Neither agree nor disagree,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.181,89.281,90.989,15,75,75,35,Agree,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,114.536,213.377,214.342,13,35,12,8,Disagree,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.057,150.456,151.992,8,8,24,20,Disagree,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.796,238.759,240.247,11,90,78,60,Disagree,3,5,3,1,,,,,,,,,,,,,93.225,185.259,188.032,10,15,20,85,Neither agree nor disagree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.036,144.203,145.01,9,15,30,15,Agree,3,4,4,3,121.632,197.763,198.742,9,20,20,30,Neither agree nor disagree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 22:15,30/10/2021 22:40,IP Address,114.198.21.50,100,1510,True,30/10/2021 22:40,R_5v6EM5P8N88Q6tP,,,,,-33.87150574,151.200592,anonymous,EN,I agree to take part in this study,6159954e3d79c50aac7fc101,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,37.682,77.573,79.02,9,79,75,75,Neither agree nor disagree,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.884,99.38,100.252,8,81,73,38,Neither agree nor disagree,2,3,3,1,38.957,105.609,112.675,11,81,75,50,Disagree,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.394,115.06,115.808,14,20,26,77,Disagree,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.109,107.471,108.455,12,25,78,25,Disagree,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.828,88.563,89.481,11,50,78,65,Disagree,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,23.527,299.776,300.83,12,29,24,84,Agree,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.101,78.025,79.504,8,10,30,20,Agree,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.456,66.61,68.326,10,20,26,60,Disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
