StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q15,Q11,Q12,Q13,Q17,Q14,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q26_1,Q27_1,Q28_1,Q29,Q30,Q31,Q32,Q33,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35_1,Q36_1,Q37_1,Q38,Q39,Q40,Q41,Q42,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44_1,Q45_1,Q46_1,Q47,Q48,Q49,Q50,Q51,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,Q53_1,Q54_1,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q62_1,Q63_1,Q64_1,Q65,Q66,Q67,Q68,Q69,Q160_First Click,Q160_Last Click,Q160_Page Submit,Q160_Click Count,Q161_1,Q162_1,Q163_1,Q164,Q165,Q166,Q167,Q168,Q169_First Click,Q169_Last Click,Q169_Page Submit,Q169_Click Count,Q170_1,Q171_1,Q172_1,Q173,Q174,Q175,Q176,Q177,Q178_First Click,Q178_Last Click,Q178_Page Submit,Q178_Click Count,Q179_1,Q180_1,Q181_1,Q182,Q183,Q184,Q185,Q186,Q187_First Click,Q187_Last Click,Q187_Page Submit,Q187_Click Count,Q188_1,Q189_1,Q190_1,Q191,Q192,Q193,Q194,Q195,Q196_First Click,Q196_Last Click,Q196_Page Submit,Q196_Click Count,Q197_1,Q198_1,Q199_1,Q200,Q201,Q202,Q203,Q204,Q295_First Click,Q295_Last Click,Q295_Page Submit,Q295_Click Count,Q296_1,Q297_1,Q298_1,Q299,Q300,Q301,Q302,Q303,Q304_First Click,Q304_Last Click,Q304_Page Submit,Q304_Click Count,Q305_1,Q306_1,Q307_1,Q308,Q309,Q310,Q311,Q312,Q313_First Click,Q313_Last Click,Q313_Page Submit,Q313_Click Count,Q314_1,Q315_1,Q316_1,Q317,Q318,Q319,Q320,Q321,Q322_First Click,Q322_Last Click,Q322_Page Submit,Q322_Click Count,Q323_1,Q324_1,Q325_1,Q326,Q327,Q328,Q329,Q330,Q331_First Click,Q331_Last Click,Q331_Page Submit,Q331_Click Count,Q332_1,Q333_1,Q334_1,Q335,Q336,Q337,Q338,Q339,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q71_1,Q72_1,Q73_1,Q74,Q75,Q76,Q77,Q78,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q80_1,Q81_1,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89_1,Q90_1,Q91_1,Q92,Q93,Q94,Q95,Q96,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q98_1,Q99_1,Q100_1,Q101,Q102,Q103,Q104,Q105,Q106_First Click,Q106_Last Click,Q106_Page Submit,Q106_Click Count,Q107_1,Q108_1,Q109_1,Q110,Q111,Q112,Q113,Q114,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,Q206_1,Q207_1,Q208_1,Q209,Q210,Q211,Q212,Q213,Q214_First Click,Q214_Last Click,Q214_Page Submit,Q214_Click Count,Q215_1,Q216_1,Q217_1,Q218,Q219,Q220,Q221,Q222,Q223_First Click,Q223_Last Click,Q223_Page Submit,Q223_Click Count,Q224_1,Q225_1,Q226_1,Q227,Q228,Q229,Q230,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q233_1,Q234_1,Q235_1,Q236,Q237,Q238,Q239,Q240,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,Q242_1,Q243_1,Q244_1,Q245,Q246,Q247,Q248,Q249,Q340_First Click,Q340_Last Click,Q340_Page Submit,Q340_Click Count,Q341_1,Q342_1,Q343_1,Q344,Q345,Q346,Q347,Q348,Q349_First Click,Q349_Last Click,Q349_Page Submit,Q349_Click Count,Q350_1,Q351_1,Q352_1,Q353,Q354,Q355,Q356,Q357,Q358_First Click,Q358_Last Click,Q358_Page Submit,Q358_Click Count,Q359_1,Q360_1,Q361_1,Q362,Q363,Q364,Q365,Q366,Q367_First Click,Q367_Last Click,Q367_Page Submit,Q367_Click Count,Q368_1,Q369_1,Q370_1,Q371,Q372,Q373,Q374,Q375,Q376_First Click,Q376_Last Click,Q376_Page Submit,Q376_Click Count,Q377_1,Q378_1,Q379_1,Q380,Q381,Q382,Q383,Q384,Q115_First Click,Q115_Last Click,Q115_Page Submit,Q115_Click Count,Q116_1,Q117_1,Q118_1,Q119,Q120,Q121,Q122,Q123,Q124_First Click,Q124_Last Click,Q124_Page Submit,Q124_Click Count,Q125_1,Q126_1,Q127_1,Q128,Q129,Q130,Q131,Q132,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q134_1,Q135_1,Q136_1,Q137,Q138,Q139,Q140,Q141,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,Q143_1,Q144_1,Q145_1,Q146,Q147,Q148,Q149,Q150,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,Q152_1,Q153_1,Q154_1,Q155,Q156,Q157,Q158,Q159,Q250_First Click,Q250_Last Click,Q250_Page Submit,Q250_Click Count,Q251_1,Q252_1,Q253_1,Q254,Q255,Q256,Q257,Q258,Q259_First Click,Q259_Last Click,Q259_Page Submit,Q259_Click Count,Q260_1,Q261_1,Q262_1,Q263,Q264,Q265,Q266,Q267,Q268_First Click,Q268_Last Click,Q268_Page Submit,Q268_Click Count,Q269_1,Q270_1,Q271_1,Q272,Q273,Q274,Q275,Q276,Q277_First Click,Q277_Last Click,Q277_Page Submit,Q277_Click Count,Q278_1,Q279_1,Q280_1,Q281,Q282,Q283,Q284,Q285,Q286_First Click,Q286_Last Click,Q286_Page Submit,Q286_Click Count,Q287_1,Q288_1,Q289_1,Q290,Q291,Q292,Q293,Q294,Q385_First Click,Q385_Last Click,Q385_Page Submit,Q385_Click Count,Q386_1,Q387_1,Q388_1,Q389,Q390,Q391,Q392,Q393,Q394_First Click,Q394_Last Click,Q394_Page Submit,Q394_Click Count,Q395_1,Q396_1,Q397_1,Q398,Q399,Q400,Q401,Q402,Q403_First Click,Q403_Last Click,Q403_Page Submit,Q403_Click Count,Q404_1,Q405_1,Q406_1,Q407,Q408,Q409,Q410,Q411,Q412_First Click,Q412_Last Click,Q412_Page Submit,Q412_Click Count,Q413_1,Q414_1,Q415_1,Q416,Q417,Q418,Q419,Q420,Q421_First Click,Q421_Last Click,Q421_Page Submit,Q421_Click Count,Q422_1,Q423_1,Q424_1,Q425,Q426,Q427,Q428,Q429
30/10/2021 19:46,30/10/2021 19:58,IP Address,172.56.20.127,100,721,True,30/10/2021 19:58,R_2PiI6G9H8m74fWJ,,,,,33.645401,-86.70140076,anonymous,EN,I agree to take part in this study,60ffadb950ed419c7d35d8e4,Down,All the time,Time 15,At the beginning of the trajectory,Always,,,,,,,,,,,,,,,,,,,,,,,,,0.259,78.895,80.947,24,50,49,39,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.748,91.872,93.711,88,53,45,70,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,25.826,27.599,27,37,29,55,Agree,0,0,0,0,,,,,,,,,,,,,1.022,44.558,46.2,33,63,42,53,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649,68.895,86.698,53,38,41,31,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.023,34.325,36.682,36,79,31,45,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,27.861,30.156,32,36,23,62,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.457,30.947,32.675,31,54,42,75,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836,19.722,21.091,27,22,55,27,Agree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 19:36,30/10/2021 20:01,IP Address,86.23.152.210,100,1469,True,30/10/2021 20:01,R_Ybk3QCr6jcU2FgZ,,,,,53.72909546,-2.652297974,anonymous,EN,I agree to take part in this study,6175f06f5372e7fecbc6100d,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,2.145,73.501,75.162,19,87,80,81,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46,166.833,167.888,21,42,50,75,Neither agree nor disagree,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.547,64.62,65.696,15,60,90,40,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78,196.745,197.75,20,7,21,25,Disagree,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.577,81.037,82.329,15,30,78,25,Neither agree nor disagree,3,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.498,162.015,163.039,19,55,78,60,Disagree,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.182,166.079,167.854,18,15,21,80,Agree,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.046,106.585,107.54,52,15,16,48,Disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.105,60.897,62.298,14,17,24,61,Disagree,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 19:37,30/10/2021 20:15,IP Address,67.193.222.6,100,2264,True,30/10/2021 20:15,R_dgsC6VHRlqN5IT7,,,,,44.2454071,-76.58129883,anonymous,EN,I agree to take part in this study,615ba20455da492f6406f36d,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.196,238.343,239.862,11,30,30,50,Disagree,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,89.432,235.939,238.687,8,65,75,17,Agree,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,40.783,158.438,162.824,9,65,80,32,Disagree,0,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.705,135.063,137.182,8,5,12,24,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.864,138.705,140.051,13,37,78,37,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.621,377.344,378.805,8,50,62,60,Disagree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.302,156.818,158.702,10,10,15,10,Neither agree nor disagree,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,40.845,161.779,173.011,8,30,40,30,Agree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.094,159.861,163.158,8,10,20,33,Agree,1,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 20:22,30/10/2021 21:13,IP Address,174.2.171.15,100,3035,True,30/10/2021 21:13,R_2s5XfXGBNwwCBuC,,,,,52.15699768,-106.5614014,anonymous,EN,I agree to take part in this study,6174bb7a72ef56b48db822ed,Down,From time 10 to 30 and time 60 to 70,Time 60,On the first long straight section,From a little before time 70 up to a little before time 80,68.727,278.109,280.499,17,40,45,14,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.814,201.654,203.08,16,70,60,40,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.054,327.518,333.072,23,75,60,48,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.212,102.496,103.462,14,20,23,76,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.639,196.974,198.559,18,55,25,30,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.912,171.314,172.616,12,69,78,69,Agree,5,5,5,5,,,,,,,,,,,,,5.93,206.557,209.443,11,94,30,60,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.395,189.351,196.858,14,20,22,33,Neither agree nor disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.396,161.626,162.875,11,20,20,70,Agree,5,5,5,5
30/10/2021 21:17,30/10/2021 21:33,IP Address,72.140.56.101,100,975,True,30/10/2021 21:33,R_1NEbRdXceDYtToE,,,,,43.89779663,-79.26170349,anonymous,EN,I agree to take part in this study,60109112b98c813e364bc621,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.446,53.295,54.191,10,81,82,72,Disagree,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,14.524,65.651,66.454,11,63,62,65,Agree,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.568,108.691,109.792,9,61,60,74,Disagree,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.353,92.277,93.121,12,10,17,30,Agree,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,20.283,87.479,88.18,12,5,18,28,Agree,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.67,75.817,76.644,8,41,74,51,Disagree,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.828,130.37,131.119,12,30,27,19,Agree,3,2,4,3,16.104,63.4,70.929,11,14,22,31,Agree,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.47,77.905,78.879,10,18,52,28,Agree,3,0,3,3,,,,,,,,,,,,
30/10/2021 21:11,30/10/2021 21:34,IP Address,210.185.104.211,100,1358,True,30/10/2021 21:34,R_VJWkXVOSPyQQ317,,,,,-33.87150574,151.200592,anonymous,EN,I agree to take part in this study,611dd91a8baf5517b27215e4,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,13.823,126.72,127.547,12,29,36,60,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.585,92.108,93.215,9,71,79,30,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84,96.878,97.779,9,70,77,30,Disagree,3,3,4,4,24.713,110.003,110.969,8,17,35,65,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.413,123.567,124.529,11,10,16,50,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,106.771,108.283,10,52,64,40,Neither agree nor disagree,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.219,93.39,94.276,8,15,22,59,Disagree,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.495,103.988,105.374,13,15,24,30,Agree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.324,90.777,91.6,11,22,25,45,Neither agree nor disagree,3,2,4,3
30/10/2021 21:19,30/10/2021 21:54,IP Address,101.100.130.10,100,2138,True,30/10/2021 21:54,R_1FJat63OqwLwpQp,,,,,-41.36749268,174.7153015,anonymous,EN,I agree to take part in this study,61482625eea8ab06bbbfe451,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,57.247,240.177,241.081,24,49,41,20,Disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.917,83.982,85.201,12,70,75,16,Disagree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,19.565,112.803,113.64,27,71,77,28,Agree,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.582,190.529,191.849,12,22,33,72,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.674,193.29,194.352,20,12,21,28,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.401,90.2,92.593,12,53,75,48,Agree,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.711,95.89,97.651,14,59,42,77,Disagree,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.873,111.666,113.05,8,10,50,35,Agree,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.041,132.28,133.332,25,18,62,35,Agree,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:36,30/10/2021 22:00,IP Address,1.157.30.70,100,1435,True,30/10/2021 22:00,R_1ilLYUuqJsLTO93,,,,,-35.2828064,149.1282959,anonymous,EN,I agree to take part in this study,5cb9a316531e2200010b7d42,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.562,119.92,120.571,11,30,38,62,Disagree,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.585,90.925,92.348,9,75,80,20,Agree,3,3,4,3,,,,,,,,,,,,,23.469,82.664,88.987,11,60,55,30,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.852,106.084,110.488,12,5,15,24,Disagree,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.606,91.22,95.614,12,36,78,36,Agree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.572,117.813,135.022,11,67,78,85,Disagree,4,5,4,5,,,,,,,,,,,,,24.575,84.312,90.037,10,20,25,66,Disagree,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.313,105.536,106.868,9,20,25,35,Neither agree nor disagree,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.733,127.676,128.329,14,21,90,25,Agree,2,1,3,3,,,,,,,,,,,,
30/10/2021 21:18,30/10/2021 22:01,IP Address,184.145.53.192,100,2594,True,30/10/2021 22:01,R_2QswQHcvQgc26fU,,,,,43.76930237,-79.24440002,anonymous,EN,I agree to take part in this study,614e16143f7ba19d39637115,Down,From time 10 to 30 and time 60 to 70,Time 30,At the beginning of the trajectory,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.193,143.188,144.634,14,45,55,74,Neither agree nor disagree,2,3,3,3,,,,,,,,,,,,,38.841,210.601,212.08,16,43,50,43,Agree,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.062,290.634,292.16,35,20,25,18,Disagree,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.358,216.1,218.894,23,78,19,78,Neither agree nor disagree,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.497,135.508,136.859,14,11,19,30,Neither agree nor disagree,3,3,3,3,47.544,165.499,166.715,11,11,18,63,Neither agree nor disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.063,185.203,186.378,15,8,20,78,Disagree,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.243,199.727,203.143,18,10,8,70,Neither agree nor disagree,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.537,160.968,163.35,18,53,10,53,Neither agree nor disagree,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 23:33,31/10/2021 00:00,IP Address,41.13.68.64,100,1612,True,31/10/2021 00:00,R_2s7pct7ZdTcizQV,,,,,-25.75990295,28.26040649,anonymous,EN,I agree to take part in this study,6090eceba7ed23bf2003b4fa,Down,From time 10 to 30 and time 60 to 70,Time 60,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,4.669,143.096,144.74,29,70,80,90,Disagree,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.975,86.184,87.525,20,65,60,50,Disagree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.792,107.305,108.815,13,75,65,45,Disagree,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.245,147.104,148.473,14,36,26,70,Agree,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,44.347,118.832,119.688,20,52,78,40,Disagree,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.658,144.127,145.592,18,70,88,80,Disagree,2,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.431,92.789,94.126,17,20,40,25,Neither agree nor disagree,2,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,75.271,76.917,23,25,50,45,Neither agree nor disagree,1,2,4,5,20.031,95.143,96.315,17,40,50,70,Disagree,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
