StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q15,Q11,Q12,Q13,Q17,Q14,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q26_1,Q27_1,Q28_1,Q29,Q30,Q31,Q32,Q33,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35_1,Q36_1,Q37_1,Q38,Q39,Q40,Q41,Q42,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q44_1,Q45_1,Q46_1,Q47,Q48,Q49,Q50,Q51,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,Q53_1,Q54_1,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q62_1,Q63_1,Q64_1,Q65,Q66,Q67,Q68,Q69,Q160_First Click,Q160_Last Click,Q160_Page Submit,Q160_Click Count,Q161_1,Q162_1,Q163_1,Q164,Q165,Q166,Q167,Q168,Q169_First Click,Q169_Last Click,Q169_Page Submit,Q169_Click Count,Q170_1,Q171_1,Q172_1,Q173,Q174,Q175,Q176,Q177,Q178_First Click,Q178_Last Click,Q178_Page Submit,Q178_Click Count,Q179_1,Q180_1,Q181_1,Q182,Q183,Q184,Q185,Q186,Q187_First Click,Q187_Last Click,Q187_Page Submit,Q187_Click Count,Q188_1,Q189_1,Q190_1,Q191,Q192,Q193,Q194,Q195,Q196_First Click,Q196_Last Click,Q196_Page Submit,Q196_Click Count,Q197_1,Q198_1,Q199_1,Q200,Q201,Q202,Q203,Q204,Q295_First Click,Q295_Last Click,Q295_Page Submit,Q295_Click Count,Q296_1,Q297_1,Q298_1,Q299,Q300,Q301,Q302,Q303,Q304_First Click,Q304_Last Click,Q304_Page Submit,Q304_Click Count,Q305_1,Q306_1,Q307_1,Q308,Q309,Q310,Q311,Q312,Q313_First Click,Q313_Last Click,Q313_Page Submit,Q313_Click Count,Q314_1,Q315_1,Q316_1,Q317,Q318,Q319,Q320,Q321,Q322_First Click,Q322_Last Click,Q322_Page Submit,Q322_Click Count,Q323_1,Q324_1,Q325_1,Q326,Q327,Q328,Q329,Q330,Q331_First Click,Q331_Last Click,Q331_Page Submit,Q331_Click Count,Q332_1,Q333_1,Q334_1,Q335,Q336,Q337,Q338,Q339,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q71_1,Q72_1,Q73_1,Q74,Q75,Q76,Q77,Q78,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q80_1,Q81_1,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89_1,Q90_1,Q91_1,Q92,Q93,Q94,Q95,Q96,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q98_1,Q99_1,Q100_1,Q101,Q102,Q103,Q104,Q105,Q106_First Click,Q106_Last Click,Q106_Page Submit,Q106_Click Count,Q107_1,Q108_1,Q109_1,Q110,Q111,Q112,Q113,Q114,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,Q206_1,Q207_1,Q208_1,Q209,Q210,Q211,Q212,Q213,Q214_First Click,Q214_Last Click,Q214_Page Submit,Q214_Click Count,Q215_1,Q216_1,Q217_1,Q218,Q219,Q220,Q221,Q222,Q223_First Click,Q223_Last Click,Q223_Page Submit,Q223_Click Count,Q224_1,Q225_1,Q226_1,Q227,Q228,Q229,Q230,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q233_1,Q234_1,Q235_1,Q236,Q237,Q238,Q239,Q240,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,Q242_1,Q243_1,Q244_1,Q245,Q246,Q247,Q248,Q249,Q340_First Click,Q340_Last Click,Q340_Page Submit,Q340_Click Count,Q341_1,Q342_1,Q343_1,Q344,Q345,Q346,Q347,Q348,Q349_First Click,Q349_Last Click,Q349_Page Submit,Q349_Click Count,Q350_1,Q351_1,Q352_1,Q353,Q354,Q355,Q356,Q357,Q358_First Click,Q358_Last Click,Q358_Page Submit,Q358_Click Count,Q359_1,Q360_1,Q361_1,Q362,Q363,Q364,Q365,Q366,Q367_First Click,Q367_Last Click,Q367_Page Submit,Q367_Click Count,Q368_1,Q369_1,Q370_1,Q371,Q372,Q373,Q374,Q375,Q376_First Click,Q376_Last Click,Q376_Page Submit,Q376_Click Count,Q377_1,Q378_1,Q379_1,Q380,Q381,Q382,Q383,Q384,Q115_First Click,Q115_Last Click,Q115_Page Submit,Q115_Click Count,Q116_1,Q117_1,Q118_1,Q119,Q120,Q121,Q122,Q123,Q124_First Click,Q124_Last Click,Q124_Page Submit,Q124_Click Count,Q125_1,Q126_1,Q127_1,Q128,Q129,Q130,Q131,Q132,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q134_1,Q135_1,Q136_1,Q137,Q138,Q139,Q140,Q141,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,Q143_1,Q144_1,Q145_1,Q146,Q147,Q148,Q149,Q150,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,Q152_1,Q153_1,Q154_1,Q155,Q156,Q157,Q158,Q159,Q250_First Click,Q250_Last Click,Q250_Page Submit,Q250_Click Count,Q251_1,Q252_1,Q253_1,Q254,Q255,Q256,Q257,Q258,Q259_First Click,Q259_Last Click,Q259_Page Submit,Q259_Click Count,Q260_1,Q261_1,Q262_1,Q263,Q264,Q265,Q266,Q267,Q268_First Click,Q268_Last Click,Q268_Page Submit,Q268_Click Count,Q269_1,Q270_1,Q271_1,Q272,Q273,Q274,Q275,Q276,Q277_First Click,Q277_Last Click,Q277_Page Submit,Q277_Click Count,Q278_1,Q279_1,Q280_1,Q281,Q282,Q283,Q284,Q285,Q286_First Click,Q286_Last Click,Q286_Page Submit,Q286_Click Count,Q287_1,Q288_1,Q289_1,Q290,Q291,Q292,Q293,Q294,Q385_First Click,Q385_Last Click,Q385_Page Submit,Q385_Click Count,Q386_1,Q387_1,Q388_1,Q389,Q390,Q391,Q392,Q393,Q394_First Click,Q394_Last Click,Q394_Page Submit,Q394_Click Count,Q395_1,Q396_1,Q397_1,Q398,Q399,Q400,Q401,Q402,Q403_First Click,Q403_Last Click,Q403_Page Submit,Q403_Click Count,Q404_1,Q405_1,Q406_1,Q407,Q408,Q409,Q410,Q411,Q412_First Click,Q412_Last Click,Q412_Page Submit,Q412_Click Count,Q413_1,Q414_1,Q415_1,Q416,Q417,Q418,Q419,Q420,Q421_First Click,Q421_Last Click,Q421_Page Submit,Q421_Click Count,Q422_1,Q423_1,Q424_1,Q425,Q426,Q427,Q428,Q429
30/10/2021 20:04,30/10/2021 20:09,IP Address,202.56.55.224,100,320,True,30/10/2021 20:09,R_C7C75dJZvaARpqF,,,,,-36.8506012,174.7679138,anonymous,EN,I agree to take part in this study,616f8ea9a65ac2a245183044,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.101,26.112,26.725,16,77,80,81,Neither agree nor disagree,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,0.349,30.293,30.568,20,58,64,52,Neither agree nor disagree,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,31.47,32.013,20,69,60,34,Agree,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,17.06,36.544,36.891,19,5,16,22,Neither agree nor disagree,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.469,23.49,23.994,15,31,79,31,Neither agree nor disagree,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.306,12.389,12.902,13,57,74,56,Neither agree nor disagree,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.439,22.662,23.286,13,8,76,16,Neither agree nor disagree,4,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.771,25.006,25.579,18,36,75,32,Neither agree nor disagree,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.367,37.888,38.248,19,6,14,30,Neither agree nor disagree,4,4,3,3,,,,,,,,,,,,
30/10/2021 19:57,30/10/2021 20:20,IP Address,135.23.82.228,100,1411,True,30/10/2021 20:20,R_3smTFRCzGdCq99L,,,,,44.354599,-79.68890381,anonymous,EN,I agree to take part in this study,5b83093a3c137500019982b6,Down,From time 10 to 30 and time 60 to 70,Time 60,On the first long straight section,From a little before time 70 up to a little before time 80,35.372,119.745,120.389,12,48,36,12,Disagree,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.717,93.419,94.19,13,55,77,6,Disagree,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.607,180.051,181.053,13,50,48,75,Agree,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.232,62.602,63.317,9,5,14,20,Agree,3,3,3,3,14.315,90.905,91.577,11,9,12,70,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67,114.105,115.474,10,12,17,60,Agree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.086,57.524,58.264,9,20,18,75,Disagree,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.564,88.801,93.12,8,6,28,42,Agree,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.652,78.886,79.516,9,12,31,27,Neither agree nor disagree,3,4,3,3
30/10/2021 19:54,30/10/2021 20:21,IP Address,76.14.232.165,100,1589,True,30/10/2021 20:21,R_eqEqAowWSaFg0JX,,,,,45.25250244,-122.6824036,anonymous,EN,I agree to take part in this study,616eee064fa84629904802ab,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,27.521,147.21,148.001,18,40,39,73,Neither agree nor disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,122.811,123.831,16,13,47,45,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,8.729,91.014,91.892,15,31,47,20,Disagree,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4.581,118.557,119.692,16,14,41,46,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.796,117.341,118.198,15,12,26,31,Agree,5,4,4,4,,,,,,,,,,,,,48.301,120.209,121.285,13,38,64,35,Agree,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.568,156.091,157.42,13,36,50,46,Disagree,4,5,4,4,,,,,,,,,,,,,12.023,108.149,109.443,14,14,33,14,Agree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.949,158.928,160.125,18,30,74,51,Neither agree nor disagree,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 20:22,30/10/2021 20:38,IP Address,50.72.106.170,100,970,True,30/10/2021 20:38,R_124OBXGpBFJh9Yi,,,,,49.92349243,-97.08110046,anonymous,EN,I agree to take part in this study,616cc99a2f1e264e7f05e9d7,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,182.344,183.145,49,46,39,53,Agree,2,2,2,3,1.407,59.654,60.379,43,58,42,47,Disagree,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454,68.909,69.973,50,77,84,40,Agree,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,44.388,45.277,36,35,33,82,Disagree,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.449,94.208,95.191,57,23,62,34,Disagree,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.243,69.161,69.978,53,71,79,83,Disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795,74.108,75.155,51,48,69,49,Disagree,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.864,59.682,60.642,41,21,46,26,Agree,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,71.743,72.598,46,46,39,66,Disagree,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 20:44,30/10/2021 20:50,IP Address,70.131.50.172,100,346,True,30/10/2021 20:50,R_3L26HXF0MQIrcQ3,,,,,28.65289307,-81.21060181,anonymous,EN,I agree to take part in this study,6088240798a8c8836d704d90,Down,From time 10 to 30 and time 60 to 70,Time 60,At the beginning of the trajectory,From a little before time 70 up to a little before time 80,1.619,9.286,10.355,11,19,48,31,Neither agree nor disagree,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.893,38.834,39.81,37,68,45,86,Neither agree nor disagree,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,13.819,14.737,9,73,31,86,Agree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.405,24.983,25.91,9,60,63,59,Disagree,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.844,10.403,11.686,11,33,18,67,Neither agree nor disagree,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.988,12.692,14.3,11,50,69,66,Disagree,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.385,12.794,14.041,10,100,15,65,Agree,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.634,63.758,68.646,12,72,49,47,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,8.724,9.624,9,38,26,64,Neither agree nor disagree,1,1,1,2
30/10/2021 20:06,30/10/2021 20:50,IP Address,58.178.201.62,100,2639,True,30/10/2021 20:50,R_3GfGbmQCeIjyCeM,,,,,-38.15710449,145.9335022,anonymous,EN,I agree to take part in this study,6152f6c78729cbb703d8088e,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,33.538,152.21,183.797,8,30,35,62,Disagree,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.999,270.831,286.98,12,60,70,53,Neither agree nor disagree,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.129,164.53,184.875,10,65,62,50,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.336,151.504,164.514,8,15,17,76,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,37.795,136.185,157.993,9,17,78,17,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.83,204.2,208.549,10,35,79,50,Neither agree nor disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,51.78,176.22,212.091,9,19,21,76,Disagree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.76,171.32,186.143,8,28,70,28,Agree,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.272,134.52,149.738,11,2,15,25,Disagree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 20:19,30/10/2021 20:55,IP Address,73.73.206.115,100,2132,True,30/10/2021 20:55,R_1GZX5y6G1DDQ82k,,,,,41.7467041,-87.72070313,anonymous,EN,I agree to take part in this study,6167bd607a81dede537aa23b,Down,From time 10 to 30 and time 60 to 70,Time 30,At the beginning of the trajectory,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.698,104.703,106.149,9,83,82,71,Disagree,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.687,82.864,84.529,9,50,50,50,Disagree,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.918,61.641,62.99,9,50,69,25,Disagree,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.243,94.775,95.753,11,8,15,30,Neither agree nor disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.259,346.523,350.563,8,15,35,25,Agree,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69,104.149,105.407,11,47,78,27,Disagree,0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,24.096,71.07,72.398,8,50,48,15,Neither agree nor disagree,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.45,151.901,154.026,13,10,32,40,Neither agree nor disagree,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.401,92.518,94.067,8,8,15,33,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,
30/10/2021 20:49,30/10/2021 21:05,IP Address,151.210.168.39,100,1001,True,30/10/2021 21:06,R_3hflWKfQ7hdlmBl,,,,,-43.53790283,172.6151123,anonymous,EN,I agree to take part in this study,60fd1351dfa793fc0641a7fa,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,11.998,53.872,54.529,10,74,69,67,Disagree,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.284,63.171,63.961,9,48,37,39,Agree,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.079,72.902,73.829,10,65,74,47,Agree,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.813,69.509,70.326,10,7,17,26,Disagree,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,53.114,53.84,10,28,78,30,Neither agree nor disagree,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.394,169.42,170.861,14,52,74,69,Neither agree nor disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.434,66.111,67.006,8,32,53,64,Disagree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,25.892,71.55,72.38,15,84,74,19,Neither agree nor disagree,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115,80.124,80.79,8,31,69,45,Agree,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2021 21:47,30/10/2021 21:59,IP Address,72.140.56.101,100,725,True,30/10/2021 21:59,R_1ibqkpb6VrqCl2I,,,,,43.89779663,-79.26170349,anonymous,EN,I agree to take part in this study,60109112b98c813e364bc621,Down,From time 10 to 30 and time 60 to 70,Time 30,On the first long straight section,From a little before time 70 up to a little before time 80,12.093,54.604,55.297,10,40,38,17,Agree,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.899,51.378,51.897,9,56,80,11,Agree,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.511,55.645,56.918,10,67,61,28,Agree,4,4,4,3,11.966,94.089,95.673,10,18,25,80,Disagree,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.922,67.109,67.809,10,38,78,36,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,22.947,89.175,91.55,9,37,59,53,Disagree,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.292,54.772,55.864,10,8,78,16,Agree,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.061,52.852,59.146,8,9,28,48,Agree,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.503,69.782,70.715,10,14,44,38,Agree,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,
31/10/2021 07:26,31/10/2021 07:39,IP Address,105.213.99.27,100,742,True,31/10/2021 07:39,R_2TKNIG8qr0LSyzN,,,,,-26.38110352,27.83760071,anonymous,EN,I agree to take part in this study,60428fd2aefb7019ed8fdd34,Down,From time 10 to 30 and time 60 to 70,Time 60,After the second turn,From a little before time 70 up to a little before time 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.136,28.515,40.079,9,90,79,60,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.688,18.29,21.033,9,51,70,76,Disagree,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.771,51.296,52.786,9,59,30,42,Neither agree nor disagree,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.273,18.76,19.928,10,2,22,14,Neither agree nor disagree,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,7.19,16.904,17.89,9,62,81,68,Agree,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.184,70.275,71.675,8,100,62,79,Agree,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.934,43.045,44.099,10,74,43,65,Agree,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.482,34.162,35.225,11,10,66,33,Neither agree nor disagree,3,5,5,3,,,,,,,,,,,,,15.273,38.679,39.868,9,59,88,30,Neither agree nor disagree,3,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
