cntrQ,idc,image_name,image_link,numMask,alt_mask,flips,focus
271,1,idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Ql-bsln_5.84)78.73)12.38_t-cntrQ_271.png,IM_8AnQqVSjmTrthwG,4,easy,h0v0,WHAT_Ql
244,1,idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_47.05)42.60)14.24_t-cntrQ_244.png,IM_eP3DKvPbR2P76mO,4,easy,h0v0,WHAT_Qn
298,1,idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_28.70)24.67)14.28_f-cntrQ_298.png,IM_0eQHahmlzipRUOO,4,easy,h0v0,WHERE
460,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_13-dMask_hard-dCmplx_EEE-fcs_WHERE-bsln_21.79)22.56)51.36_t-cntrQ_460.png,IM_29vLIPkdUwMHLpA,13,hard,h0v0,WHERE
433,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_14-dMask_hard-dCmplx_EEE-fcs_WHAT_Ql-bsln_47.42)78.73)55.14_f-cntrQ_433.png,IM_3wmulPpzxKwyQ1o,14,hard,h0v0,WHAT_Ql
406,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_14-dMask_hard-dCmplx_EEE-fcs_WHAT_Qn-bsln_45.59)42.60)55.15_t-cntrQ_406.png,IM_0kteVql7x3wgMPs,14,hard,h0v0,WHAT_Qn
379,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_3-dMask_medium-dCmplx_EEE-fcs_WHERE-bsln_17.50)22.56)27.96_t-cntrQ_379.png,IM_8dX2pr2HhWxjcVw,3,easy,h0v0,WHERE
352,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_4-dMask_medium-dCmplx_EEE-fcs_WHAT_Ql-bsln_28.97)78.73)28.97_t-cntrQ_352.png,IM_24fg3V7OoJ9SrCS,4,easy,h0v0,WHAT_Ql
325,1,idc1-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_7-dMask_medium-dCmplx_EEE-fcs_WHAT_Qn-bsln_37.74)42.60)33.93_t-cntrQ_325.png,IM_eA5C6gbDoBPnToi,7,medium,h0v0,WHAT_Qn
296,12,idc12-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHAT_Ql-bsln_19.84)24.74)82.21_t-cntrQ_296.png,IM_3z1GkvtnAYXik6O,4,easy,h0v0,WHAT_Ql
269,12,idc12-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_22.41)23.06)84.81_f-cntrQ_269.png,IM_a9GGqIlifAiv8eG,4,easy,h0v0,WHAT_Qn
323,12,idc12-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHERE-bsln_22.91)23.34)84.76_f-cntrQ_323.png,IM_8j09KfydIf8EsnQ,4,easy,h0v0,WHERE
485,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_12-dMask_hard-dCmplx_HMH-fcs_WHERE-bsln_27.19)26.13)54.96_t-cntrQ_485.png,IM_bEC3pCRRFIi50k6,12,hard,h0v0,WHERE
431,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_13-dMask_hard-dCmplx_HMH-fcs_WHAT_Qn-bsln_24.83)23.06)63.69_t-cntrQ_431.png,IM_eLGRcawLM3femcS,13,hard,h0v0,WHAT_Qn
458,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_14-dMask_hard-dCmplx_HMH-fcs_WHAT_Ql-bsln_13.91)24.74)54.38_t-cntrQ_458.png,IM_9n6iUwyCYhPG0OW,14,hard,h0v0,WHAT_Ql
377,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_6-dMask_medium-dCmplx_HMH-fcs_WHAT_Ql-bsln_5.92)24.74)26.80_t-cntrQ_377.png,IM_d7jxhWAW9K12oGa,6,medium,h0v0,WHAT_Ql
404,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_6-dMask_medium-dCmplx_HMH-fcs_WHERE-bsln_31.03)26.13)31.45_t-cntrQ_404.png,IM_39vdVN913sgflLo,6,medium,h0v0,WHERE
350,12,idc12-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_7-dMask_medium-dCmplx_HMH-fcs_WHAT_Qn-bsln_27.16)23.06)22.77_f-cntrQ_350.png,IM_eb6R9tGc9ysxMeW,7,medium,h0v0,WHAT_Qn
