cntrQ,image_name,image_link,num_quality_changes,numMask,alt_diff_qual,alt_diff_mask,idc,flips,focus,changesMaskStatus,refined_mask
28,idc1-eC-gO-qry_rO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Ql-bsln_5.84)78.73)12.38_t-cntrQ_28.png,IM_br13PYpB71oNBTo,1,4,easy,easy,1,h1v1,WHAT_Ql,8,easy
29,idc68-fC-gO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EME-fcs_WHAT_Ql-bsln_33.24)46.04)80.65_f-cntrQ_29.png,IM_a66PHvoSpG3wZRs,9,4,medium,easy,68,h1v1,WHAT_Ql,6,easy
30,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EHE-fcs_WHAT_Ql-bsln_49.99)71.60)65.02_t-cntrQ_30.png,IM_8zVLRn0MMGt06Lc,13,4,hard,easy,29,h1v1,WHAT_Ql,7,easy
31,idc69-eG-rO-qry_gO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_MEE-fcs_WHAT_Ql-bsln_1.64)15.02)54.11_t-cntrQ_31.png,IM_3qjKpiJer5nRB6C,5,4,easy,easy,69,h1v1,WHAT_Ql,7,easy
32,idc14-eG-gO-qry_sF_gte_43.78-flips_h1v1-nMasks_6-dMask_easy-dCmplx_MME-fcs_WHAT_Ql-bsln_7.26)78.21)12.86_f-cntrQ_32.png,IM_6LISLkH89IlKYmO,5,6,easy,medium,14,h1v1,WHAT_Ql,11,medium
33,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_2-dMask_easy-dCmplx_MHE-fcs_WHAT_Ql-bsln_19.46)58.62)43.80_f-cntrQ_33.png,IM_9TwDAPaSn92xV1Y,17,2,hard,easy,31,h1v1,WHAT_Ql,3,easy
34,idc4-sF-gO-qry_hO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HEE-fcs_WHAT_Ql-bsln_21.37)33.52)72.94_f-cntrQ_34.png,IM_82oNJdraT8MBeOG,5,3,easy,easy,4,h1v1,WHAT_Ql,5,easy
35,idc39-eG-wO-qry_hO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HME-fcs_WHAT_Ql-bsln_0.50)72.51)13.99_f-cntrQ_35.png,IM_bI9O2fvgUNqlW1o,7,3,medium,easy,39,h1v1,WHAT_Ql,5,easy
36,idc33-eG-gO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_HHE-fcs_WHAT_Ql-bsln_0)18.64)12.35_t-cntrQ_36.png,IM_1B8KgTfFSzEzp2K,12,4,hard,easy,33,h1v1,WHAT_Ql,7,easy
37,idc63-eG-gO-qry_rO_gte_1-flips_h1v1-nMasks_5-dMask_easy-dCmplx_EEM-fcs_WHAT_Ql-bsln_55.08)84.16)66.90_f-cntrQ_37.png,IM_8bJaneO9063tyaq,1,5,easy,easy,63,h1v1,WHAT_Ql,8,easy
