cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",28.95,28.74,85.75,false,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_245",28.69,29.26,55.11,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_246",36.9,28.92,74.59,false,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_247",52.4,58.12,16.18,false,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_248",48.5,51.87,85.86,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_249",27.63,26.9,86.05,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_250",65.95,67.04,95.36,false,"WHAT_Qn","Hard;","HEE","easy"
"cntrQ_251",33.49,34.55,95,false,"WHAT_Qn","Hard;","HME","easy"
"cntrQ_252",66.01,51.81,54.54,true,"WHAT_Qn","Hard;","HHE","easy"
"cntrQ_253",51.17,54.56,75.74,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_254",52.71,48.76,34.71,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_255",88.91,64.78,24.59,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_256",27.23,42.14,4.76,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_257",61.78,66.51,75.87,false,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_258",29.04,51.98,4.71,true,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_259",21.06,26.9,14.83,true,"WHAT_Qn","Hard;","HEM","easy"
"cntrQ_260",30.41,28.94,34.76,false,"WHAT_Qn","Hard;","HMM","easy"
"cntrQ_261",64.25,67.08,65.31,true,"WHAT_Qn","Hard;","HHM","easy"
"cntrQ_262",53.74,53.13,65.3,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_263",20.67,28.76,75.26,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_264",52.54,48.94,34.67,false,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_265",71.43,51.93,34.85,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_266",33.32,34.38,95.1,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_267",40.22,34.48,75.1,false,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_268",57.23,58.15,96.29,false,"WHAT_Qn","Hard;","HEH","easy"
"cntrQ_269",58.82,67.07,36.3,false,"WHAT_Qn","Hard;","HMH","easy"
"cntrQ_270",64.7,52,45.54,false,"WHAT_Qn","Hard;","HHH","easy"
"cntrQ_271",8.48,15.45,85.75,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_272",4.19,4.62,55.11,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_273",6.81,5.08,74.59,false,"WHAT_Ql","Hard;","EHE","easy"
"cntrQ_274",10,74.93,16.18,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_275",16.77,15.46,85.86,true,"WHAT_Ql","Medium","MME","easy"
"cntrQ_276",13.44,16.61,86.05,true,"WHAT_Ql","Hard;","MHE","easy"
"cntrQ_277",65.71,65.39,95.36,true,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_278",84.91,85.66,95,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_279",72.98,85.26,54.54,false,"WHAT_Ql","Hard;","HHE","easy"
"cntrQ_280",21.34,16.16,75.74,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_281",49.57,35.9,34.71,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_282",96.05,96.11,24.59,false,"WHAT_Ql","Hard;","EHM","easy"
"cntrQ_283",33.33,54.6,4.76,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_284",5.36,6.1,75.87,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_285",0,14.88,4.71,true,"WHAT_Ql","Hard;","MHM","easy"
"cntrQ_286",10,75.37,14.83,true,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_287",10,85.53,34.76,true,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_288",46.47,45.52,65.31,false,"WHAT_Ql","Hard;","HHM","easy"
"cntrQ_289",87.5,75.21,65.3,true,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_290",98.6,95.26,75.26,true,"WHAT_Ql","Medium","EMH","easy"
"cntrQ_291",6.25,25.38,34.67,true,"WHAT_Ql","Hard;","EHH","easy"
"cntrQ_292",62.31,64.62,34.85,true,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_293",46.96,44.66,95.1,false,"WHAT_Ql","Medium","MMH","easy"
"cntrQ_294",86.79,86.03,75.1,true,"WHAT_Ql","Hard;","MHH","easy"
"cntrQ_295",94.67,94.87,96.29,false,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_296",89.09,85.14,36.3,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",41.95,34.55,45.54,true,"WHAT_Ql","Hard;","HHH","easy"
"cntrQ_298",45.56,44.74,86.9,false,"WHERE","Easy","EEE","easy"
"cntrQ_299",49.12,47.84,53.71,false,"WHERE","Easy","EME","easy"
"cntrQ_300",50.79,48.57,74.86,false,"WHERE","Easy","EHE","easy"
"cntrQ_301",35.8,31.28,17.63,true,"WHERE","Easy","MEE","easy"
"cntrQ_302",7.44,7.67,85.37,false,"WHERE","Easy","MME","easy"
"cntrQ_303",41.58,41.95,81.48,false,"WHERE","Easy","MHE","easy"
"cntrQ_304",43.75,43.61,95.02,false,"WHERE","Easy","HEE","easy"
"cntrQ_305",30.15,30.04,92.01,false,"WHERE","Easy","HME","easy"
"cntrQ_306",37.12,37.04,51.72,true,"WHERE","Easy","HHE","easy"
"cntrQ_307",51.47,51.82,80.58,false,"WHERE","Medium","EEM","easy"
"cntrQ_308",17.12,24.92,28.86,true,"WHERE","Medium","EMM","easy"
"cntrQ_309",30.4,31.28,22.78,true,"WHERE","Medium","EHM","easy"
"cntrQ_310",106.34,59.6,5.44,true,"WHERE","Medium","MEM","easy"
"cntrQ_311",68.19,65.81,85.65,false,"WHERE","Medium","MMM","easy"
"cntrQ_312",97.62,96.31,4.62,true,"WHERE","Medium","MHM","easy"
"cntrQ_313",69.86,61.55,13.62,true,"WHERE","Medium","HEM","easy"
"cntrQ_314",71.62,61.37,40.72,true,"WHERE","Medium","HMM","easy"
"cntrQ_315",60.97,68.21,63.87,false,"WHERE","Medium","HHM","easy"
"cntrQ_316",67.25,74.15,60.28,true,"WHERE","Hard;","EEH","easy"
"cntrQ_317",85.32,85.54,69.65,false,"WHERE","Hard;","EMH","easy"
"cntrQ_318",64.64,74.21,37.97,true,"WHERE","Hard;","EHH","easy"
"cntrQ_319",74.93,60.93,32.75,false,"WHERE","Hard;","MEH","easy"
"cntrQ_320",65.5,64.81,96,false,"WHERE","Hard;","MMH","easy"
"cntrQ_321",74.37,72.99,75.46,false,"WHERE","Hard;","MHH","easy"
"cntrQ_322",81.98,81.66,96.63,false,"WHERE","Hard;","HEH","easy"
"cntrQ_323",60.25,55.22,35.92,true,"WHERE","Hard;","HMH","easy"
"cntrQ_324",55.16,59.43,39.73,false,"WHERE","Hard;","HHH","easy"
"cntrQ_325",28.7,28.74,53.33,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_326",35.46,29.26,37.29,false,"WHAT_Qn","Hard;","medium","12"
"cntrQ_327",28.29,28.92,46.52,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_328",61.86,58.12,43.86,true,"WHAT_Qn","Hard;","medium","20"
"cntrQ_329",45.4,51.87,43.2,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_330",26.98,26.9,45.4,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_331",71.3,67.04,32.69,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_332",32.81,34.55,37,false,"WHAT_Qn","Hard;","medium","12"
"cntrQ_333",47.86,51.81,40.43,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_334",54.71,54.56,43.11,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_335",50.43,48.76,40.35,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_336",63.95,64.78,38.18,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_337",44.46,42.14,36.19,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_338",67.8,66.51,34.01,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_339",52.1,51.98,39.45,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_340",26.05,26.9,46.29,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_341",25.8,28.94,40.3,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_342",65.38,67.08,45.25,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_343",45.57,53.13,41.98,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_344",26.38,28.76,32.63,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_345",43.84,48.94,40.24,false,"WHAT_Qn","Hard;","medium","14"
"cntrQ_346",48.74,51.93,34.5,false,"WHAT_Qn","Hard;","medium","16"
"cntrQ_347",31.4,34.38,38.32,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_348",28.36,34.48,42.71,false,"WHAT_Qn","Hard;","medium","14"
"cntrQ_349",52.74,58.15,37.03,false,"WHAT_Qn","Hard;","medium","13"
"cntrQ_350",69.03,67.07,40.59,true,"WHAT_Qn","Hard;","medium","13"
"cntrQ_351",48.2,52,41.88,false,"WHAT_Qn","Hard;","medium","20"
"cntrQ_352",23.35,15.45,41.51,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_353",5.26,4.62,37.62,true,"WHAT_Ql","Hard;","medium","12"
"cntrQ_354",4.39,5.08,48.66,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_355",66.22,74.93,39.42,false,"WHAT_Ql","Hard;","medium","20"
"cntrQ_356",20.94,15.46,39.46,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_357",6.38,16.61,41.83,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_358",64.51,65.39,33.78,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_359",84,85.66,41.66,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_360",81.03,85.26,36.36,false,"WHAT_Ql","Hard;","medium","12"
"cntrQ_361",12.59,16.16,40.41,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_362",31.29,35.9,43.62,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_363",94.11,96.11,33,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_364",53.48,54.6,40.95,true,"WHAT_Ql","Hard;","medium","12"
"cntrQ_365",4.1,6.1,42.44,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_366",18.66,14.88,37.22,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_367",82.41,75.37,54,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_368",89.36,85.53,43.38,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_369",41.86,45.52,34.95,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_370",80.41,75.21,41.69,true,"WHAT_Ql","Hard;","medium","13"
"cntrQ_371",89.94,95.26,47.1,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_372",32.93,25.38,51.7,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_373",67.43,64.62,38.17,false,"WHAT_Ql","Hard;","medium","18"
"cntrQ_374",38.65,44.66,34.29,false,"WHAT_Ql","Hard;","medium","13"
"cntrQ_375",82.91,86.03,40.28,false,"WHAT_Ql","Hard;","medium","14"
"cntrQ_376",95.58,94.87,38.74,true,"WHAT_Ql","Hard;","medium","11"
"cntrQ_377",84.72,85.14,47.52,false,"WHAT_Ql","Hard;","medium","13"
