cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_1",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_2",44.43,43.35,63.03,false,"WHAT_Qn","Easy","EME","easy"
"cntrQ_3",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_4",66.3,64.01,55.35,true,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_5",17.65,23.96,13.06,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_6",39.26,44.19,44.8,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_7",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_8",68.05,64.93,14.66,true,"WHAT_Qn","Hard","HME","easy"
"cntrQ_9",55.98,64.92,14.42,false,"WHAT_Qn","Hard","HHE","easy"
"cntrQ_10",16.6,15.52,73.65,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_11",20.59,34.69,23.73,true,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_12",43.01,56.13,8.09,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_13",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_14",67.08,64.01,33.13,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_15",69.24,77.48,25.06,false,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_16",54.38,43.3,20.77,false,"WHAT_Qn","Hard","HEM","easy"
"cntrQ_17",31.72,43.31,24.92,true,"WHAT_Qn","Hard","HMM","easy"
"cntrQ_18",24.94,27.05,64.76,true,"WHAT_Qn","Hard","HHM","easy"
"cntrQ_19",24.72,24.93,74.92,false,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_20",79.8,77.48,4.73,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_21",28.49,27.34,74.92,false,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_22",40.73,37.06,69.7,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_23",33.86,36.42,35.15,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_24",51.67,56.13,39.47,true,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_25",43.17,46.62,69.51,true,"WHAT_Qn","Hard","HEH","easy"
"cntrQ_26",22.41,23.06,84.81,false,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_27",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_28",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_29",33.24,46.04,80.65,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_30",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_31",1.64,15.02,54.11,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_32",7.26,78.21,12.86,false,"WHAT_Ql","Medium","MME","easy"
"cntrQ_33",19.46,58.62,43.8,false,"WHAT_Ql","Hard","MHE","easy"
"cntrQ_34",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_35",0.5,72.51,13.99,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_36",0,18.64,12.35,true,"WHAT_Ql","Hard","HHE","easy"
"cntrQ_37",55.08,84.16,66.9,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_38",21.88,56.7,24.94,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_39",17.67,33.47,66.11,true,"WHAT_Ql","Hard","EHM","easy"
"cntrQ_40",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_41",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_42",1.39,44.15,27.39,true,"WHAT_Ql","Hard","MHM","easy"
"cntrQ_43",3.7,3.7,82.4,false,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_44",13,65.24,19.71,false,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_45",16.21,28.33,62.42,true,"WHAT_Ql","Hard","HHM","easy"
"cntrQ_46",11.58,18.69,76.01,false,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_47",0,24.51,4.63,true,"WHAT_Ql","Medium","EMH","easy"
"cntrQ_48",20.51,21.44,75.52,false,"WHAT_Ql","Hard","EHH","easy"
"cntrQ_49",15.47,15.47,68.41,false,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_50",20.16,78.8,30.45,false,"WHAT_Ql","Medium","MMH","easy"
"cntrQ_51",27.75,65.7,41.62,true,"WHAT_Ql","Hard","MHH","easy"
"cntrQ_52",34.68,51.6,66.59,true,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_53",19.84,24.74,82.21,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_54",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_55",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_56",13.71,13.93,84.76,true,"WHERE","Easy","EME","easy"
"cntrQ_57",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_58",17.44,18.04,55.23,false,"WHERE","Easy","MEE","easy"
"cntrQ_59",53.73,28.68,13.1,true,"WHERE","Easy","MME","easy"
"cntrQ_60",22.25,18.52,44.64,true,"WHERE","Easy","MHE","easy"
"cntrQ_61",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_62",15.8,23.09,14.71,false,"WHERE","Easy","HME","easy"
"cntrQ_63",26.54,26.66,14.15,false,"WHERE","Easy","HHE","easy"
"cntrQ_64",23.73,21.98,69.66,false,"WHERE","Medium","EEM","easy"
"cntrQ_65",29.19,32.31,25.59,true,"WHERE","Medium","EMM","easy"
"cntrQ_66",31.05,29.82,69.15,true,"WHERE","Medium","EHM","easy"
"cntrQ_67",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_68",24.2,36.12,33.23,true,"WHERE","Medium","MMM","easy"
"cntrQ_69",16.28,51.55,25.12,false,"WHERE","Medium","MHM","easy"
"cntrQ_70",38.72,37.89,85.71,true,"WHERE","Medium","HEM","easy"
"cntrQ_71",56.84,33.25,24.69,false,"WHERE","Medium","HMM","easy"
"cntrQ_72",35.36,40.8,64.67,false,"WHERE","Medium","HHM","easy"
"cntrQ_73",35,35.49,74.85,false,"WHERE","Hard","EEH","easy"
"cntrQ_74",45.59,45.24,4.74,false,"WHERE","Hard","EMH","easy"
"cntrQ_75",34,34.88,74.84,true,"WHERE","Hard","EHH","easy"
"cntrQ_76",28.36,27.07,69.64,true,"WHERE","Hard","MEH","easy"
"cntrQ_77",30.19,30.49,35.26,false,"WHERE","Hard","MMH","easy"
"cntrQ_78",44.07,50.09,39.35,false,"WHERE","Hard","MHH","easy"
"cntrQ_79",41.91,41.88,69.42,true,"WHERE","Hard","HEH","easy"
"cntrQ_80",22.91,23.34,84.76,false,"WHERE","Hard","HMH","easy"
"cntrQ_81",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_82",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_83",47.05,43.35,12.21,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_84",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_85",59.19,64.01,19.06,false,"WHAT_Qn","Medium","MEE","medium"
"cntrQ_86",19.68,23.96,67.73,true,"WHAT_Qn","Medium","MME","medium"
"cntrQ_87",29.2,44.19,7.41,true,"WHAT_Qn","Medium","MHE","medium"
"cntrQ_88",67.93,76.69,24.52,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_89",65.5,64.93,40.66,true,"WHAT_Qn","Hard","HME","medium"
"cntrQ_90",58.7,64.92,24.76,true,"WHAT_Qn","Hard","HHE","medium"
"cntrQ_91",14.15,15.52,63.47,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_92",20.25,34.69,26.7,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_93",58.17,56.13,48.86,false,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_94",40.73,44.19,28.25,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_95",66.66,64.01,61.91,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_96",76,77.48,76.67,false,"WHAT_Qn","Medium","MHM","medium"
"cntrQ_97",47.01,43.3,46.88,false,"WHAT_Qn","Hard","HEM","medium"
"cntrQ_98",39.88,43.31,68.92,true,"WHAT_Qn","Hard","HMM","medium"
"cntrQ_99",18.33,27.05,12.73,true,"WHAT_Qn","Hard","HHM","medium"
"cntrQ_100",27.4,24.93,46.93,true,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_101",90.11,77.48,15.78,true,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_102",25.06,27.34,72.75,false,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_103",46.06,37.06,5.25,false,"WHAT_Qn","Medium","MEH","medium"
"cntrQ_104",39.52,36.42,53.89,true,"WHAT_Qn","Medium","MMH","medium"
"cntrQ_105",61.17,56.13,37.24,true,"WHAT_Qn","Medium","MHH","medium"
"cntrQ_106",40.18,46.62,5.98,true,"WHAT_Qn","Hard","HEH","medium"
"cntrQ_107",20.11,23.06,29.04,true,"WHAT_Qn","Hard","HMH","medium"
"cntrQ_108",54.63,56.78,60.47,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_109",25.93,78.73,25.93,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_110",11.71,46.04,31.88,false,"WHAT_Ql","Medium","EME","medium"
"cntrQ_111",25.72,71.6,33.12,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_112",4.32,15.02,11.52,false,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_113",23.02,78.21,36.92,false,"WHAT_Ql","Medium","MME","medium"
"cntrQ_114",26.54,58.62,47.12,false,"WHAT_Ql","Hard","MHE","medium"
"cntrQ_115",3.13,33.52,32.74,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_116",36.38,72.51,48.09,false,"WHAT_Ql","Medium","HME","medium"
"cntrQ_117",3.03,18.64,10.48,false,"WHAT_Ql","Hard","HHE","medium"
"cntrQ_118",28.6,84.16,28.6,false,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_119",0.94,56.7,9.41,true,"WHAT_Ql","Medium","EMM","medium"
"cntrQ_120",12.68,33.47,25.57,false,"WHAT_Ql","Hard","EHM","medium"
"cntrQ_121",26.07,54.18,39.85,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_122",7.69,15.58,59.76,true,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_123",14.13,44.15,31.76,false,"WHAT_Ql","Hard","MHM","medium"
"cntrQ_124",0.92,3.7,37.96,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_125",36.17,65.24,57.92,false,"WHAT_Ql","Medium","HMM","medium"
"cntrQ_126",8.03,28.33,19.69,true,"WHAT_Ql","Hard","HHM","medium"
"cntrQ_127",13,18.69,38,true,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_128",6.17,24.51,43.43,true,"WHAT_Ql","Medium","EMH","medium"
"cntrQ_129",10.72,21.44,36.82,false,"WHAT_Ql","Hard","EHH","medium"
"cntrQ_130",12.14,15.47,34.52,false,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_131",20.57,78.8,36.83,false,"WHAT_Ql","Medium","MMH","medium"
"cntrQ_132",30.62,65.7,33.81,false,"WHAT_Ql","Hard","MHH","medium"
"cntrQ_133",11.99,51.6,11.99,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_134",22.42,24.74,38.14,true,"WHAT_Ql","Medium","HMH","medium"
"cntrQ_135",8.15,20.17,31.75,false,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_136",12.91,22.56,24.92,true,"WHERE","Easy","EEE","medium"
"cntrQ_137",11.85,14.64,47.68,true,"WHERE","Easy","EME","medium"
"cntrQ_138",13,14.99,31.09,true,"WHERE","Easy","EHE","medium"
"cntrQ_139",22.6,24.05,6.02,true,"WHERE","Easy","MEE","medium"
"cntrQ_140",21.93,28.68,40.1,true,"WHERE","Easy","MME","medium"
"cntrQ_141",20.12,21.76,44.64,true,"WHERE","Easy","MHE","medium"
"cntrQ_142",29.28,27.53,26.77,false,"WHERE","Easy","HEE","medium"
"cntrQ_143",22.78,21.55,46.15,false,"WHERE","Easy","HME","medium"
"cntrQ_144",16.5,16.49,20.75,false,"WHERE","Easy","HHE","medium"
"cntrQ_145",36.08,32.02,35.73,true,"WHERE","Medium","EEM","medium"
"cntrQ_146",31.42,32.31,4.46,true,"WHERE","Medium","EMM","medium"
"cntrQ_147",27.63,34.61,27.27,false,"WHERE","Medium","EHM","medium"
"cntrQ_148",38.63,40.91,45.22,true,"WHERE","Medium","MEM","medium"
"cntrQ_149",30.57,36.12,71.13,true,"WHERE","Medium","MMM","medium"
"cntrQ_150",68.39,51.55,30.59,true,"WHERE","Medium","MHM","medium"
"cntrQ_151",22.44,28.53,40.47,true,"WHERE","Medium","HEM","medium"
"cntrQ_152",32.94,39.18,60.8,true,"WHERE","Medium","HMM","medium"
"cntrQ_153",40.71,38.45,23.36,false,"WHERE","Medium","HHM","medium"
"cntrQ_154",42.02,30.51,32.16,false,"WHERE","Hard","EEH","medium"
"cntrQ_155",54.63,40.55,36.14,true,"WHERE","Hard","EMH","medium"
"cntrQ_156",21.69,34.14,31.36,true,"WHERE","Hard","EHH","medium"
"cntrQ_157",14.73,21.08,35.08,true,"WHERE","Hard","MEH","medium"
"cntrQ_158",37.95,33.87,51.15,false,"WHERE","Hard","MMH","medium"
"cntrQ_159",31.57,50.09,32.25,true,"WHERE","Hard","MHH","medium"
"cntrQ_160",27.17,36.55,4.57,false,"WHERE","Hard","HEH","medium"
"cntrQ_161",31.7,26.13,31.78,true,"WHERE","Hard","HMH","medium"
"cntrQ_162",28.53,32.47,23.62,false,"WHERE","Hard","HHH","medium"
"cntrQ_163",44.99,42.6,55.15,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_164",41.9,43.35,36.96,true,"WHAT_Qn","Easy","EME","hard"
"cntrQ_165",21.11,34.69,23.52,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_166",62.79,64.01,66.84,false,"WHAT_Qn","Medium","MEE","hard"
"cntrQ_167",29.42,23.96,42.66,false,"WHAT_Qn","Medium","MME","hard"
"cntrQ_168",42.47,44.19,55.48,true,"WHAT_Qn","Medium","MHE","hard"
"cntrQ_169",66.93,76.69,17.98,false,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_170",62.76,64.93,41.33,false,"WHAT_Qn","Hard","HME","hard"
"cntrQ_171",61.47,64.92,52.35,false,"WHAT_Qn","Hard","HHE","hard"
"cntrQ_172",17.85,15.52,16.46,false,"WHAT_Qn","Easy","EEM","hard"
"cntrQ_173",37.02,34.69,63.2,false,"WHAT_Qn","Easy","EMM","hard"
"cntrQ_174",55.64,56.13,46.6,false,"WHAT_Qn","Easy","EHM","hard"
"cntrQ_175",31.11,44.19,14.6,true,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_176",57.95,64.01,35.17,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_177",78.39,77.48,59.3,true,"WHAT_Qn","Medium","MHM","hard"
"cntrQ_178",45.91,43.3,62.01,true,"WHAT_Qn","Hard","HEM","hard"
"cntrQ_179",36.82,43.31,31.07,true,"WHAT_Qn","Hard","HMM","hard"
"cntrQ_180",38.23,27.05,21.95,false,"WHAT_Qn","Hard","HHM","hard"
"cntrQ_181",23.81,24.93,46.64,true,"WHAT_Qn","Easy","EEH","hard"
"cntrQ_182",66.39,77.48,12.63,true,"WHAT_Qn","Easy","EMH","hard"
"cntrQ_183",38.36,27.34,17.02,true,"WHAT_Qn","Easy","EHH","hard"
"cntrQ_184",44.41,37.06,15.41,false,"WHAT_Qn","Medium","MEH","hard"
"cntrQ_185",31.39,36.42,43.22,false,"WHAT_Qn","Medium","MMH","hard"
"cntrQ_186",69.99,56.13,15.18,true,"WHAT_Qn","Medium","MHH","hard"
"cntrQ_187",32.15,46.62,20.79,false,"WHAT_Qn","Hard","HEH","hard"
"cntrQ_188",23.02,23.06,43.56,false,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_189",65.01,56.78,32.19,true,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_190",53.03,78.73,57.94,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_191",20.7,46.04,48.22,false,"WHAT_Ql","Medium","EME","hard"
"cntrQ_192",46.7,71.6,62.55,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_193",11.11,15.02,63.37,true,"WHAT_Ql","Easy","MEE","hard"
"cntrQ_194",30.49,78.21,47.09,false,"WHAT_Ql","Medium","MME","hard"
"cntrQ_195",37.16,58.62,60.17,true,"WHAT_Ql","Hard","MHE","hard"
"cntrQ_196",13.33,33.52,49.21,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_197",37.15,72.51,50.63,false,"WHAT_Ql","Medium","HME","hard"
