cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",83.39,76.69,31.88,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",41.46,44.19,28.25,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",53.84,56.78,59.94,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",22.42,78.73,22.42,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",22.63,71.6,29.42,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",7.25,33.52,29.99,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",19.18,54.18,29.42,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",12.01,20.17,33.04,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",22.28,22.56,22.18,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",11.92,14.99,32.7,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",33.99,27.53,32.24,true,"WHERE","Easy","HEE","medium"
"cntrQ_391",38.38,40.91,37.89,false,"WHERE","Medium","MEM","medium"
"cntrQ_405",31.42,32.47,27.82,false,"WHERE","Hard","HHH","medium"
"cntrQ_406",40.33,42.6,65.75,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",36.87,34.69,60.16,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",66.85,76.69,17.98,false,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_418",41.61,44.19,26.98,false,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",52.71,56.78,60.99,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",39.25,78.73,55.37,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",42.38,71.6,58.43,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",10.78,33.52,42.54,false,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",11.73,54.18,21.6,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",15.45,20.17,59.87,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",19.4,22.56,55.01,false,"WHERE","Easy","EEE","hard"
"cntrQ_462",22.12,21.78,59.51,true,"WHERE","Easy","EHE","hard"
"cntrQ_466",31.83,27.53,36.06,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",32.12,40.91,34.39,true,"WHERE","Medium","MEM","hard"
"cntrQ_486",32.62,32.47,65.09,false,"WHERE","Hard","HHH","hard"
