cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",71.81,76.69,26.97,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",29.21,44.19,17.77,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",54.48,56.78,62.82,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",30.6,78.73,30.6,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",23.04,71.6,32.71,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",2.74,33.52,34.31,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",25.88,54.18,36.87,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",12.87,20.17,35.62,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",22.32,22.56,20.36,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",10.55,14.99,28.95,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",35.06,27.53,35.24,false,"WHERE","Easy","HEE","medium"
"cntrQ_391",33.82,40.91,39.17,true,"WHERE","Medium","MEM","medium"
"cntrQ_405",26.16,32.47,28.87,false,"WHERE","Hard","HHH","medium"
"cntrQ_406",40.07,42.6,66.66,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",39.36,34.69,62.29,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",80.79,76.69,10.89,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_418",44.6,44.19,55.55,false,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",59.21,56.78,39.79,true,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",53.03,78.73,58.87,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",43.62,71.6,60.28,true,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",8.03,33.52,45.68,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",16.94,54.18,26.81,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",12.44,20.17,52.78,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",20.2,22.56,63.22,false,"WHERE","Easy","EEE","hard"
"cntrQ_462",21.25,21.78,55.76,true,"WHERE","Easy","EHE","hard"
"cntrQ_466",27.47,27.53,34.97,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",42.71,40.91,36.62,true,"WHERE","Medium","MEM","hard"
"cntrQ_486",29.35,32.47,64.3,true,"WHERE","Hard","HHH","hard"
