cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_1",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_2",43.68,43.35,53.79,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_3",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_4",66.3,64.01,55.35,true,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_5",17.65,23.96,13.06,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_6",39.26,44.19,44.8,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_7",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_8",68.05,64.93,14.66,true,"WHAT_Qn","Hard","HME","easy"
"cntrQ_9",55.98,64.92,14.42,false,"WHAT_Qn","Hard","HHE","easy"
"cntrQ_10",17.8,15.52,21.85,true,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_11",34.84,34.69,25.81,true,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_12",75.64,56.13,16.18,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_13",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_14",67.08,64.01,33.13,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_15",69.24,77.48,25.06,false,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_16",48.74,43.3,5.63,false,"WHAT_Qn","Hard","HEM","easy"
"cntrQ_17",31.72,43.31,24.92,true,"WHAT_Qn","Hard","HMM","easy"
"cntrQ_18",24.94,27.05,64.76,true,"WHAT_Qn","Hard","HHM","easy"
"cntrQ_19",33.69,24.93,13.11,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_20",79.8,77.48,4.73,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_21",44.71,27.34,9.28,true,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_22",40.73,37.06,69.7,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_23",33.86,36.42,35.15,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_24",51.67,56.13,39.47,true,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_25",43.17,46.62,69.51,true,"WHAT_Qn","Hard","HEH","easy"
"cntrQ_26",22.41,23.06,84.81,false,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_27",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_28",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_29",33.24,46.04,80.65,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_30",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_31",1.64,15.02,54.11,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_32",7.26,78.21,12.86,false,"WHAT_Ql","Medium","MME","easy"
"cntrQ_33",19.46,58.62,43.8,false,"WHAT_Ql","Hard","MHE","easy"
"cntrQ_34",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_35",0.5,72.51,13.99,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_36",0,18.64,12.35,true,"WHAT_Ql","Hard","HHE","easy"
"cntrQ_37",55.08,84.16,66.9,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_38",21.88,56.7,24.94,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_39",17.67,33.47,66.11,true,"WHAT_Ql","Hard","EHM","easy"
"cntrQ_40",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_41",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_42",1.39,44.15,27.39,true,"WHAT_Ql","Hard","MHM","easy"
"cntrQ_43",3.7,3.7,82.4,false,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_44",13,65.24,19.71,false,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_45",16.21,28.33,62.42,true,"WHAT_Ql","Hard","HHM","easy"
"cntrQ_46",11.58,18.69,76.01,false,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_47",0,24.51,4.63,true,"WHAT_Ql","Medium","EMH","easy"
"cntrQ_48",20.51,21.44,75.52,false,"WHAT_Ql","Hard","EHH","easy"
"cntrQ_49",15.47,15.47,68.41,false,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_50",20.16,78.8,30.45,false,"WHAT_Ql","Medium","MMH","easy"
"cntrQ_51",27.75,65.7,41.62,true,"WHAT_Ql","Hard","MHH","easy"
"cntrQ_52",34.68,51.6,66.59,true,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_53",19.84,24.74,82.21,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_54",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_55",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_56",13.71,13.93,84.76,true,"WHERE","Easy","EME","easy"
"cntrQ_57",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_58",17.44,18.04,55.23,false,"WHERE","Easy","MEE","easy"
"cntrQ_59",53.73,28.68,13.1,true,"WHERE","Easy","MME","easy"
"cntrQ_60",22.25,18.52,44.64,true,"WHERE","Easy","MHE","easy"
"cntrQ_61",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_62",15.8,23.09,14.71,false,"WHERE","Easy","HME","easy"
"cntrQ_63",26.54,26.66,14.15,false,"WHERE","Easy","HHE","easy"
"cntrQ_64",23.73,21.98,69.66,false,"WHERE","Medium","EEM","easy"
"cntrQ_65",29.19,32.31,25.59,true,"WHERE","Medium","EMM","easy"
"cntrQ_66",31.05,29.82,69.15,true,"WHERE","Medium","EHM","easy"
"cntrQ_67",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_68",24.2,36.12,33.23,true,"WHERE","Medium","MMM","easy"
"cntrQ_69",16.28,51.55,25.12,false,"WHERE","Medium","MHM","easy"
"cntrQ_70",38.72,37.89,85.71,true,"WHERE","Medium","HEM","easy"
"cntrQ_71",56.84,33.25,24.69,false,"WHERE","Medium","HMM","easy"
"cntrQ_72",35.36,40.8,64.67,false,"WHERE","Medium","HHM","easy"
"cntrQ_73",35,35.49,74.85,false,"WHERE","Hard","EEH","easy"
"cntrQ_74",45.59,45.24,4.74,false,"WHERE","Hard","EMH","easy"
"cntrQ_75",34,34.88,74.84,true,"WHERE","Hard","EHH","easy"
"cntrQ_76",28.36,27.07,69.64,true,"WHERE","Hard","MEH","easy"
"cntrQ_77",30.19,30.49,35.26,false,"WHERE","Hard","MMH","easy"
"cntrQ_78",44.07,50.09,39.35,false,"WHERE","Hard","MHH","easy"
"cntrQ_79",41.91,41.88,69.42,true,"WHERE","Hard","HEH","easy"
"cntrQ_80",22.91,23.34,84.76,false,"WHERE","Hard","HMH","easy"
"cntrQ_81",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_82",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_83",47.15,43.35,15.18,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_84",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_85",59.19,64.01,19.06,false,"WHAT_Qn","Medium","MEE","medium"
"cntrQ_86",48.75,23.96,8,true,"WHAT_Qn","Medium","MME","medium"
"cntrQ_87",36.09,44.19,9.19,true,"WHAT_Qn","Medium","MHE","medium"
"cntrQ_88",72.64,76.69,20.43,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_89",64.93,64.93,48.66,false,"WHAT_Qn","Hard","HME","medium"
"cntrQ_90",58.7,64.92,24.76,true,"WHAT_Qn","Hard","HHE","medium"
