cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_245",41.86,43.35,34.65,false,"WHAT_Qn","Easy","EME","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_247",66.3,64.01,55.35,true,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_248",17.65,23.96,13.06,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_249",39.26,44.19,44.8,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_251",68.05,64.93,14.66,true,"WHAT_Qn","Hard","HME","easy"
"cntrQ_252",55.98,64.92,14.42,false,"WHAT_Qn","Hard","HHE","easy"
"cntrQ_253",22.2,15.52,7.48,true,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_254",53.33,34.69,14.83,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_255",41.44,56.13,16.18,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_257",67.08,64.01,33.13,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_258",69.24,77.48,25.06,false,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_259",48.46,43.3,63.5,true,"WHAT_Qn","Hard","HEM","easy"
"cntrQ_260",31.72,43.31,24.92,true,"WHAT_Qn","Hard","HMM","easy"
"cntrQ_261",24.94,27.05,64.76,true,"WHAT_Qn","Hard","HHM","easy"
"cntrQ_262",24.72,24.93,74.92,false,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_263",79.8,77.48,4.73,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_264",28.49,27.34,74.92,false,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_265",40.73,37.06,69.7,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_266",33.86,36.42,35.15,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_267",51.67,56.13,39.47,true,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_268",43.17,46.62,69.51,true,"WHAT_Qn","Hard","HEH","easy"
"cntrQ_269",22.41,23.06,84.81,false,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_272",33.24,46.04,80.65,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_274",1.64,15.02,54.11,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_275",7.26,78.21,12.86,false,"WHAT_Ql","Medium","MME","easy"
"cntrQ_276",19.46,58.62,43.8,false,"WHAT_Ql","Hard","MHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_278",0.5,72.51,13.99,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_279",0,18.64,12.35,true,"WHAT_Ql","Hard","HHE","easy"
"cntrQ_280",55.08,84.16,66.9,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_281",21.88,56.7,24.94,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_282",17.67,33.47,66.11,true,"WHAT_Ql","Hard","EHM","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_284",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_285",1.39,44.15,27.39,true,"WHAT_Ql","Hard","MHM","easy"
"cntrQ_286",3.7,3.7,82.4,false,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_287",13,65.24,19.71,false,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_288",16.21,28.33,62.42,true,"WHAT_Ql","Hard","HHM","easy"
"cntrQ_289",11.58,18.69,76.01,false,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_290",0,24.51,4.63,true,"WHAT_Ql","Medium","EMH","easy"
"cntrQ_291",20.51,21.44,75.52,false,"WHAT_Ql","Hard","EHH","easy"
"cntrQ_292",15.47,15.47,68.41,false,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_293",20.16,78.8,30.45,false,"WHAT_Ql","Medium","MMH","easy"
"cntrQ_294",27.75,65.7,41.62,true,"WHAT_Ql","Hard","MHH","easy"
"cntrQ_295",34.68,51.6,66.59,true,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_296",19.84,24.74,82.21,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_299",13.71,13.93,84.76,true,"WHERE","Easy","EME","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_301",17.44,18.04,55.23,false,"WHERE","Easy","MEE","easy"
"cntrQ_302",53.73,28.68,13.1,true,"WHERE","Easy","MME","easy"
"cntrQ_303",22.25,18.52,44.64,true,"WHERE","Easy","MHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_305",15.8,23.09,14.71,false,"WHERE","Easy","HME","easy"
"cntrQ_306",26.54,26.66,14.15,false,"WHERE","Easy","HHE","easy"
"cntrQ_307",23.73,21.98,69.66,false,"WHERE","Medium","EEM","easy"
"cntrQ_308",29.19,32.31,25.59,true,"WHERE","Medium","EMM","easy"
"cntrQ_309",31.05,29.82,69.15,true,"WHERE","Medium","EHM","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_311",24.2,36.12,33.23,true,"WHERE","Medium","MMM","easy"
"cntrQ_312",16.28,51.55,25.12,false,"WHERE","Medium","MHM","easy"
"cntrQ_313",38.72,37.89,85.71,true,"WHERE","Medium","HEM","easy"
"cntrQ_314",56.84,33.25,24.69,false,"WHERE","Medium","HMM","easy"
"cntrQ_315",35.36,40.8,64.67,false,"WHERE","Medium","HHM","easy"
"cntrQ_316",35,35.49,74.85,false,"WHERE","Hard","EEH","easy"
"cntrQ_317",45.59,45.24,4.74,false,"WHERE","Hard","EMH","easy"
"cntrQ_318",34,34.88,74.84,true,"WHERE","Hard","EHH","easy"
"cntrQ_319",28.36,27.07,69.64,true,"WHERE","Hard","MEH","easy"
"cntrQ_320",30.19,30.49,35.26,false,"WHERE","Hard","MMH","easy"
"cntrQ_321",44.07,50.09,39.35,false,"WHERE","Hard","MHH","easy"
"cntrQ_322",41.91,41.88,69.42,true,"WHERE","Hard","HEH","easy"
"cntrQ_323",22.91,23.34,84.76,false,"WHERE","Hard","HMH","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_326",46.25,43.35,11.55,true,"WHAT_Qn","Easy","EME","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_328",59.19,64.01,19.06,false,"WHAT_Qn","Medium","MEE","medium"
"cntrQ_329",19.38,23.96,67.73,true,"WHAT_Qn","Medium","MME","medium"
"cntrQ_330",47.75,44.19,48.36,true,"WHAT_Qn","Medium","MHE","medium"
"cntrQ_331",75.82,76.69,37.6,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_332",64.83,64.93,40.66,true,"WHAT_Qn","Hard","HME","medium"
"cntrQ_333",58.7,64.92,24.76,true,"WHAT_Qn","Hard","HHE","medium"
"cntrQ_334",12.54,15.52,26.04,true,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_335",52.19,34.69,17.8,true,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_336",58.17,56.13,48.86,false,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_337",45.52,44.19,64.44,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_338",62.48,64.01,62.79,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_339",80.71,77.48,25.06,true,"WHAT_Qn","Medium","MHM","medium"
"cntrQ_340",47.24,43.3,41.83,true,"WHAT_Qn","Hard","HEM","medium"
"cntrQ_341",49.01,43.31,36.61,true,"WHAT_Qn","Hard","HMM","medium"
"cntrQ_342",18.23,27.05,17.61,true,"WHAT_Qn","Hard","HHM","medium"
"cntrQ_343",24.81,24.93,51.02,false,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_344",80.01,77.48,52.1,true,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_345",24.78,27.34,56.34,false,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_346",18.01,37.06,3.5,true,"WHAT_Qn","Medium","MEH","medium"
"cntrQ_347",40.18,36.42,63.4,false,"WHAT_Qn","Medium","MMH","medium"
"cntrQ_348",77.39,56.13,8.09,true,"WHAT_Qn","Medium","MHH","medium"
"cntrQ_349",45.86,46.62,39.31,true,"WHAT_Qn","Hard","HEH","medium"
"cntrQ_350",27.16,23.06,22.77,false,"WHAT_Qn","Hard","HMH","medium"
"cntrQ_351",53.18,56.78,49.21,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",28.97,78.73,28.97,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_353",6.81,46.04,38.69,true,"WHAT_Ql","Medium","EME","medium"
"cntrQ_354",25.3,71.6,27.36,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_355",1.85,15.02,7.4,true,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_356",29.25,78.21,43.15,false,"WHAT_Ql","Medium","MME","medium"
"cntrQ_357",29.42,58.62,47.56,false,"WHAT_Ql","Hard","MHE","medium"
"cntrQ_358",9.21,33.52,38.43,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_359",18.06,72.51,35.36,true,"WHAT_Ql","Medium","HME","medium"
"cntrQ_360",8.15,18.64,21.44,false,"WHAT_Ql","Hard","HHE","medium"
"cntrQ_361",34.98,84.16,34.98,false,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_362",0.94,56.7,14.58,false,"WHAT_Ql","Medium","EMM","medium"
"cntrQ_363",7.27,33.47,16.63,false,"WHAT_Ql","Hard","EHM","medium"
"cntrQ_364",18.8,54.18,32.02,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_365",7.69,15.58,53.25,true,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_366",16.57,44.15,33.68,false,"WHAT_Ql","Hard","MHM","medium"
"cntrQ_367",1.62,3.7,30.09,true,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_368",47.96,65.24,64.83,true,"WHAT_Ql","Medium","HMM","medium"
"cntrQ_369",9.09,28.33,25.6,true,"WHAT_Ql","Hard","HHM","medium"
"cntrQ_370",7.92,18.69,30.69,true,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_371",7.33,24.51,30.3,false,"WHAT_Ql","Medium","EMH","medium"
"cntrQ_372",9.32,21.44,38.22,false,"WHAT_Ql","Hard","EHH","medium"
"cntrQ_373",12.27,15.47,40.28,false,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_374",17.28,78.8,32.3,false,"WHAT_Ql","Medium","MMH","medium"
"cntrQ_375",35.88,65.7,38.91,false,"WHAT_Ql","Hard","MHH","medium"
"cntrQ_376",6.2,51.6,6.2,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_377",5.92,24.74,26.8,true,"WHAT_Ql","Medium","HMH","medium"
"cntrQ_378",12.66,20.17,33.9,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",17.5,22.56,27.96,true,"WHERE","Easy","EEE","medium"
"cntrQ_380",17.64,14.64,36.09,false,"WHERE","Easy","EME","medium"
"cntrQ_381",12.55,14.99,42.35,true,"WHERE","Easy","EHE","medium"
"cntrQ_382",23.87,24.05,7.06,true,"WHERE","Easy","MEE","medium"
