cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",75.75,76.69,37.6,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_351",53.66,56.78,68.84,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",12.61,78.73,12.61,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",21.19,71.6,26.13,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",6.27,33.52,46.86,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_378",7.08,20.17,26.18,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",17.26,22.56,27.96,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",11.97,14.99,28.95,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",33.29,27.53,39.34,false,"WHERE","Easy","HEE","medium"
"cntrQ_405",28.94,32.47,31.49,false,"WHERE","Hard","HHH","medium"
"cntrQ_406",44.46,42.6,53.03,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",51.5,34.69,17.37,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",78.48,76.69,58.03,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_432",73.64,56.78,17.01,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",46.96,78.73,61.44,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",49.38,71.6,62.13,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",14.31,33.52,50.39,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_459",10.72,20.17,59.87,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",21.27,22.56,62.31,true,"WHERE","Easy","EEE","hard"
"cntrQ_462",21.28,21.78,65.41,false,"WHERE","Easy","EHE","hard"
"cntrQ_466",22.71,27.53,28.14,true,"WHERE","Easy","HEE","hard"
"cntrQ_486",29.46,32.47,61.94,true,"WHERE","Hard","HHH","hard"
"cntrQ_8277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8327",67.97,64.01,55.52,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8337",67.39,64.01,57.55,false,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8352",6.31,15.58,65.68,false,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_8412",69.23,64.01,27.9,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8432",61.2,64.01,38.66,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8462",40.95,36.12,40.81,true,"WHERE","Medium","MMM","hard"
"cntrQ_8472",41.43,36.12,35.27,true,"WHERE","Medium","MMM","hard"
