cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_250",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_256",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_271",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_273",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_283",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_298",36.44,32.54,75.85,false,"WHERE","Hard","HMH","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_310",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_324",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_325",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_327",61.92,64.01,61.62,false,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_331",71.78,76.69,27.24,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",64.31,64.01,65.98,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_351",80.38,76.69,37.87,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_352",7.1,15.58,52.46,false,"WHAT_Ql","Medium","MMM","hard"
"cntrQ_354",17.75,78.73,17.75,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_358",12.23,20.17,37.98,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_364",22.89,78.73,22.89,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_378",4.72,20.17,19.74,false,"WHAT_Ql","Medium","HMH","medium"
"cntrQ_379",21.24,22.56,22.49,false,"WHERE","Easy","EEE","easy"
"cntrQ_381",32.08,27.53,36.61,true,"WHERE","Easy","HEE","medium"
"cntrQ_385",12.46,14.99,30.56,true,"WHERE","Easy","EHE","medium"
"cntrQ_391",27.78,27.53,27.04,false,"WHERE","Easy","HEE","medium"
"cntrQ_405",12.64,14.99,24.93,true,"WHERE","Easy","EHE","medium"
"cntrQ_406",80.26,76.69,37.05,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_408",73.08,56.78,17.01,true,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_412",58.67,64.01,34.01,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_418",73.88,56.78,17.01,true,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_432",60.52,64.01,30.52,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_433",18.02,20.17,65.66,false,"WHAT_Ql","Medium","HMH","hard"
"cntrQ_435",41.76,71.6,60.9,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",49.99,78.73,60.51,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_445",43.41,71.6,58.84,true,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_459",50.46,78.73,59.11,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_460",21.46,21.78,50.67,true,"WHERE","Easy","EHE","hard"
"cntrQ_462",33.06,36.12,35.27,true,"WHERE","Medium","MMM","medium"
"cntrQ_466",23.79,27.53,33.6,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",49.94,36.12,32.65,true,"WHERE","Medium","MMM","medium"
"cntrQ_486",26.3,27.53,41.53,true,"WHERE","Easy","HEE","medium"
