cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_250",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_256",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_271",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_273",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_283",18.24,20.17,77.25,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_298",36.44,32.54,75.85,false,"WHERE","Hard","HMH","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_310",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_324",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_325",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_327",59.75,64.01,64.82,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_331",67.67,76.69,16.62,false,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",68.36,64.01,54.94,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_351",75.25,76.69,23.43,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_352",9.07,15.58,57.98,true,"WHAT_Ql","Medium","MMM","hard"
"cntrQ_354",26.86,78.73,26.86,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_358",4.5,20.17,22.31,false,"WHAT_Ql","Medium","HMH","medium"
"cntrQ_364",34.57,78.73,34.57,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_378",10.51,20.17,29.82,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_379",17.15,22.56,28.57,true,"WHERE","Easy","EEE","easy"
"cntrQ_381",27.12,27.53,33.06,false,"WHERE","Easy","HEE","medium"
"cntrQ_385",13.26,14.99,35.12,true,"WHERE","Easy","EHE","medium"
"cntrQ_391",27.31,27.53,37.97,false,"WHERE","Easy","HEE","medium"
"cntrQ_405",12.48,14.99,22.52,true,"WHERE","Easy","EHE","medium"
"cntrQ_406",73.61,76.69,28.61,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_408",65.04,56.78,32.19,true,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_412",60.29,64.01,35.46,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_418",53.62,56.78,61.25,false,"WHAT_Qn","Hard","HMH","hard"
"cntrQ_432",58.29,64.01,26.74,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_433",11.58,20.17,56,false,"WHAT_Ql","Medium","HMH","hard"
"cntrQ_435",43.41,71.6,53.7,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",49.53,78.73,56.07,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_445",38.47,71.6,59.25,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_459",54.67,78.73,61.21,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_460",22.9,21.78,56.56,true,"WHERE","Easy","EHE","hard"
"cntrQ_462",36.73,36.12,42.56,true,"WHERE","Medium","MMM","easy"
"cntrQ_466",26.05,27.53,44.53,true,"WHERE","Easy","HEE","medium"
"cntrQ_472",31.33,36.12,25.36,true,"WHERE","Medium","MMM","medium"
"cntrQ_486",23.89,27.53,40.98,false,"WHERE","Easy","HEE","medium"
