cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",51.75,42.6,34.84,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_271",0,24.27,36,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_298",12.67,19.96,24.86,false,"WHERE","Easy","HME","easy"
"cntrQ_325",63.33,64.01,11.04,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_352",5.15,20.17,38.19,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_379",13.46,15.53,13.37,false,"WHERE","Easy","EME","easy"
"cntrQ_406",35.04,34.69,12.03,false,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_433",17.84,52.74,33.33,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_460",65.92,38.08,7.87,true,"WHERE","Medium","MMM","easy"
"cntrQ_246",52.06,56.78,19.63,true,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_273",27.33,78.73,27.33,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_300",13.01,14.86,14.47,false,"WHERE","Easy","EEE","easy"
"cntrQ_327",68.95,76.69,9.8,false,"WHAT_Qn","Hard","HME","easy"
"cntrQ_354",2.56,15.58,16.37,true,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_381",16.29,25.28,34.9,false,"WHERE","Hard","HEH","easy"
"cntrQ_408",43.35,42.6,13.03,false,"WHAT_Qn","Easy","EME","medium"
"cntrQ_435",25.92,71.6,37.24,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_462",18.83,19.96,28.68,true,"WHERE","Easy","HEE","medium"
"cntrQ_250",66.66,64.01,12.5,false,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_277",3,7.29,51.71,true,"WHAT_Ql","Easy","HEH","medium"
"cntrQ_304",14.04,15.53,18.54,true,"WHERE","Easy","EME","medium"
"cntrQ_331",30.71,34.69,22.19,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_358",24.5,75.88,30.78,true,"WHAT_Ql","Medium","HME","medium"
"cntrQ_385",31.47,38.08,33.81,true,"WHERE","Medium","MMM","medium"
"cntrQ_412",55.88,56.78,49.47,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_439",34.11,88.08,35.51,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_466",11.85,14.86,31.36,false,"WHERE","Easy","EHE","medium"
"cntrQ_256",84.3,76.69,19.89,false,"WHAT_Qn","Hard","HME","medium"
"cntrQ_283",5.52,14,38.06,false,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_310",27.96,25.28,25.19,false,"WHERE","Hard","HMH","medium"
"cntrQ_337",46.44,42.6,28.48,false,"WHAT_Qn","Easy","EME","hard"
"cntrQ_364",19.95,109.46,21.19,true,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_391",22.92,19.96,16.93,false,"WHERE","Easy","HME","hard"
"cntrQ_418",71.72,64.01,22.38,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_445",1.93,21.24,16.73,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_472",13.19,15.53,33.13,true,"WHERE","Easy","EME","hard"
"cntrQ_270",27.13,34.69,24.33,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_297",4.31,33.52,18.23,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_324",36.12,38.08,18.65,true,"WHERE","Medium","MEM","hard"
"cntrQ_351",48.07,56.78,23.82,true,"WHAT_Qn","Hard","HEH","hard"
"cntrQ_378",29.67,84.11,35.04,true,"WHAT_Ql","Medium","EME","hard"
"cntrQ_405",15.64,14.86,26.8,false,"WHERE","Easy","EEE","hard"
"cntrQ_432",73.21,76.69,16.62,false,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_459",5.71,15.58,33.33,true,"WHAT_Ql","Medium","MMM","hard"
"cntrQ_486",25.62,25.28,21.25,true,"WHERE","Hard","HEH","hard"
