cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",10.28,78.73,31.54,false,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_271",31.42,34.69,38.5,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_298",13.33,41.37,27.45,true,"WHAT_Ql","Medium","HME","easy"
"cntrQ_325",63.33,64.01,11.04,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_352",5.15,20.17,38.19,true,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_379",26.3,42.6,13.33,false,"WHAT_Qn","Easy","EME","easy"
"cntrQ_406",0,24.27,10.9,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_433",80.22,76.69,38.14,true,"WHAT_Qn","Hard","HME","easy"
"cntrQ_460",0.19,15.58,7.29,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_246",52.06,56.78,19.63,true,"WHAT_Qn","Hard","HMH","easy"
"cntrQ_273",27.33,78.73,27.33,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_300",20.11,34.69,14.43,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_327",8.62,58.43,10.19,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_354",75.46,64.01,19.18,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_381",0,7.29,38.41,true,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_408",43.35,42.6,13.03,false,"WHAT_Qn","Easy","EME","medium"
"cntrQ_435",25.92,71.6,37.24,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_462",77.35,76.69,28.61,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_250",0.59,15.58,11.63,false,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_277",51.15,56.78,51.3,true,"WHAT_Qn","Hard","HEH","medium"
"cntrQ_304",14.95,84.11,17.28,false,"WHAT_Ql","Medium","EME","medium"
"cntrQ_331",30.71,34.69,22.19,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_358",24.5,75.88,30.78,true,"WHAT_Ql","Medium","HME","medium"
"cntrQ_385",67.35,64.01,33.72,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_412",10.72,21.24,50.85,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_439",37.18,42.6,37.27,false,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_466",32.09,109.46,30.24,true,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_256",84.3,76.69,19.89,false,"WHAT_Qn","Hard","HME","medium"
"cntrQ_283",5.52,14,38.06,false,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_310",47.3,56.78,25.13,true,"WHAT_Qn","Hard","HMH","medium"
"cntrQ_337",18.69,85.51,23.59,false,"WHAT_Ql","Medium","EME","hard"
"cntrQ_364",31.14,34.69,22.19,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_391",9.21,40.19,14.11,true,"WHAT_Ql","Medium","HME","hard"
"cntrQ_418",71.72,64.01,22.38,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_445",1.93,21.24,16.73,true,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_472",49.46,42.6,33.03,false,"WHAT_Qn","Easy","EME","hard"
"cntrQ_270",7.2,24.27,24.69,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_297",70.77,76.69,20.7,false,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_324",4.33,14,18.54,false,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_351",48.07,56.78,23.82,true,"WHAT_Qn","Hard","HEH","hard"
"cntrQ_378",29.67,84.11,35.04,true,"WHAT_Ql","Medium","EME","hard"
"cntrQ_405",29.25,34.69,26.73,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_432",4.31,33.52,15.88,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_459",69.29,64.01,36.62,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_486",1.28,7.29,19.74,true,"WHAT_Ql","Easy","HEH","hard"
