cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_300",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_304",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_324",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",71.96,76.69,26.15,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_351",54.58,56.78,62.82,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",26.4,78.73,26.4,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",20.78,71.6,28.18,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",8.82,33.52,38.43,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_378",10.94,20.17,30.68,false,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",48.29,42.6,14.24,false,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_381",41.18,34.69,41.71,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_385",5.09,33.52,40.39,false,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_405",62.02,56.78,59.42,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_406",39.47,42.6,51.21,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",21.38,34.69,22.19,false,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",73.59,76.69,48.5,false,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_432",55.65,56.78,67.01,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",54.43,78.73,60.98,true,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",45.26,71.6,61.72,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",11.96,33.52,43.92,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_459",17.59,20.17,62.44,false,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",52.33,78.73,58.87,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_462",51.3,34.69,17.37,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_466",79.34,76.69,37.87,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_486",60.93,56.78,63.35,false,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_8277",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8297",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_8327",66.05,64.01,57.26,false,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8337",66.37,64.01,70.34,false,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_8352",6.7,15.58,59.96,true,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_8412",59.06,64.01,37.2,true,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8432",61.43,64.01,25.29,false,"WHAT_Qn","Medium","MMM","hard"
"cntrQ_8462",1.97,15.58,21.1,false,"WHAT_Ql","Medium","MMM","hard"
"cntrQ_8472",5.12,15.58,27.02,true,"WHAT_Ql","Medium","MMM","hard"
