cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard","HEE","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",54.44,56.78,75.65,true,"WHAT_Qn","Hard","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard","EHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",18.24,20.17,77.25,false,"WHAT_Ql","Hard","HHH","easy"
"cntrQ_298",28.7,24.67,14.28,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",17.82,15.5,64.87,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",31.89,29.51,75.13,true,"WHERE","Easy","HEE","easy"
"cntrQ_310",66.26,40.91,37.26,false,"WHERE","Medium","MEM","easy"
"cntrQ_324",36.44,32.54,75.85,false,"WHERE","Hard","HHH","easy"
"cntrQ_325",37.74,42.6,33.93,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",41.05,34.69,48.12,true,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",72.33,76.69,26.15,true,"WHAT_Qn","Hard","HEE","medium"
"cntrQ_337",43.05,44.19,66.98,true,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",50.89,56.78,54.45,true,"WHAT_Qn","Hard","HHH","medium"
"cntrQ_352",27.1,78.73,27.1,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",16.25,71.6,24.48,false,"WHAT_Ql","Hard","EHE","medium"
"cntrQ_358",5.68,33.52,35.68,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",13.96,54.18,28.86,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",12.01,20.17,34.97,true,"WHAT_Ql","Hard","HHH","medium"
"cntrQ_379",16.55,22.56,28.87,true,"WHERE","Easy","EEE","medium"
"cntrQ_381",11.42,14.99,30.29,true,"WHERE","Easy","EHE","medium"
"cntrQ_385",31.53,27.53,37.43,false,"WHERE","Easy","HEE","medium"
"cntrQ_391",44.36,40.91,32.8,true,"WHERE","Medium","MEM","medium"
"cntrQ_405",27.11,32.47,31.75,false,"WHERE","Hard","HHH","medium"
"cntrQ_406",45.07,42.6,57.87,false,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",37.92,34.69,67.37,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",74.14,76.69,30.51,true,"WHAT_Qn","Hard","HEE","hard"
"cntrQ_418",41.72,44.19,66.34,false,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",55.01,56.78,61.78,true,"WHAT_Qn","Hard","HHH","hard"
"cntrQ_433",49.53,78.73,57.71,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",38.88,71.6,50.41,false,"WHAT_Ql","Hard","EHE","hard"
"cntrQ_439",14.9,33.52,52.74,true,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",8.19,54.18,17.31,true,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",16.09,20.17,60.94,false,"WHAT_Ql","Hard","HHH","hard"
"cntrQ_460",22.89,22.56,60.18,false,"WHERE","Easy","EEE","hard"
"cntrQ_462",23.39,21.78,60.58,true,"WHERE","Easy","EHE","hard"
"cntrQ_466",21.8,27.53,43.16,true,"WHERE","Easy","HEE","hard"
"cntrQ_472",41.93,40.91,35.66,false,"WHERE","Medium","MEM","hard"
"cntrQ_486",31.78,32.47,71.91,false,"WHERE","Hard","HHH","hard"
