cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",54.44,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_245",49.42,43.35,84.81,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_246",42.63,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_247",42.89,64.01,55.35,true,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_248",26.1,23.96,13.06,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_249",19.79,44.19,5.93,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_250",62.84,76.69,75.2,true,"WHAT_Qn","Hard;","HEE","easy"
"cntrQ_251",64.61,64.93,43.66,false,"WHAT_Qn","Hard;","HME","easy"
"cntrQ_252",47.53,64.92,14.42,false,"WHAT_Qn","Hard;","HHE","easy"
"cntrQ_253",50.35,15.52,69.76,true,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_254",49.63,34.69,25.81,true,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_255",47.41,56.13,69.25,false,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_256",63.4,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_257",44.37,64.01,33.13,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_258",43.73,77.48,25.06,false,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_259",53.44,43.3,85.45,true,"WHAT_Qn","Hard;","HEM","easy"
"cntrQ_260",33.85,43.31,24.92,true,"WHAT_Qn","Hard;","HMM","easy"
"cntrQ_261",37.75,27.05,64.76,true,"WHAT_Qn","Hard;","HHM","easy"
"cntrQ_262",51.29,24.93,74.92,false,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_263",63.78,77.48,4.73,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_264",56.17,27.34,74.92,false,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_265",58.99,37.06,69.7,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_266",48.86,36.42,35.15,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_267",35.56,56.13,39.47,true,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_268",51.67,46.62,21.65,false,"WHAT_Qn","Hard;","HEH","easy"
"cntrQ_269",38.13,23.06,84.81,false,"WHAT_Qn","Hard;","HMH","easy"
"cntrQ_270",44.19,56.78,75.65,true,"WHAT_Qn","Hard;","HHH","easy"
"cntrQ_271",5.84,78.73,12.38,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_272",33.24,46.04,80.65,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_273",49.99,71.6,65.02,true,"WHAT_Ql","Hard;","EHE","easy"
"cntrQ_274",1.64,15.02,54.11,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_275",7.26,78.21,12.86,false,"WHAT_Ql","Medium","MME","easy"
"cntrQ_276",19.46,58.62,43.8,false,"WHAT_Ql","Hard;","MHE","easy"
"cntrQ_277",21.37,33.52,72.94,false,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_278",0.5,72.51,13.99,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_279",0,18.64,12.35,true,"WHAT_Ql","Hard;","HHE","easy"
"cntrQ_280",55.08,84.16,66.9,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_281",21.88,56.7,24.94,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_282",17.67,33.47,66.11,true,"WHAT_Ql","Hard;","EHM","easy"
"cntrQ_283",31.47,54.18,35.38,false,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_284",5.12,15.58,27.02,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_285",1.39,44.15,27.39,true,"WHAT_Ql","Hard;","MHM","easy"
"cntrQ_286",3.7,3.7,82.4,false,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_287",13,65.24,19.71,false,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_288",16.21,28.33,62.42,true,"WHAT_Ql","Hard;","HHM","easy"
"cntrQ_289",11.58,18.69,76.01,false,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_290",0,24.51,4.63,true,"WHAT_Ql","Medium","EMH","easy"
