cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",28.95,28.74,85.75,false,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_245",28.69,29.26,55.11,true,"WHAT_Qn","Easy","EME","easy"
"cntrQ_246",36.9,28.92,74.59,false,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_247",52.4,58.12,16.18,false,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_248",48.5,51.87,85.86,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_249",27.63,26.9,86.05,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_250",65.95,67.04,95.36,false,"WHAT_Qn","Hard;","HEE","easy"
"cntrQ_251",33.49,34.55,95,false,"WHAT_Qn","Hard;","HME","easy"
"cntrQ_252",66.01,51.81,54.54,true,"WHAT_Qn","Hard;","HHE","easy"
"cntrQ_253",51.17,54.56,75.74,false,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_254",52.71,48.76,34.71,false,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_255",88.91,64.78,24.59,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_256",27.23,42.14,4.76,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_257",61.78,66.51,75.87,false,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_258",29.04,51.98,4.71,true,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_259",21.06,26.9,14.83,true,"WHAT_Qn","Hard;","HEM","easy"
"cntrQ_260",30.41,28.94,34.76,false,"WHAT_Qn","Hard;","HMM","easy"
"cntrQ_261",64.25,67.08,65.31,true,"WHAT_Qn","Hard;","HHM","easy"
"cntrQ_262",53.74,53.13,65.3,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_263",20.67,28.76,75.26,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_264",52.54,48.94,34.67,false,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_265",71.43,51.93,34.85,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_266",33.32,34.38,95.1,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_267",40.22,34.48,75.1,false,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_268",57.23,58.15,96.29,false,"WHAT_Qn","Hard;","HEH","easy"
"cntrQ_269",58.82,67.07,36.3,false,"WHAT_Qn","Hard;","HMH","easy"
"cntrQ_270",64.7,52,45.54,false,"WHAT_Qn","Hard;","HHH","easy"
"cntrQ_271",5.84,13.31,86.91,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_272",1.63,4.9,52.86,false,"WHAT_Ql","Medium","EME","easy"
"cntrQ_273",5.14,5.14,73.86,false,"WHAT_Ql","Hard;","EHE","easy"
"cntrQ_274",16.46,72.83,16.46,true,"WHAT_Ql","Easy","MEE","easy"
"cntrQ_275",14.31,15.56,86.51,true,"WHAT_Ql","Medium","MME","easy"
"cntrQ_276",10.84,16.81,82.52,true,"WHAT_Ql","Hard;","MHE","easy"
"cntrQ_277",67.84,70.78,94.7,true,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_278",77.09,86,91.09,false,"WHAT_Ql","Medium","HME","easy"
"cntrQ_279",39.86,88.11,51.28,false,"WHAT_Ql","Hard;","HHE","easy"
"cntrQ_280",15.6,15.83,77.06,false,"WHAT_Ql","Easy","EEM","easy"
"cntrQ_281",17.41,37.64,32.23,true,"WHAT_Ql","Medium","EMM","easy"
"cntrQ_282",18.91,96.04,19.54,false,"WHAT_Ql","Hard;","EHM","easy"
"cntrQ_283",1.86,54.74,4.46,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_284",3.74,5.91,79.28,false,"WHAT_Ql","Medium","MMM","easy"
"cntrQ_285",0,14.83,4.01,true,"WHAT_Ql","Hard;","MHM","easy"
"cntrQ_286",12.96,77.31,12.96,true,"WHAT_Ql","Easy","HEM","easy"
"cntrQ_287",40.85,88.41,40.85,true,"WHAT_Ql","Medium","HMM","easy"
"cntrQ_288",27.27,46.36,59.09,false,"WHAT_Ql","Hard;","HHM","easy"
"cntrQ_289",51.82,76.42,58.53,true,"WHAT_Ql","Easy","EEH","easy"
"cntrQ_290",70.27,94.78,71.23,true,"WHAT_Ql","Medium","EMH","easy"
"cntrQ_291",2.09,22.84,37.52,true,"WHAT_Ql","Hard;","EHH","easy"
"cntrQ_292",20.97,67.13,33.12,true,"WHAT_Ql","Easy","MEH","easy"
"cntrQ_293",45.47,46.5,94.65,false,"WHAT_Ql","Medium","MMH","easy"
"cntrQ_294",67.46,87.08,76.39,true,"WHAT_Ql","Hard;","MHH","easy"
"cntrQ_295",86.29,92.29,94,false,"WHAT_Ql","Easy","HEH","easy"
"cntrQ_296",31.44,85.05,35.56,false,"WHAT_Ql","Medium","HMH","easy"
"cntrQ_297",17.81,32.18,44.2,true,"WHAT_Ql","Hard;","HHH","easy"
"cntrQ_298",45.56,44.74,86.9,false,"WHERE","Easy","EEE","easy"
"cntrQ_299",49.12,47.84,53.71,true,"WHERE","Easy","EME","easy"
"cntrQ_300",50.79,48.57,74.86,true,"WHERE","Easy","EHE","easy"
"cntrQ_301",35.8,31.28,17.63,false,"WHERE","Easy","MEE","easy"
"cntrQ_302",7.44,7.67,85.37,false,"WHERE","Easy","MME","easy"
"cntrQ_303",41.58,41.95,81.48,false,"WHERE","Easy","MHE","easy"
"cntrQ_304",43.75,43.61,95.02,false,"WHERE","Easy","HEE","easy"
"cntrQ_305",30.15,30.04,92.01,true,"WHERE","Easy","HME","easy"
"cntrQ_306",37.12,37.04,51.72,true,"WHERE","Easy","HHE","easy"
"cntrQ_307",51.47,51.82,80.58,true,"WHERE","Medium","EEM","easy"
"cntrQ_308",17.12,24.92,28.86,false,"WHERE","Medium","EMM","easy"
"cntrQ_309",30.4,31.28,22.78,true,"WHERE","Medium","EHM","easy"
"cntrQ_310",99.05,54.82,5.44,false,"WHERE","Medium","MEM","easy"
"cntrQ_311",68.19,65.81,85.65,false,"WHERE","Medium","MMM","easy"
"cntrQ_312",97.62,96.31,4.62,true,"WHERE","Medium","MHM","easy"
"cntrQ_313",69.86,61.55,13.62,true,"WHERE","Medium","HEM","easy"
"cntrQ_314",71.62,61.37,40.72,false,"WHERE","Medium","HMM","easy"
"cntrQ_315",60.97,68.21,63.87,true,"WHERE","Medium","HHM","easy"
"cntrQ_316",67.25,74.15,60.28,true,"WHERE","Hard;","EEH","easy"
"cntrQ_317",85.32,85.54,69.65,false,"WHERE","Hard;","EMH","easy"
"cntrQ_318",64.64,74.21,37.97,true,"WHERE","Hard;","EHH","easy"
"cntrQ_319",74.93,60.93,32.75,false,"WHERE","Hard;","MEH","easy"
"cntrQ_320",65.5,64.81,96,false,"WHERE","Hard;","MMH","easy"
"cntrQ_321",74.37,72.99,75.46,false,"WHERE","Hard;","MHH","easy"
"cntrQ_322",81.98,81.66,96.63,false,"WHERE","Hard;","HEH","easy"
"cntrQ_323",60.25,55.22,35.92,false,"WHERE","Hard;","HMH","easy"
"cntrQ_324",55.16,59.43,39.73,false,"WHERE","Hard;","HHH","easy"
"cntrQ_325",41.68,28.74,56.96,false,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_326",29.96,29.26,63.03,false,"WHAT_Qn","Easy","EME","medium"
"cntrQ_327",27.61,28.92,62.29,false,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_328",57.75,58.12,61.35,true,"WHAT_Qn","Medium","MEE","medium"
"cntrQ_329",57.53,51.87,64,false,"WHAT_Qn","Medium","MME","medium"
"cntrQ_330",30.63,26.9,60.83,false,"WHAT_Qn","Medium","MHE","medium"
"cntrQ_331",58.74,67.04,58.85,false,"WHAT_Qn","Hard;","HEE","medium"
"cntrQ_332",32.21,34.55,71,true,"WHAT_Qn","Hard;","HME","medium"
"cntrQ_333",50.13,51.81,66.45,false,"WHAT_Qn","Hard;","HHE","medium"
"cntrQ_334",47.84,54.56,70.05,false,"WHAT_Qn","Easy","EEM","medium"
"cntrQ_335",53.6,48.76,54.89,false,"WHAT_Qn","Easy","EMM","medium"
"cntrQ_336",59.99,64.78,68.28,true,"WHAT_Qn","Easy","EHM","medium"
"cntrQ_337",45.98,42.14,58.09,false,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_338",71.39,66.51,60.17,true,"WHAT_Qn","Medium","MMM","medium"
"cntrQ_339",50.51,51.98,65.01,true,"WHAT_Qn","Medium","MHM","medium"
"cntrQ_340",27.48,26.9,72.4,false,"WHAT_Qn","Hard;","HEM","medium"
"cntrQ_341",30.38,28.94,61.84,true,"WHAT_Qn","Hard;","HMM","medium"
"cntrQ_342",73.17,67.08,59.34,true,"WHAT_Qn","Hard;","HHM","medium"
"cntrQ_343",51.62,53.13,62.39,true,"WHAT_Qn","Easy","EEH","medium"
"cntrQ_344",22.44,28.76,55.26,true,"WHAT_Qn","Easy","EMH","medium"
"cntrQ_345",43.83,48.94,59.13,false,"WHAT_Qn","Easy","EHH","medium"
"cntrQ_346",47.13,51.93,76.35,true,"WHAT_Qn","Medium","MEH","medium"
"cntrQ_347",28.16,34.38,66.28,true,"WHAT_Qn","Medium","MMH","medium"
"cntrQ_348",34.14,34.48,73.07,true,"WHAT_Qn","Medium","MHH","medium"
"cntrQ_349",51.89,58.15,72.07,false,"WHAT_Qn","Hard;","HEH","medium"
"cntrQ_350",74.89,67.07,59.4,true,"WHAT_Qn","Hard;","HMH","medium"
"cntrQ_351",50.9,52,62.04,true,"WHAT_Qn","Hard;","HHH","medium"
"cntrQ_352",7.94,13.31,63.78,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_353",2.17,4.9,59.12,true,"WHAT_Ql","Medium","EME","medium"
"cntrQ_354",1.85,5.14,49.38,true,"WHAT_Ql","Hard;","EHE","medium"
"cntrQ_355",49.17,72.83,64.81,true,"WHAT_Ql","Easy","MEE","medium"
"cntrQ_356",7.46,15.56,63.9,true,"WHAT_Ql","Medium","MME","medium"
"cntrQ_357",13.27,16.81,53.31,true,"WHAT_Ql","Hard;","MHE","medium"
"cntrQ_358",40.39,70.78,60.98,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_359",49.61,86,58.01,true,"WHAT_Ql","Medium","HME","medium"
"cntrQ_360",46.38,88.11,50.11,false,"WHAT_Ql","Hard;","HHE","medium"
"cntrQ_361",11.58,15.83,54.84,false,"WHAT_Ql","Easy","EEM","medium"
"cntrQ_362",18.35,37.64,51.52,false,"WHAT_Ql","Medium","EMM","medium"
"cntrQ_363",58.21,96.04,58.83,true,"WHAT_Ql","Hard;","EHM","medium"
"cntrQ_364",25.88,54.74,64.05,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_365",2.95,5.91,60.15,true,"WHAT_Ql","Medium","MMM","medium"
"cntrQ_366",8.9,14.83,60.38,true,"WHAT_Ql","Hard;","MHM","medium"
"cntrQ_367",38.42,77.31,52.31,false,"WHAT_Ql","Easy","HEM","medium"
"cntrQ_368",60.16,88.41,67.68,false,"WHAT_Ql","Medium","HMM","medium"
"cntrQ_369",33.18,46.36,65.15,true,"WHAT_Ql","Hard;","HHM","medium"
"cntrQ_370",40.04,76.42,53.45,true,"WHAT_Ql","Easy","EEH","medium"
"cntrQ_371",52.5,94.78,57.72,false,"WHAT_Ql","Medium","EMH","medium"
"cntrQ_372",14.91,22.84,49.65,true,"WHAT_Ql","Hard;","EHH","medium"
"cntrQ_373",46.8,67.13,60.99,false,"WHAT_Ql","Easy","MEH","medium"
"cntrQ_374",26.13,46.5,61.31,false,"WHAT_Ql","Medium","MMH","medium"
"cntrQ_375",48.16,87.08,60.76,false,"WHAT_Ql","Hard;","MHH","medium"
