cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",47.05,42.6,14.24,true,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_245",47.14,43.35,6.6,false,"WHAT_Qn","Easy","EME","easy"
"cntrQ_246",31.48,34.69,64.97,true,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_247",66.3,64.01,55.35,true,"WHAT_Qn","Medium","MEE","easy"
"cntrQ_248",17.65,23.96,13.06,false,"WHAT_Qn","Medium","MME","easy"
"cntrQ_249",39.26,44.19,44.8,false,"WHAT_Qn","Medium","MHE","easy"
"cntrQ_250",79.15,76.69,75.2,true,"WHAT_Qn","Hard;","HEE","easy"
"cntrQ_251",68.05,64.93,14.66,true,"WHAT_Qn","Hard;","HME","easy"
"cntrQ_252",55.98,64.92,14.42,false,"WHAT_Qn","Hard;","HHE","easy"
"cntrQ_253",21.78,15.52,7.48,true,"WHAT_Qn","Easy","EEM","easy"
"cntrQ_254",46.93,34.69,7.41,true,"WHAT_Qn","Easy","EMM","easy"
"cntrQ_255",76.33,56.13,8.09,true,"WHAT_Qn","Easy","EHM","easy"
"cntrQ_256",50.13,44.19,37.46,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_257",67.08,64.01,33.13,true,"WHAT_Qn","Medium","MMM","easy"
"cntrQ_258",69.24,77.48,25.06,false,"WHAT_Qn","Medium","MHM","easy"
"cntrQ_259",46.07,43.3,84.27,true,"WHAT_Qn","Hard;","HEM","easy"
"cntrQ_260",31.72,43.31,24.92,true,"WHAT_Qn","Hard;","HMM","easy"
"cntrQ_261",24.94,27.05,64.76,true,"WHAT_Qn","Hard;","HHM","easy"
"cntrQ_262",33.4,24.93,13.11,true,"WHAT_Qn","Easy","EEH","easy"
"cntrQ_263",79.8,77.48,4.73,true,"WHAT_Qn","Easy","EMH","easy"
"cntrQ_264",6.47,27.34,9.28,true,"WHAT_Qn","Easy","EHH","easy"
"cntrQ_265",40.73,37.06,69.7,false,"WHAT_Qn","Medium","MEH","easy"
"cntrQ_266",33.86,36.42,35.15,false,"WHAT_Qn","Medium","MMH","easy"
"cntrQ_267",51.67,56.13,39.47,true,"WHAT_Qn","Medium","MHH","easy"
"cntrQ_268",43.17,46.62,69.51,true,"WHAT_Qn","Hard;","HEH","easy"
