cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff
"cntrQ_244",28.95,28.74,85.75,false,"WHAT_Qn","Easy","EEE","easy"
"cntrQ_246",36.9,28.92,74.59,false,"WHAT_Qn","Easy","EHE","easy"
"cntrQ_250",65.95,67.04,95.36,false,"WHAT_Qn","Hard;","HEE","easy"
"cntrQ_256",27.23,42.14,4.76,true,"WHAT_Qn","Medium","MEM","easy"
"cntrQ_270",64.7,52,45.54,false,"WHAT_Qn","Hard;","HHH","easy"
"cntrQ_271",8.48,15.45,85.75,true,"WHAT_Ql","Easy","EEE","easy"
"cntrQ_273",6.81,5.08,74.59,false,"WHAT_Ql","Hard;","EHE","easy"
"cntrQ_277",65.71,65.39,95.36,true,"WHAT_Ql","Easy","HEE","easy"
"cntrQ_283",33.33,54.6,4.76,true,"WHAT_Ql","Easy","MEM","easy"
"cntrQ_297",41.95,34.55,45.54,true,"WHAT_Ql","Hard;","HHH","easy"
"cntrQ_298",45.56,44.74,86.9,false,"WHERE","Easy","EEE","easy"
"cntrQ_300",50.79,48.57,74.86,false,"WHERE","Easy","EHE","easy"
"cntrQ_304",43.75,43.61,95.02,false,"WHERE","Easy","HEE","easy"
"cntrQ_310",106.34,59.6,5.44,true,"WHERE","Medium","MEM","easy"
"cntrQ_324",55.16,59.43,39.73,false,"WHERE","Hard;","HHH","easy"
"cntrQ_325",30,28.74,56.06,true,"WHAT_Qn","Easy","EEE","medium"
"cntrQ_327",30.49,28.92,64.17,false,"WHAT_Qn","Easy","EHE","medium"
"cntrQ_331",67.29,67.04,63.48,false,"WHAT_Qn","Hard;","HEE","medium"
"cntrQ_337",33.61,42.14,54.28,false,"WHAT_Qn","Medium","MEM","medium"
"cntrQ_351",60.12,52,62.3,false,"WHAT_Qn","Hard;","HHH","medium"
"cntrQ_352",20.11,15.45,52.72,true,"WHAT_Ql","Easy","EEE","medium"
"cntrQ_354",4.51,5.08,71.12,false,"WHAT_Ql","Hard;","EHE","medium"
"cntrQ_358",61.04,65.39,67.84,true,"WHAT_Ql","Easy","HEE","medium"
"cntrQ_364",35.58,54.6,51.74,true,"WHAT_Ql","Easy","MEM","medium"
"cntrQ_378",33.89,34.55,46.33,true,"WHAT_Ql","Hard;","HHH","medium"
"cntrQ_379",43.75,42.34,59,false,"WHERE","Easy","EEE","medium"
"cntrQ_381",32.85,37.82,56.1,false,"WHERE","Easy","EHE","medium"
"cntrQ_385",40.18,40.59,70.28,false,"WHERE","Easy","HEE","medium"
"cntrQ_391",42.93,56.37,53.65,false,"WHERE","Medium","MEM","medium"
"cntrQ_405",34.5,33.82,75.01,false,"WHERE","Hard;","HHH","medium"
"cntrQ_406",21.47,28.74,60.9,true,"WHAT_Qn","Easy","EEE","hard"
"cntrQ_408",30.71,28.92,64.43,true,"WHAT_Qn","Easy","EHE","hard"
"cntrQ_412",64.78,67.04,59.94,false,"WHAT_Qn","Hard;","HEE","hard"
"cntrQ_418",42.98,42.14,61.58,true,"WHAT_Qn","Medium","MEM","hard"
"cntrQ_432",52.79,52,60.2,true,"WHAT_Qn","Hard;","HHH","hard"
"cntrQ_433",9.42,15.45,57.87,false,"WHAT_Ql","Easy","EEE","hard"
"cntrQ_435",4.36,5.08,61.22,false,"WHAT_Ql","Hard;","EHE","hard"
"cntrQ_439",80.67,65.39,64.85,false,"WHAT_Ql","Easy","HEE","hard"
"cntrQ_445",40.34,54.6,55.87,false,"WHAT_Ql","Easy","MEM","hard"
"cntrQ_459",20.57,34.55,63.61,false,"WHAT_Ql","Hard;","HHH","hard"
"cntrQ_460",42.39,42.34,56.3,false,"WHERE","Easy","EEE","hard"
"cntrQ_462",38.51,37.82,58.24,false,"WHERE","Easy","EHE","hard"
"cntrQ_466",40.93,40.59,67.07,false,"WHERE","Easy","HEE","hard"
"cntrQ_472",54.53,56.37,60.4,false,"WHERE","Medium","MEM","hard"
"cntrQ_486",34.73,33.82,67.51,false,"WHERE","Hard;","HHH","hard"
