StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,prolificId,correctIntro,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,54,suspension force,radio on,wiper on gte 1,h1v1,6,medium,E,H,M,WHAT_Qn,60.36,56.13,23.62,1,16,E,WHAT_Qn_E_M,E_M,5d02c130c4fc3b0001eef1e2,TRUE,3,99.383,55,5.36,2.455491621,42,14.13,3.833396134,20,3.62,1.904965719,Neither agree nor disagree,0,3,2,3,0
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,20,electricity consumption,radio on,wiper on gte 1,h1v1,9,hard,M,H,H,WHAT_Qn,53.52,56.13,18.62,1,107,M,WHAT_Qn_M_H,M_H,5d02c130c4fc3b0001eef1e2,TRUE,3,42.299,54,-0.48,-0.724992953,39,17.13,4.108942569,47,-28.38,4.833143096,Neither agree nor disagree,0,3,2,3,1
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h1v1,6,medium,H,M,H,WHAT_Qn,21.67,23.06,22.44,-1,176,H,WHAT_Qn_H_M,H_M,5d02c130c4fc3b0001eef1e2,TRUE,2,18.119,34,-12.33,3.638653116,38,-14.94,3.913128768,24,-1.56,0.752748591,Neither agree nor disagree,0,2,1,2,2
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h1v1,8,hard,E,E,E,WHAT_Ql,8.87,78.73,14.48,1,54,E,WHAT_Ql_E_H,E_H,5d02c130c4fc3b0001eef1e2,TRUE,2,66.377,20,-11.13,3.492494152,20,58.73,5.879093079,15,-0.52,-0.632628934,Agree,1,4,3,3,3
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h1v1,6,medium,H,M,H,WHAT_Ql,17.26,81.18,26.28,-1,125,M,WHAT_Ql_M_M,M_M,5d02c130c4fc3b0001eef1e2,TRUE,3,80.345,19,-1.74,0.89917563,15,66.18,6.051045762,90,-63.72,5.996501735,Neither agree nor disagree,0,3,4,3,4
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,33,engine temperature,gps on,wiper on gte 1,h1v1,3,easy,H,H,E,WHAT_Ql,10.95,19.81,43.12,-1,195,H,WHAT_Ql_H_E,H_E,5d02c130c4fc3b0001eef1e2,TRUE,2,61,14,-3.05,1.666756592,38,-18.19,4.194953796,50,-6.88,2.808385051,Neither agree nor disagree,0,4,4,3,5
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,33,engine temperature,gps on,wiper on gte 1,h1v1,9,hard,H,H,E,WHERE,15.82,18.52,38.36,1,80,E,WHERE_E_H,E_H,5d02c130c4fc3b0001eef1e2,TRUE,3,72.336,60,-44.18,5.469397617,60,-41.48,5.378685014,35,3.36,1.801158656,Neither agree nor disagree,0,3,2,3,6
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,54,suspension force,radio on,wiper on gte 1,h1v1,9,hard,E,H,M,WHERE,27.19,26.37,32.14,1,155,M,WHERE_M_H,M_H,5d02c130c4fc3b0001eef1e2,TRUE,3,29.26,28,-0.81,-0.09696173,41,-14.63,3.883132016,50,-17.86,4.168722254,Disagree,0,2,2,3,7
13/11/2021 18:27,13/11/2021 18:39,IP Address,62.30.202.74,100,745,TRUE,13/11/2021 18:39,R_274jOIMIODB9uz8,53.7572937,-2.723602295,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h1v1,5,medium,H,M,H,WHERE,22.9,24.89,34.76,1,232,H,WHERE_H_M,H_M,5d02c130c4fc3b0001eef1e2,TRUE,3,64.512,16,6.9,2.812498225,14,10.89,3.46139759,50,-15.24,3.941575862,Agree,1,3,2,3,8
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,TRUE,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,64,engine temperature,gps on,wiper on gte 1,h1v1,9,hard,E,E,H,WHAT_Qn,26.92,24.93,16.61,-1,20,E,WHAT_Qn_E_H,E_H,5fef552ac274b328156773f7,TRUE,0,23.024,21,5.92,2.595742339,29,-4.07,2.068670811,43,-26.39,4.728736843,Neither agree nor disagree,0,0,0,0,9
