StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion,distractor
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,4,easy,E,H,E,WHAT_Qn,31.48,34.69,64.97,1,246,E,WHAT_Qn_E_E,E_E,3,56.6,30,1.48,40,-5.31,63,1.97,Neither agree nor disagree,0,3,3,3,0,h
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,59,electricity consumption,radio on,engine temperature gte 18.23,h0v0,4,easy,M,M,M,WHAT_Ql,5.12,15.58,27.02,-1,8297,M,WHAT_Ql_M_E,M_E,3,100.201,31,-25.88,55,-39.42,35,-7.98,Neither agree nor disagree,0,4,3,3,1,h
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,7,medium,H,E,E,WHAT_Ql,6.27,33.52,39.21,1,358,E,WHAT_Ql_E_M,E_M,3,64.514,7,-0.73,33,0.52,40,-0.79,Neither agree nor disagree,0,4,3,3,2,h
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,7,hard,M,M,M,WHERE,34.29,36.12,33.52,-1,8462,M,WHERE_M_H,M_H,3,123.712,16,18.29,54,-17.88,27,6.52,Agree,0,4,4,4,3,h
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,1,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,E,E,E,WHERE,28.7,24.67,14.28,-1,298,E,WHERE_E_E,E_E,3,73.751,37,-8.3,24,0.67,8,6.28,Disagree,1,3,3,3,4,h
18/09/2021 10:12,18/09/2021 10:27,IP Address,94.21.157.245,100,893,True,18/09/2021 10:27,R_2TMgyeonO5LH4xw,47.68850708,17.64450073,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,6,medium,H,E,E,WHERE,36.96,27.53,36.06,1,385,E,WHERE_E_M,E_M,3,41.834,23,13.96,28,-0.47,20,16.06,Neither agree nor disagree,0,3,4,2,5,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,59,electricity consumption,radio on,engine temperature gte 18.23,h0v0,4,easy,M,M,M,WHAT_Ql,5.12,15.58,27.02,-1,8277,M,WHAT_Ql_M_E,M_E,3,220.705,50,-44.88,60,-44.42,35,-7.98,Disagree,1,4,3,5,6,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,9,medium,M,M,M,WHAT_Ql,10.25,15.58,54.43,-1,8352,M,WHAT_Ql_M_M,M_M,5,97.164,19,-8.75,57,-41.42,30,24.43,Agree,0,5,5,5,7,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,11,hard,E,H,E,WHAT_Ql,39.71,71.6,58.43,-1,435,H,WHAT_Ql_H_H,H_H,5,116.921,45,-5.29,80,-8.4,60,-1.57,Disagree,1,5,5,5,8,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,67,electricity consumption,wiper on,radio on gte 1,h0v0,2,easy,H,H,H,WHERE,36.44,32.54,75.85,-1,324,H,WHERE_H_E,H_E,5,52.747,70,-33.56,100,-67.46,70,5.85,Neither agree nor disagree,0,5,5,5,9,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,9,hard,M,M,M,WHAT_Qn,56.74,64.01,30.23,-1,8412,M,WHAT_Qn_M_H,M_H,5,111.076,45,11.74,100,-35.99,50,-19.77,Agree,0,2,5,4,10,h
18/09/2021 10:13,18/09/2021 10:38,IP Address,189.192.220.78,100,1499,True,18/09/2021 10:38,R_3Kx5nl6byNwVPmN,19.81170654,-99.84580231,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,14,hard,E,E,E,WHERE,20.94,22.56,64.43,-1,460,E,WHERE_E_H,E_H,5,53.872,60,-39.06,70,-47.44,80,-15.57,Agree,0,5,5,5,11,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,1,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,E,E,E,WHAT_Qn,47.05,42.6,14.24,1,244,E,WHAT_Qn_E_E,E_E,1,76.779,61,-13.95,44,-1.4,10,4.24,Disagree,0,1,3,3,12,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,7,medium,E,E,E,WHAT_Qn,37.74,42.6,33.93,1,325,E,WHAT_Qn_E_M,E_M,1,57.049,62,-24.26,45,-2.4,47,-13.07,Agree,1,1,1,3,13,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,hard,M,M,M,WHAT_Qn,56.32,64.01,32.26,-1,8432,M,WHAT_Qn_M_H,M_H,2,115.44,38,18.32,50,14.01,30,2.26,Disagree,1,3,3,3,14,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,1,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,E,E,E,WHAT_Ql,5.84,78.73,12.38,1,271,E,WHAT_Ql_E_E,E_E,4,63.403,5,0.84,78,0.73,11,1.38,Agree,1,4,5,4,15,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,10,hard,H,E,E,WHAT_Ql,8.03,33.52,28.82,1,439,E,WHAT_Ql_E_H,E_H,3,83.565,10,-1.97,32,1.52,49,-20.18,Agree,1,4,4,2,16,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,4,easy,E,H,E,WHERE,17.82,15.5,64.87,-1,300,E,WHERE_E_E,E_E,2,169.302,16,1.82,19,-3.5,76,-11.13,Agree,0,1,0,2,17,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,67,electricity consumption,wiper on,heating on gte 1,h0v0,7,medium,H,H,H,WHERE,25.44,32.47,18.63,1,405,H,WHERE_H_M,H_M,1,134.034,23,2.44,34,-1.53,14,4.63,Agree,1,3,1,3,18,h
18/09/2021 10:19,18/09/2021 10:43,IP Address,99.14.25.216,100,1481,True,18/09/2021 10:43,R_3G6WaBjWVR3c3Df,34.03889465,-84.38259888,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,8,hard,H,E,E,WHERE,31.51,27.53,35.51,1,466,E,WHERE_E_H,E_H,1,109.343,27,4.51,36,-8.47,37,-1.49,Disagree,0,2,1,1,19,h
20/09/2021 01:43,20/09/2021 02:00,IP Address,62.10.66.92,100,1045,True,20/09/2021 02:00,R_pPLNmdSIX6c44w1,41.89039612,12.51260376,anonymous,EN,4,suspension force,gps on,heating on gte 1,h0v0,3,easy,H,E,E,WHAT_Qn,79.15,76.69,75.2,1,250,H,WHAT_Qn_H_E,H_E,2,41.64,49,30.15,71,5.69,16,59.2,Agree,1,1,2,2,20,h
20/09/2021 01:43,20/09/2021 02:00,IP Address,62.10.66.92,100,1045,True,20/09/2021 02:00,R_pPLNmdSIX6c44w1,41.89039612,12.51260376,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,hard,M,M,M,WHAT_Qn,56.32,64.01,32.26,-1,8432,M,WHAT_Qn_M_H,M_H,2,73.125,61,-4.68,43,21.01,31,1.26,Agree,0,2,2,3,21,h
