StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion,flip
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,32,suspension force,radio on,engine temperature gte 43.71,h0v0,5,easy,E,M,M,WHAT_Qn,53.33,34.69,14.83,-1,254,E,WHAT_Qn_E_E,E_E,5,70.293,61,-7.67,52,-17.31,34,-19.17,Agree,0,4,4,4,0,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,34,suspension force,gps on,wiper on gte 1,h0v0,5,medium,E,H,H,WHAT_Qn,24.78,27.34,56.34,-1,345,E,WHAT_Qn_E_M,E_M,4,246.371,40,-15.22,36,-8.66,30,26.34,Neither agree nor disagree,0,4,4,4,1,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,54,suspension force,radio on,wiper on gte 1,h0v0,14,hard,E,H,M,WHAT_Qn,55.97,56.13,45.95,-1,417,E,WHAT_Qn_E_H,E_H,4,82.2,60,-4.03,69,-12.87,56,-10.05,Disagree,1,4,4,4,2,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,38,electricity consumption,wiper on,radio on gte 1,h0v0,5,easy,M,E,H,WHAT_Ql,15.47,15.47,68.41,-1,292,E,WHAT_Ql_E_E,E_E,5,215.516,15,0.47,15,0.47,70,-1.59,Disagree,1,4,4,4,3,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,47,suspension force,wiper on,radio on gte 1,h0v0,5,medium,M,M,H,WHAT_Ql,17.28,78.8,32.3,-1,374,M,WHAT_Ql_M_M,M_M,4,132.405,36,-18.72,78,0.8,36,-3.7,Disagree,1,4,4,4,4,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,2,suspension force,wiper on,heating on gte 1,h0v0,14,hard,H,H,M,WHAT_Ql,15.15,28.33,57.42,1,450,H,WHAT_Ql_H_H,H_H,4,130.577,23,-7.85,41,-12.67,71,-13.58,Disagree,0,4,4,4,5,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,14,engine temperature,gps on,suspension force gte 43.78,h0v0,6,easy,M,M,E,WHERE,53.73,28.68,13.1,1,302,E,WHERE_E_E,E_E,4,96.471,21,32.73,17,11.68,20,-6.9,Agree,1,4,3,4,6,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,32,suspension force,radio on,wiper on gte 1,h0v0,3,medium,E,M,M,WHERE,29.91,32.31,7.44,1,389,M,WHERE_M_M,M_M,4,193.09,9,20.91,16,16.31,15,-7.56,Agree,1,3,3,4,7,nf
18/09/2021 10:58,18/09/2021 11:33,IP Address,187.190.184.26,100,2105,True,18/09/2021 11:33,R_3kFFjpEFHiSdd7U,19.43539429,-99.1427002,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h0v0,12,hard,H,M,H,WHERE,27.19,26.13,54.96,1,485,H,WHERE_H_H,H_H,5,115.843,7,20.19,11,15.13,63,-8.04,Neither agree nor disagree,0,3,3,4,8,nf
18/09/2021 10:53,18/09/2021 11:34,IP Address,45.190.77.42,100,2446,True,18/09/2021 11:34,R_3NOoxnuDX0H8EOS,20.82139587,-103.4595032,anonymous,EN,20,electricity consumption,radio on,engine temperature gte 72.34,h0v0,4,easy,M,H,H,WHAT_Qn,51.67,56.13,39.47,1,267,M,WHAT_Qn_M_E,M_E,3,120.612,60,-8.33,60,-3.87,45,-5.53,Neither agree nor disagree,0,4,2,3,9,nf
18/09/2021 10:53,18/09/2021 11:34,IP Address,45.190.77.42,100,2446,True,18/09/2021 11:34,R_3NOoxnuDX0H8EOS,20.82139587,-103.4595032,anonymous,EN,6,suspension force,gps on,wiper on gte 1,h0v0,3,medium,H,E,H,WHAT_Qn,45.86,46.62,39.31,1,349,H,WHAT_Qn_H_M,H_M,3,101.243,50,-4.14,54,-7.38,38,1.31,Neither agree nor disagree,0,3,2,3,10,nf
