StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,6,suspension force,gps on,radio on gte 1,h1v1,5,easy,H,E,H,WHAT_Qn,43.17,46.62,69.51,1,25,H,WHAT_Qn_H_E,H_E,2,54.297,45,-1.83,53,-6.38,68,1.51,Neither agree nor disagree,0,3,2,4,0
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,20,electricity consumption,radio on,wiper on gte 1,h1v1,3,medium,M,H,H,WHAT_Qn,59.66,56.13,44.53,-1,105,M,WHAT_Qn_M_M,M_M,2,44.302,60,-0.34,56,0.13,49,-4.47,Disagree,1,4,3,4,1
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,20,electricity consumption,radio on,wiper on gte 1,h1v1,12,hard,M,H,H,WHAT_Qn,58.38,56.13,70.44,1,186,M,WHAT_Qn_M_H,M_H,4,61.5,62,-3.62,54,2.13,78,-7.56,Neither agree nor disagree,0,3,3,4,2
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,14,engine temperature,gps on,suspension force gte 43.78,h1v1,6,easy,M,M,E,WHAT_Ql,7.26,78.21,12.86,-1,32,M,WHAT_Ql_M_E,M_E,4,60.12,12,-4.74,78,0.21,15,-2.14,Neither agree nor disagree,0,4,4,4,3
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,20,electricity consumption,radio on,wiper on gte 1,h1v1,9,medium,M,H,H,WHAT_Ql,27.11,65.7,39.23,-1,132,H,WHAT_Ql_H_M,H_M,3,69.334,46,-18.89,69,-3.3,41,-1.77,Agree,0,4,4,4,4
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,72,fuel consumption,gps on,wiper on gte 1,h1v1,12,hard,E,M,H,WHAT_Ql,9.26,24.51,39.76,1,209,M,WHAT_Ql_M_H,M_H,4,53.555,16,-6.74,26,-1.49,45,-5.24,Neither agree nor disagree,0,3,4,4,5
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,69,engine temperature,radio on,gps on gte 1,h1v1,4,easy,M,E,E,WHERE,17.44,18.04,55.23,-1,58,E,WHERE_E_E,E_E,4,57.999,28,-10.56,42,-23.96,56,-0.77,Neither agree nor disagree,0,4,4,4,6
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,39,engine temperature,wiper on,heating on gte 1,h1v1,8,medium,H,M,E,WHERE,23.14,21.55,33.44,1,143,E,WHERE_E_M,E_M,3,38.383,53,-29.86,44,-22.45,20,13.44,Disagree,0,3,3,4,7
18/09/2021 10:38,18/09/2021 10:53,IP Address,37.201.5.252,100,904,True,18/09/2021 10:53,R_cSIYbx5juMmOA8x,48.57090759,7.809906006,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h1v1,14,hard,E,H,E,WHERE,22.62,21.78,62.19,1,219,E,WHERE_E_H,E_H,2,90.159,49,-26.38,42,-20.22,60,2.19,Agree,1,3,2,3,8
18/09/2021 10:38,18/09/2021 11:04,IP Address,161.8.224.34,100,1551,True,18/09/2021 11:04,R_1rP3Od4Tq5thrD4,-31.94740295,115.8648071,anonymous,EN,61,electricity consumption,gps on,engine temperature gte 42.31,h1v1,3,easy,M,E,M,WHAT_Qn,50.13,44.19,37.46,1,13,M,WHAT_Qn_M_E,M_E,3,110.489,60,-9.87,50,-5.81,33,4.46,Agree,1,3,2,3,9
18/09/2021 10:38,18/09/2021 11:04,IP Address,161.8.224.34,100,1551,True,18/09/2021 11:04,R_1rP3Od4Tq5thrD4,-31.94740295,115.8648071,anonymous,EN,63,engine temperature,gps on,suspension force gte 33.66,h1v1,9,medium,E,E,M,WHAT_Qn,12.44,15.52,25.74,1,91,E,WHAT_Qn_E_M,E_M,3,74.631,17,-4.56,20,-4.48,25,0.74,Disagree,0,3,3,3,10
18/09/2021 10:38,18/09/2021 11:04,IP Address,161.8.224.34,100,1551,True,18/09/2021 11:04,R_1rP3Od4Tq5thrD4,-31.94740295,115.8648071,anonymous,EN,67,electricity consumption,wiper on,heating on gte 1,h1v1,12,hard,H,H,H,WHAT_Qn,73.8,56.78,15.7,1,189,H,WHAT_Qn_H_H,H_H,3,109.685,70,3.8,60,-3.22,15,0.7,Disagree,0,2,2,3,11
