StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",14,"engine temperature","gps on","suspension force gte 43.78","h1v1",6,"easy","M","M","E","WHAT_Qn",17.65,23.96,13.06,-1,5,"M","WHAT_Qn_M_E","M_E","2","10.223","24",-6.350000000000001,"31",-7.039999999999999,"26",-12.94,"Neither agree nor disagree",0,"2","2","2",0
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",7,"medium","E","E","E","WHAT_Qn",37.74,42.6,33.93,1,82,"E","WHAT_Qn_E_M","E_M","2","8.175","19",18.740000000000002,"21",21.6,"23",10.93,"Neither agree nor disagree",0,"2","2","2",1
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",31,"electricity consumption","gps on","wiper on gte 1","h1v1",14,"hard","M","H","E","WHAT_Qn",43.47,44.19,52.81,1,168,"M","WHAT_Qn_M_H","M_H","1","8.305","24",19.47,"26",18.189999999999998,"29",23.810000000000002,"Neither agree nor disagree",0,"1","1","1",2
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h1v1",4,"easy","E","H","E","WHAT_Ql",49.99,71.6,65.02,1,30,"H","WHAT_Ql_H_E","H_E","2","61.023","26",23.990000000000002,"55",16.599999999999994,"37",28.019999999999996,"Neither agree nor disagree",0,"2","2","2",3
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h1v1",4,"medium","H","H","H","WHAT_Ql",9.22,20.17,27.46,1,135,"H","WHAT_Ql_H_M","H_M","2","66.251","60",-50.78,"23",-2.8299999999999983,"25",2.460000000000001,"Neither agree nor disagree",0,"3","2","2",4
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h1v1",14,"hard","H","H","H","WHAT_Ql",12.23,20.17,54.07,-1,216,"H","WHAT_Ql_H_H","H_H","2","11.73","40",-27.77,"39",-18.83,"29",25.07,"Neither agree nor disagree",0,"2","1","2",5
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",14,"engine temperature","gps on","suspension force gte 43.78","h1v1",6,"easy","M","M","E","WHERE",53.73,28.68,13.1,1,59,"E","WHERE_E_E","E_E","2","155.114","24",29.729999999999997,"23",5.68,"25",-11.9,"Neither agree nor disagree",0,"3","2","2",6
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h1v1",10,"medium","M","M","M","WHERE",30.4,36.12,55.97,1,149,"M","WHERE_M_M","M_M","1","9.457","36",-5.600000000000001,"25",11.119999999999997,"30",25.97,"Neither agree nor disagree",0,"1","1","1",7
"18/09/2021 10:36","18/09/2021 10:45","IP Address","189.161.9.8","100","515","True","18/09/2021 10:45","R_79Q1KfMEfq2T06l","19.0348053","-98.21720123","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h1v1",8,"hard","H","E","E","WHERE",27.31,27.53,42.62,1,223,"E","WHERE_E_H","E_H","2","9.148","37",-9.690000000000001,"32",-4.469999999999999,"27",15.619999999999997,"Neither agree nor disagree",0,"2","2","2",8
"18/09/2021 10:38","18/09/2021 10:53","IP Address","37.201.5.252","100","904","True","18/09/2021 10:53","R_cSIYbx5juMmOA8x","48.57090759","7.809906006","anonymous","EN",6,"suspension force","gps on","radio on gte 1","h1v1",5,"easy","H","E","H","WHAT_Qn",43.17,46.62,69.51,1,25,"H","WHAT_Qn_H_E","H_E","2","54.297","45",-1.8299999999999983,"53",-6.380000000000003,"68",1.5100000000000051,"Neither agree nor disagree",0,"3","2","4",9
