StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",12,"suspension force","gps on","heating on gte 1","h0v0",4,"easy","H","M","H","WHAT_Qn",22.41,23.06,84.81,-1,269,"H","WHAT_Qn_H_E","H_E","0","71.388","28",-5.59,"34",-10.940000000000001,"45",39.81,"Neither agree nor disagree",0,"1","2","1",0
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",64,"engine temperature","gps on","wiper on gte 1","h0v0",3,"medium","E","E","H","WHAT_Qn",24.81,24.93,51.02,-1,343,"E","WHAT_Qn_E_M","E_M","1","69.182","30",-5.190000000000001,"25",-0.07000000000000028,"51",0.020000000000003126,"Agree",0,"2","2","2",1
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",33,"engine temperature","gps on","wiper on gte 1","h0v0",11,"hard","H","H","E","WHAT_Qn",65.48,64.92,59.56,-1,414,"H","WHAT_Qn_H_H","H_H","1","131.715","65",0.480000000000004,"56",8.920000000000002,"43",16.560000000000002,"Neither agree nor disagree",0,"2","2","1",2
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",68,"fuel consumption","gps on","heating on gte 1","h0v0",4,"easy","E","M","E","WHAT_Ql",33.24,46.04,80.65,-1,272,"M","WHAT_Ql_M_E","M_E","1","136.851","33",0.240000000000002,"44",2.039999999999999,"85",-4.349999999999994,"Disagree",1,"2","3","2",3
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",39,"engine temperature","wiper on","heating on gte 1","h0v0",8,"medium","H","M","E","WHAT_Ql",18.06,72.51,35.36,1,359,"M","WHAT_Ql_M_M","M_M","1","149.772","54",-35.94,"73",-0.4899999999999949,"29",6.359999999999999,"Neither agree nor disagree",0,"1","1","1",4
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",6,"suspension force","gps on","wiper on gte 1","h0v0",13,"hard","H","E","H","WHAT_Ql",30.4,51.6,58.45,1,457,"E","WHAT_Ql_E_H","E_H","0","92.395","44",-13.600000000000001,"51",0.6000000000000014,"65",-6.549999999999997,"Agree",1,"2","3","0",5
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",3,"suspension force","radio on","heating on gte 1","h0v0",2,"easy","H","M","M","WHERE",56.84,33.25,24.69,-1,314,"M","WHERE_M_E","M_E","2","138.7","42",14.840000000000003,"30",3.25,"45",-20.31,"Agree",0,"1","1","2",6
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",10,"medium","M","M","M","WHERE",43.69,36.12,62.39,1,392,"M","WHERE_M_M","M_M","0","76.777","32",11.689999999999998,"40",-3.8800000000000026,"48",14.39,"Neither agree nor disagree",0,"0","1","1",7
"18/09/2021 10:55","18/09/2021 11:30","IP Address","83.26.165.201","100","2092","True","18/09/2021 11:30","R_2rkiBfyuZ2Mzq4V","50.27960205","18.998703","anonymous","EN",39,"engine temperature","wiper on","heating on gte 1","h0v0",13,"hard","H","M","E","WHERE",22.38,21.55,58.52,-1,467,"E","WHERE_E_H","E_H","1","91.104","9",13.379999999999999,"10",11.55,"53",5.520000000000003,"Agree",0,"1","1","3",8
"18/09/2021 10:58","18/09/2021 11:33","IP Address","187.190.184.26","100","2105","True","18/09/2021 11:33","R_3kFFjpEFHiSdd7U","19.43539429","-99.1427002","anonymous","EN",32,"suspension force","radio on","engine temperature gte 43.71","h0v0",5,"easy","E","M","M","WHAT_Qn",53.33,34.69,14.83,-1,254,"E","WHAT_Qn_E_E","E_E","5","70.293","61",-7.670000000000002,"52",-17.310000000000002,"34",-19.17,"Agree",0,"4","4","4",9
