StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","radio on gte 1","h0v0",2,"easy","H","H","H","WHAT_Qn",54.44,56.78,75.65,1,270,"H","WHAT_Qn_H_E","H_E","3","85.629","60",-5.560000000000002,"64",-7.219999999999999,"77",-1.3499999999999943,"Neither agree nor disagree",0,"3","3","4",0
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"hard","M","M","M","WHAT_Qn",61.74,64.01,40.4,1,8432,"M","WHAT_Qn_M_H","M_H","3","82.043","45",16.740000000000002,"45",19.010000000000005,"39",1.3999999999999986,"Neither agree nor disagree",0,"2","2","3",1
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Ql",5.84,78.73,12.38,1,271,"E","WHAT_Ql_E_E","E_E","3","127.06","9",-3.16,"78",0.730000000000004,"10",2.380000000000001,"Disagree",0,"3","4","2",2
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",7,"medium","H","H","H","WHAT_Ql",4.72,20.17,23.39,-1,378,"H","WHAT_Ql_H_M","H_M","2","67.202","6",-1.2800000000000002,"25",-4.829999999999998,"24",-0.6099999999999994,"Neither agree nor disagree",0,"4","2","3",3
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",14,"hard","E","E","E","WHAT_Ql",28.97,78.73,49.76,-1,433,"E","WHAT_Ql_E_H","E_H","2","80.549","28",0.9699999999999989,"78",0.730000000000004,"51",-1.240000000000002,"Neither agree nor disagree",0,"3","4","3",4
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",4,"suspension force","gps on","heating on gte 1","h0v0",3,"easy","H","E","E","WHAT_Ql",21.37,33.52,72.94,-1,304,"E","WHAT_Ql_E_E","E_E","2","156.185","26",-4.629999999999999,"33",0.5200000000000031,"64",8.939999999999998,"Neither agree nor disagree",0,"3","3","3",5
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","E","E","WHAT_Qn",37.36,42.6,15.75,1,379,"E","WHAT_Qn_E_M","E_M","2","94.533","36",1.3599999999999994,"45",-2.3999999999999986,"24",-8.25,"Neither agree nor disagree",0,"2","2","2",6
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",13,"hard","H","H","H","WHAT_Ql",18.66,20.17,66.09,-1,486,"H","WHAT_Ql_H_H","H_H","2","108.011","21",-2.34,"27",-6.829999999999998,"60",6.090000000000003,"Neither agree nor disagree",0,"2","2","3",7
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",59,"electricity consumption","radio on","engine temperature gte 18.23","h0v0",4,"easy","M","M","M","WHAT_Ql",5.12,15.58,27.02,-1,8277,"M","WHAT_Ql_M_E","M_E","5","220.215","24",-18.88,"36",-20.42,"80",-52.980000000000004,"Disagree",1,"5","5","5",8
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",59,"electricity consumption","radio on","engine temperature gte 18.23","h0v0",4,"easy","M","M","M","WHAT_Ql",5.12,15.58,27.02,-1,8297,"M","WHAT_Ql_M_E","M_E","5","183.711","25",-19.88,"60",-44.42,"70",-42.980000000000004,"Disagree",1,"5","5","5",9
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",10,"medium","M","M","M","WHAT_Ql",5.32,15.58,53.05,1,8352,"M","WHAT_Ql_M_M","M_M","5","121.471","70",-64.68,"60",-44.42,"80",-26.950000000000003,"Neither agree nor disagree",0,"5","5","5",10
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",13,"hard","H","H","H","WHAT_Ql",9.22,20.17,61.15,-1,459,"H","WHAT_Ql_H_H","H_H","5","191.551","70",-60.78,"70",-49.83,"70",-8.850000000000001,"Agree",0,"5","5","5",11
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Qn",47.05,42.6,14.24,1,298,"E","WHAT_Qn_E_E","E_E","5","180.159","85",-37.95,"25",17.6,"80",-65.76,"Agree",1,"5","5","5",12
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",8,"hard","M","M","M","WHAT_Qn",64.46,64.01,47.67,1,8412,"M","WHAT_Qn_M_H","M_H","5","135.286","100",-35.540000000000006,"60",4.010000000000005,"48",-0.3299999999999983,"Disagree",0,"5","5","4",13
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Qn",47.05,42.6,14.24,1,244,"E","WHAT_Qn_E_E","E_E","5","208.577","38",9.049999999999997,"39",3.6000000000000014,"14",0.2400000000000002,"Agree",1,"3","3","4",14
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",3,"medium","H","H","H","WHAT_Qn",54.46,56.78,59.42,1,351,"H","WHAT_Qn_H_M","H_M","3","317.726","53",1.4600000000000009,"86",-29.22,"31",28.42,"Agree",1,"3","3","4",15
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",4,"easy","E","H","E","WHAT_Ql",49.99,71.6,65.02,1,273,"H","WHAT_Ql_H_E","H_E","5","227.426","54",-4.009999999999998,"68",3.5999999999999943,"57",8.019999999999996,"Disagree",0,"4","4","4",16
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",13,"hard","E","H","E","WHAT_Ql",44.85,71.6,60.9,1,435,"H","WHAT_Ql_H_H","H_H","4","228.056","37",7.850000000000001,"72",-0.4000000000000057,"54",6.899999999999999,"Agree",1,"3","4","3",17
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",67,"electricity consumption","wiper on","radio on gte 1","h0v0",2,"easy","H","H","H","WHAT_Ql",18.24,20.17,77.25,-1,324,"H","WHAT_Ql_H_E","H_E","5","323.764","20",-1.7600000000000016,"20",0.1700000000000017,"76",1.25,"Disagree",1,"4","4","5",18
"19/09/2021 14:24","19/09/2021 15:20","IP Address","41.115.23.46","100","3363","True","19/09/2021 15:20","R_2V1Mqgmr22Mvc9W","-29.85560608","31.04490662","anonymous","EN",29,"engine temperature","radio on","heating on gte 1","h0v0",4,"medium","E","H","E","WHAT_Qn",37.28,34.69,59.62,1,381,"E","WHAT_Qn_E_M","E_M","4","208.705","23",14.280000000000001,"53",-18.310000000000002,"42",17.619999999999997,"Agree",1,"3","3","4",19
"20/09/2021 07:24","20/09/2021 07:42","IP Address","187.213.23.167","100","1033","True","20/09/2021 07:42","R_vHW2LOvB2Eyp7sR","20.63259888","-103.4122009","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",4,"easy","E","H","E","WHAT_Qn",31.48,34.69,64.97,1,246,"E","WHAT_Qn_E_E","E_E","5","55.343","29",2.4800000000000004,"40",-5.310000000000002,"55",9.969999999999999,"Disagree",0,"4","4","4",20
"20/09/2021 07:24","20/09/2021 07:42","IP Address","187.213.23.167","100","1033","True","20/09/2021 07:42","R_vHW2LOvB2Eyp7sR","20.63259888","-103.4122009","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",8,"hard","H","E","E","WHAT_Ql",9.99,33.52,41.96,1,439,"E","WHAT_Ql_E_H","E_H","5","99.765","11",-1.0099999999999998,"29",4.520000000000003,"47",-5.039999999999999,"Agree",1,"5","4","4",21
"20/09/2021 07:24","20/09/2021 07:42","IP Address","187.213.23.167","100","1033","True","20/09/2021 07:42","R_vHW2LOvB2Eyp7sR","20.63259888","-103.4122009","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",10,"medium","M","M","M","WHAT_Qn",59.43,64.01,68.02,-1,8327,"M","WHAT_Qn_M_M","M_M","3","59.192","40",19.43,"49",15.010000000000005,"38",30.019999999999996,"Disagree",1,"5","5","4",22
"20/09/2021 07:24","20/09/2021 07:42","IP Address","187.213.23.167","100","1033","True","20/09/2021 07:42","R_vHW2LOvB2Eyp7sR","20.63259888","-103.4122009","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",7,"medium","H","H","H","WHAT_Ql",7.08,20.17,30.9,-1,405,"H","WHAT_Ql_H_M","H_M","3","54.487","8",-0.9199999999999999,"23",-2.8299999999999983,"32",-1.1000000000000014,"Agree",0,"5","5","5",23
"20/09/2021 07:25","20/09/2021 07:53","IP Address","169.0.82.233","100","1708","True","20/09/2021 07:53","R_1LhCgQWLnAhXK7j","-25.97659302","28.11439514","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Qn",47.05,42.6,14.24,1,244,"E","WHAT_Qn_E_E","E_E","1","130.862","34",13.049999999999997,"25",17.6,"17",-2.76,"Neither agree nor disagree",0,"0","0","0",24
"20/09/2021 07:25","20/09/2021 07:53","IP Address","169.0.82.233","100","1708","True","20/09/2021 07:53","R_1LhCgQWLnAhXK7j","-25.97659302","28.11439514","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",14,"hard","E","H","E","WHAT_Qn",39.8,34.69,51.06,1,408,"E","WHAT_Qn_E_H","E_H","1","169.743","24",15.799999999999997,"34",0.6899999999999977,"48",3.0600000000000023,"Disagree",0,"0","0","0",25
"20/09/2021 07:25","20/09/2021 07:53","IP Address","169.0.82.233","100","1708","True","20/09/2021 07:53","R_1LhCgQWLnAhXK7j","-25.97659302","28.11439514","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",6,"medium","H","E","E","WHAT_Ql",5.09,33.52,37.05,1,358,"E","WHAT_Ql_E_M","E_M","0","86.687","25",-19.91,"32",1.5200000000000031,"45",-7.950000000000003,"Neither agree nor disagree",0,"0","1","0",26
"20/09/2021 07:25","20/09/2021 07:53","IP Address","169.0.82.233","100","1708","True","20/09/2021 07:53","R_1LhCgQWLnAhXK7j","-25.97659302","28.11439514","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",13,"hard","E","H","E","WHAT_Ql",44.85,71.6,60.9,1,435,"H","WHAT_Ql_H_H","H_H","1","111.238","55",-10.149999999999999,"65",6.599999999999994,"54",6.899999999999999,"Neither agree nor disagree",0,"1","1","1",27
