StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion,scaling
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,67,electricity consumption,wiper on,radio on gte 1,h0v0,2,easy,H,H,H,WHAT_Qn,54.44,56.78,75.65,1,270,H,WHAT_Qn_H_E,H_E,3,85.629,60,-5.56,64,-7.22,77,-1.35,Neither agree nor disagree,0,3,3,4,0,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,hard,M,M,M,WHAT_Qn,61.74,64.01,40.4,1,8432,M,WHAT_Qn_M_H,M_H,3,82.043,45,16.74,45,19.01,39,1.4,Neither agree nor disagree,0,2,2,3,1,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,1,electricity consumption,gps on,radio on gte 1,h0v0,4,easy,E,E,E,WHAT_Ql,5.84,78.73,12.38,1,271,E,WHAT_Ql_E_E,E_E,3,127.06,9,-3.16,78,0.73,10,2.38,Disagree,0,3,4,2,2,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,67,electricity consumption,wiper on,heating on gte 1,h0v0,7,medium,H,H,H,WHAT_Ql,4.72,20.17,23.39,-1,378,H,WHAT_Ql_H_M,H_M,2,67.202,6,-1.28,25,-4.83,24,-0.61,Neither agree nor disagree,0,4,2,3,3,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,14,hard,E,E,E,WHAT_Ql,28.97,78.73,49.76,-1,433,E,WHAT_Ql_E_H,E_H,2,80.549,28,0.97,78,0.73,51,-1.24,Neither agree nor disagree,0,3,4,3,4,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,4,suspension force,gps on,heating on gte 1,h0v0,3,easy,H,E,E,WHAT_Ql,21.37,33.52,72.94,-1,304,E,WHAT_Ql_E_E,E_E,2,156.185,26,-4.63,33,0.52,64,8.94,Neither agree nor disagree,0,3,3,3,5,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,6,medium,E,E,E,WHAT_Qn,37.36,42.6,15.75,1,379,E,WHAT_Qn_E_M,E_M,2,94.533,36,1.36,45,-2.4,24,-8.25,Neither agree nor disagree,0,2,2,2,6,2
19/09/2021 14:26,19/09/2021 14:48,IP Address,98.128.175.226,100,1275,True,19/09/2021 14:48,R_2e8WZWae7OEANGc,57.70649719,11.96699524,anonymous,EN,67,electricity consumption,wiper on,heating on gte 1,h0v0,13,hard,H,H,H,WHAT_Ql,18.66,20.17,66.09,-1,486,H,WHAT_Ql_H_H,H_H,2,108.011,21,-2.34,27,-6.83,60,6.09,Neither agree nor disagree,0,2,2,3,7,2
19/09/2021 14:23,19/09/2021 14:57,IP Address,189.242.201.89,100,2042,True,19/09/2021 14:57,R_10JL9uUzJINBpv0,19.28799438,-99.00509644,anonymous,EN,59,electricity consumption,radio on,engine temperature gte 18.23,h0v0,4,easy,M,M,M,WHAT_Ql,5.12,15.58,27.02,-1,8277,M,WHAT_Ql_M_E,M_E,5,220.215,24,-18.88,36,-20.42,80,-52.98,Disagree,1,5,5,5,8,2
19/09/2021 14:23,19/09/2021 14:57,IP Address,189.242.201.89,100,2042,True,19/09/2021 14:57,R_10JL9uUzJINBpv0,19.28799438,-99.00509644,anonymous,EN,59,electricity consumption,radio on,engine temperature gte 18.23,h0v0,4,easy,M,M,M,WHAT_Ql,5.12,15.58,27.02,-1,8297,M,WHAT_Ql_M_E,M_E,5,183.711,25,-19.88,60,-44.42,70,-42.98,Disagree,1,5,5,5,9,2
