StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","M","M","WHAT_Qn",66.66,64.01,12.5,-1,250,"M","WHAT_Qn_M_M","M_M","2","202.411","70",-3.3400000000000034,"68",-3.989999999999995,"15",-2.5,"Disagree",1,"1","1","2",0
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","E","H","WHAT_Qn",48.07,56.78,23.82,1,351,"H","WHAT_Qn_H_H","H_H","0","171.263","47",1.0700000000000003,"55",1.7800000000000011,"27",-3.1799999999999997,"Neither agree nor disagree",0,"1","1","1",1
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",9,"hard","H","E","E","WHAT_Qn",73.21,76.69,16.62,-1,432,"H","WHAT_Qn_H_H","H_H","1","212.85","73",0.20999999999999375,"73",3.6899999999999977,"17",-0.379999999999999,"Disagree",1,"1","1","1",2
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","E","M","WHAT_Ql",5.52,14,38.06,-1,283,"E","WHAT_Ql_E_M","E_M","3","291.346","4",1.5199999999999996,"17",-3,"34",4.060000000000002,"Agree",0,"3","2","2",3
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","H","M","H","WHAT_Ql",5.15,20.17,38.19,1,352,"M","WHAT_Ql_M_E","M_E","3","129.579","4",1.1500000000000004,"21",-0.8299999999999983,"37",1.1899999999999977,"Disagree",0,"2","1","1",4
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","H","E","WHAT_Ql",34.11,88.08,35.51,1,439,"H","WHAT_Ql_H_M","H_M","2","279.554","34",0.10999999999999943,"87",1.0799999999999983,"35",0.509999999999998,"Disagree",0,"3","2","3",5
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","M","H","WHERE",27.96,25.28,25.19,-1,310,"H","WHERE_H_M","H_M","1","133.499","40",-12.04,"30",-4.719999999999999,"35",-9.809999999999999,"Neither agree nor disagree",0,"1","0","1",6
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","M","E","WHERE",13.46,15.53,13.37,-1,379,"E","WHERE_E_E","E_E","2","163.182","10",3.460000000000001,"25",-9.47,"20",-6.630000000000001,"Neither agree nor disagree",0,"2","0","1",7
"15/11/2021 03:19","15/11/2021 04:00","IP Address","68.48.149.184","100","2471","True","15/11/2021 04:00","R_pgYt2Q9MKcDDhRv","43.01010132","-85.75930023","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","E","H","WHERE",25.62,25.28,21.25,1,486,"H","WHERE_H_H","H_H","1","349.966","25",0.620000000000001,"20",5.280000000000001,"30",-8.75,"Neither agree nor disagree",0,"1","1","2",8
"15/11/2021 04:19","15/11/2021 04:35","IP Address","31.51.140.227","100","946","True","15/11/2021 04:35","R_2zdMWAKrP7ECpUn","51.61149597","-0.249603271","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","H","M","H","WHAT_Qn",52.06,56.78,19.63,1,246,"H","WHAT_Qn_H_E","H_E","2","49.418","50",2.0600000000000023,"50",6.780000000000001,"21",-1.370000000000001,"Disagree",0,"2","2","2",9
