StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,medium,M,M,M,WHAT_Qn,66.66,64.01,12.5,-1,250,M,WHAT_Qn_M_M,M_M,2,202.411,70,-3.34,1.792855352,68,-3.99,2.040892431,15,-2.5,1.392317423,Disagree,1,1,1,2,0
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,9,hard,H,E,H,WHAT_Qn,48.07,56.78,23.82,1,351,H,WHAT_Qn_H_H,H_H,0,171.263,47,1.07,0.257010618,55,1.78,0.929790998,27,-3.18,1.724650272,Neither agree nor disagree,0,1,1,1,1
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,9,hard,H,E,E,WHAT_Qn,73.21,76.69,16.62,-1,432,H,WHAT_Qn_H_H,H_H,1,212.85,73,0.21,-1.577766999,73,3.69,1.931683057,17,-0.38,-0.985644707,Disagree,1,1,1,1,2
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,medium,M,E,M,WHAT_Ql,5.52,14,38.06,-1,283,E,WHAT_Ql_E_M,E_M,3,291.346,4,1.52,0.718087584,17,-3,1.64385619,34,4.06,2.065227623,Agree,0,3,2,2,3
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,3,easy,H,M,H,WHAT_Ql,5.15,20.17,38.19,1,352,M,WHAT_Ql_M_E,M_E,3,129.579,4,1.15,0.350497247,21,-0.83,-0.066427362,37,1.19,0.3950628,Disagree,0,2,1,1,4
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,6,medium,E,H,E,WHAT_Ql,34.11,88.08,35.51,1,439,H,WHAT_Ql_H_M,H_M,2,279.554,34,0.11,-2.089267338,87,1.08,0.269033146,35,0.51,-0.655171503,Disagree,0,3,2,3,5
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,6,medium,H,M,H,WHERE,27.96,25.28,25.19,-1,310,H,WHERE_H_M,H_M,1,133.499,40,-12.04,3.604664415,30,-4.72,2.276496666,35,-9.81,3.312519967,Neither agree nor disagree,0,1,0,1,6
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,3,easy,E,M,E,WHERE,13.46,15.53,13.37,-1,379,E,WHERE_E_E,E_E,2,163.182,10,3.46,1.841973119,25,-9.47,3.262282806,20,-6.63,2.75595577,Neither agree nor disagree,0,2,0,1,7
15/11/2021 03:19,15/11/2021 04:00,IP Address,68.48.149.184,100,2471,True,15/11/2021 04:00,R_pgYt2Q9MKcDDhRv,43.01010132,-85.75930023,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,9,hard,H,E,H,WHERE,25.62,25.28,21.25,1,486,H,WHERE_H_H,H_H,1,349.966,25,0.62,-0.424687669,20,5.28,2.434294618,30,-8.75,3.14974712,Neither agree nor disagree,0,1,1,2,8
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,3,easy,H,M,H,WHAT_Qn,52.06,56.78,19.63,1,246,H,WHAT_Qn_H_E,H_E,2,49.418,50,2.06,1.12763328,50,6.78,2.787641414,21,-1.37,0.580145484,Disagree,0,2,2,2,9
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,6,medium,E,H,E,WHAT_Qn,30.71,34.69,22.19,1,331,E,WHAT_Qn_E_M,E_M,1,55.067,35,-4.29,2.142413438,53,-18.31,4.204375511,30,-7.81,2.988230223,Neither agree nor disagree,0,0,1,1,10
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,8,hard,M,M,M,WHAT_Qn,71.72,64.01,22.38,1,418,M,WHAT_Qn_M_H,M_H,2,56.287,62,9.72,3.299391206,86,-21.99,4.466953337,18,4.38,2.171527106,Disagree,0,1,1,2,11
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,3,easy,E,E,E,WHAT_Ql,0,24.27,36,1,271,E,WHAT_Ql_E_E,E_E,2,54.8,69,-69,6.11113567,24,0.27,-1.340075442,41,-5,2.357552005,Neither agree nor disagree,0,1,1,2,12
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,8,hard,E,H,E,WHAT_Ql,19.95,109.46,21.19,1,364,H,WHAT_Ql_H_H,H_H,1,197.707,77,-57.05,5.837312556,71,38.46,5.269968201,17,4.19,2.109360559,Agree,1,1,1,1,13
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,6,medium,E,H,E,WHAT_Ql,25.92,71.6,37.24,1,435,H,WHAT_Ql_H_M,H_M,2,128.455,40,-14.08,3.828326926,81,-9.4,3.251719093,30,7.24,2.880685525,Disagree,0,3,3,3,14
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,6,medium,E,M,E,WHERE,14.04,15.53,18.54,1,304,E,WHERE_E_M,E_M,3,50.149,13,1.04,0.220329955,8,7.53,2.936402378,14,4.54,2.221877081,Agree,1,1,1,2,15
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,3,easy,H,E,H,WHERE,16.29,25.28,34.9,-1,381,H,WHERE_H_E,H_E,1,58.856,6,10.29,3.380590934,11,14.28,3.848497755,40,-5.1,2.385431037,Neither agree nor disagree,0,1,1,1,16
15/11/2021 04:19,15/11/2021 04:35,IP Address,31.51.140.227,100,946,True,15/11/2021 04:35,R_2zdMWAKrP7ECpUn,51.61149597,-0.249603271,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,9,hard,E,M,E,WHERE,13.19,15.53,33.13,1,472,E,WHERE_E_H,E_H,1,52.487,10,3.19,1.72900887,10,5.53,2.499527024,34,-0.87,-0.007231569,Agree,1,1,1,1,17
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,3,easy,E,E,E,WHAT_Qn,51.75,42.6,34.84,1,244,E,WHAT_Qn_E_E,E_E,3,117.79,58,-6.25,2.672425342,45,-2.4,1.336283388,33,1.84,0.974529312,Neither agree nor disagree,0,3,1,3,18
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,9,hard,E,M,E,WHAT_Qn,46.44,42.6,28.48,-1,337,E,WHAT_Qn_E_H,E_H,3,112.176,50,-3.56,1.881664619,37,5.6,2.517275693,23,5.48,2.486714373,Agree,0,3,2,3,19
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,3,easy,E,E,E,WHAT_Qn,35.04,34.69,12.03,-1,406,E,WHAT_Qn_E_E,E_E,2,55.548,37,-1.96,1.060047384,44,-9.31,3.238022518,10,2.03,1.107687869,Disagree,1,2,1,3,20
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,9,hard,H,E,E,WHAT_Ql,4.31,33.52,18.23,1,297,E,WHAT_Ql_E_H,E_H,4,106.924,5,-0.69,-0.295128036,34,-0.48,-0.724992953,22,-3.77,1.961623328,Agree,1,4,4,2,21
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,9,hard,E,M,E,WHAT_Ql,29.67,84.11,35.04,1,378,M,WHAT_Ql_M_H,M_H,4,164.342,34,-4.33,2.155425432,85,-0.89,0.021479727,33,2.04,1.114367025,Agree,1,3,4,2,22
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,3,easy,H,M,E,WHAT_Ql,17.84,52.74,33.33,-1,433,M,WHAT_Ql_M_E,M_E,3,99.927,15,2.84,1.568032105,55,-2.26,1.253989266,9,24.33,4.61205756,Neither agree nor disagree,0,2,4,1,23
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,8,hard,M,E,M,WHERE,36.12,38.08,18.65,1,324,M,WHERE_M_H,M_H,0,88.207,10,26.12,4.713970692,60,-21.92,4.462379572,12,6.65,2.760220946,Neither agree nor disagree,0,2,2,0,24
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,9,hard,H,M,E,WHERE,22.92,19.96,16.93,-1,391,E,WHERE_E_H,E_H,2,52.834,7,15.92,4.004051885,36,-16.04,4.014801602,11,5.93,2.59812696,Disagree,1,0,3,0,25
15/11/2021 04:18,15/11/2021 04:40,IP Address,86.4.224.122,100,1320,True,15/11/2021 04:40,R_3D6zIPM3ZLUl4wa,54.96629333,-1.609298706,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,6,medium,E,H,E,WHERE,11.85,14.86,31.36,-1,466,E,WHERE_E_M,E_M,1,54.723,16,-4.15,2.09592442,34,-19.14,4.267910281,24,7.36,2.904002316,Agree,0,1,0,2,26
15/11/2021 04:31,15/11/2021 04:49,IP Address,81.109.109.110,100,1063,True,15/11/2021 04:49,R_PCiqOW03OuhyR1v,54.53959656,-5.975006104,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,9,hard,E,E,E,WHAT_Qn,27.13,34.69,24.33,-1,270,E,WHAT_Qn_E_H,E_H,3,51.6,36,-8.87,3.169123281,34,0.69,-0.295128036,48,-23.67,4.572586549,Neither agree nor disagree,0,3,3,3,27
