StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion,flip
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,64,engine temperature,gps on,wiper on gte 1,h1v1,9,hard,E,E,H,WHAT_Qn,26.92,24.93,16.61,-1,20,E,WHAT_Qn_E_H,E_H,0,23.024,21,5.92,29,-4.07,43,-26.39,Neither agree nor disagree,0,0,0,0,0,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,22,electricity consumption,radio on,wiper on gte 1,h1v1,9,hard,M,H,M,WHAT_Qn,74.9,77.48,19.35,1,106,M,WHAT_Qn_M_H,M_H,1,30.699,35,39.9,40,37.48,7,12.35,Neither agree nor disagree,0,2,1,0,1,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h1v1,6,medium,H,E,E,WHAT_Qn,77.78,76.69,39.5,1,180,H,WHAT_Qn_H_M,H_M,2,40.695,77,0.78,52,24.69,37,2.5,Neither agree nor disagree,0,1,2,4,2,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,38,electricity consumption,wiper on,gps on gte 1,h1v1,6,medium,M,E,H,WHAT_Ql,4.47,15.47,28,-1,41,E,WHAT_Ql_E_M,E_M,3,108.475,5,-0.53,14,1.47,40,-12,Agree,0,3,3,3,3,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,72,fuel consumption,gps on,wiper on gte 1,h1v1,9,hard,E,M,H,WHAT_Ql,10.42,24.51,33.01,-1,128,M,WHAT_Ql_M_H,M_H,0,40.369,10,0.42,19,5.51,16,17.01,Agree,0,1,2,1,4,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h1v1,9,hard,E,H,E,WHAT_Ql,9.46,71.6,13.58,1,216,H,WHAT_Ql_H_H,H_H,5,57.527,49,-39.54,78,-6.4,78,-64.42,Agree,1,4,3,4,5,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,39,engine temperature,wiper on,gps on gte 1,h1v1,6,medium,H,M,E,WHERE,13.48,15.73,30.1,1,70,E,WHERE_E_M,E_M,0,21.715,9,4.48,44,-28.27,30,0.1,Disagree,0,0,1,1,6,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,3,suspension force,radio on,wiper on gte 1,h1v1,6,medium,H,M,M,WHERE,42.27,38.25,27.16,1,151,M,WHERE_M_M,M_M,1,17.452,23,19.27,27,11.25,15,12.16,Neither agree nor disagree,0,0,0,0,7,nf
13/11/2021 18:59,13/11/2021 19:08,IP Address,174.109.117.242,100,557,True,13/11/2021 19:08,R_33mwnyRIuYR0imW,36.02290344,-78.9464035,anonymous,EN,6,suspension force,gps on,wiper on gte 1,h1v1,3,easy,H,E,H,WHERE,42.4,37.7,23.71,1,222,H,WHERE_H_E,H_E,0,11.185,17,25.4,49,-11.3,34,-10.29,Agree,1,1,1,0,8,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,32,suspension force,radio on,wiper on gte 1,h1v1,9,hard,E,M,M,WHAT_Qn,43.17,34.69,25.22,-1,22,E,WHAT_Qn_E_H,E_H,4,314.372,11,32.17,38,-3.31,25,0.22,Agree,0,3,2,4,9,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h1v1,3,easy,M,M,M,WHAT_Qn,69.83,64.01,26.45,1,85,M,WHAT_Qn_M_E,M_E,5,134.331,33,36.83,87,-22.99,46,-19.55,Disagree,0,3,2,5,10,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,39,engine temperature,wiper on,gps on gte 1,h1v1,6,medium,H,M,E,WHAT_Qn,66.14,64.93,33.33,-1,174,H,WHAT_Qn_H_M,H_M,5,91.653,32,34.14,86,-21.07,39,-5.67,Disagree,1,2,1,5,11,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,63,engine temperature,gps on,wiper on gte 1,h1v1,6,medium,E,E,M,WHAT_Ql,14.89,84.16,14.89,1,37,E,WHAT_Ql_E_M,E_M,4,146.721,98,-83.11,83,1.16,17,-2.11,Disagree,0,2,5,2,12,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,14,engine temperature,gps on,wiper on gte 1,h1v1,5,medium,M,M,E,WHAT_Ql,19.7,84.23,23.65,1,120,M,WHAT_Ql_M_M,M_M,5,133.204,95,-75.3,36,48.23,60,-36.35,Disagree,0,4,5,4,13,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,20,electricity consumption,radio on,wiper on gte 1,h1v1,8,hard,M,H,H,WHAT_Ql,14.35,65.7,19.13,-1,212,H,WHAT_Ql_H_H,H_H,4,187.77,82,-67.65,61,4.7,28,-8.87,Disagree,1,4,4,3,14,nf
13/11/2021 19:18,13/11/2021 20:07,IP Address,41.78.200.213,100,2922,True,13/11/2021 20:07,R_u31n1ywJGsxX52F,-26.38110352,27.83760071,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h1v1,9,hard,E,E,E,WHERE,16.3,15.53,21.88,1,81,E,WHERE_E_H,E_H,4,546.628,26,-9.7,46,-30.47,19,2.88,Neither agree nor disagree,0,2,0,4,15,nf
