StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",63,"engine temperature","gps on","wiper on gte 1","h0v0",3,"easy","E","E","M","WHAT_Qn",15.16,15.52,34.73,-1,244,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",0
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",64,"engine temperature","gps on","wiper on gte 1","h0v0",3,"easy","E","E","H","WHAT_Qn",27.44,24.93,10.2,1,245,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",1
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",68,"fuel consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","M","E","WHAT_Qn",46.74,43.35,18.81,1,246,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the wiper is  on? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The fuel consumption is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",2
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",32,"suspension force","radio on","wiper on gte 1","h0v0",3,"easy","E","M","M","WHAT_Qn",38.2,34.69,52.52,-1,247,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the wiper is  on? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The suspension force is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",3
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",72,"fuel consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","M","H","WHAT_Qn",78.8,77.48,29.47,-1,248,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the wiper is  on? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The fuel consumption is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",4
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",29,"engine temperature","radio on","wiper on gte 1","h0v0",3,"easy","E","H","E","WHAT_Qn",21.53,34.69,21.39,-1,249,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",5
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",54,"suspension force","radio on","wiper on gte 1","h0v0",3,"easy","E","H","M","WHAT_Qn",56.12,56.13,6.47,-1,250,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the wiper is  on? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The suspension force is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",6
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",34,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","E","H","H","WHAT_Qn",39.59,27.34,12.07,1,251,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the car is on a paved road? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The suspension force is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",7
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Qn",34.31,42.6,6.36,1,252,"E","WHAT_Qn_E_E","E_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",8
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",63,"engine temperature","gps on","wiper on gte 1","h0v0",6,"medium","E","E","M","WHAT_Qn",15.46,15.52,27.54,1,253,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the car is on a paved road? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The engine temperature is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",9
