StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",64,"engine temperature","gps on","wiper on gte 1","h1v1",9,"hard","E","E","H","WHAT_Qn",26.92,24.93,16.61,-1,20,"E","WHAT_Qn_E_H","E_H","0","23.024","21",5.920000000000002,2.5957423394743993,"29",-4.07,2.0686708106650986,"43",-26.39,4.728736843366021,"Neither agree nor disagree",0,"0","0","0",0
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",22,"electricity consumption","radio on","wiper on gte 1","h1v1",9,"hard","M","H","M","WHAT_Qn",74.9,77.48,19.35,1,106,"M","WHAT_Qn_M_H","M_H","1","30.699","35",39.900000000000006,5.322829497628895,"40",37.480000000000004,5.232852591780371,"7",12.350000000000001,3.6409679104498984,"Neither agree nor disagree",0,"2","1","0",1
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h1v1",6,"medium","H","E","E","WHAT_Qn",77.78,76.69,39.5,1,180,"H","WHAT_Qn_H_M","H_M","2","40.695","77",0.7800000000000011,-0.14401030269151752,"52",24.689999999999998,4.633140549522396,"37",2.5,1.3923174227787602,"Neither agree nor disagree",0,"1","2","4",2
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",38,"electricity consumption","wiper on","gps on gte 1","h1v1",6,"medium","M","E","H","WHAT_Ql",4.47,15.47,28,-1,41,"E","WHAT_Ql_E_M","E_M","3","108.475","5",-0.5300000000000002,-0.6104331882372739,"14",1.4700000000000006,0.6735564239901453,"40",-12,3.599912842187128,"Agree",0,"3","3","3",3
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",72,"fuel consumption","gps on","wiper on gte 1","h1v1",9,"hard","E","M","H","WHAT_Ql",10.42,24.51,33.01,-1,128,"M","WHAT_Ql_M_H","M_H","0","40.369","10",0.41999999999999993,-0.8756718649977985,"19",5.510000000000002,2.4944156103974966,"16",17.009999999999998,4.09887428674445,"Agree",0,"1","2","1",4
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h1v1",9,"hard","E","H","E","WHAT_Ql",9.46,71.6,13.58,1,216,"H","WHAT_Ql_H_H","H_H","5","57.527","49",-39.54,5.309794643874583,"78",-6.400000000000006,2.7059779016825236,"78",-64.42,6.012233435894742,"Agree",1,"4","3","4",5
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",39,"engine temperature","wiper on","gps on gte 1","h1v1",6,"medium","H","M","E","WHERE",13.48,15.73,30.1,1,70,"E","WHERE_E_M","E_M","0","21.715","9",4.48,2.203201156316611,"44",-28.27,4.827565006650136,"30",0.10000000000000142,-2.1520030934450407,"Disagree",0,"0","1","1",6
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",3,"suspension force","radio on","wiper on gte 1","h1v1",6,"medium","H","M","M","WHERE",42.27,38.25,27.16,1,151,"M","WHERE_M_M","M_M","1","17.452","23",19.270000000000003,4.277612870756686,"27",11.25,3.5077946401986964,"15",12.16,3.61882595258744,"Neither agree nor disagree",0,"0","0","0",7
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",6,"suspension force","gps on","wiper on gte 1","h1v1",3,"easy","H","E","H","WHERE",42.4,37.7,23.71,1,222,"H","WHERE_H_E","H_E","0","11.185","17",25.4,4.673839055990439,"49",-11.299999999999997,3.514122260170707,"34",-10.29,3.380590934265922,"Agree",1,"1","1","0",8
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",32,"suspension force","radio on","wiper on gte 1","h1v1",9,"hard","E","M","M","WHAT_Qn",43.17,34.69,25.22,-1,22,"E","WHAT_Qn_E_H","E_H","4","314.372","11",32.17,5.013238915113665,"38",-3.3100000000000023,1.7803100990433764,"25",0.21999999999999886,-1.5353317329965603,"Agree",0,"3","2","4",9
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h1v1",3,"easy","M","M","M","WHAT_Qn",69.83,64.01,26.45,1,85,"M","WHAT_Qn_M_E","M_E","5","134.331","33",36.83,5.207697668655053,"87",-22.989999999999995,4.530757457461217,"46",-19.55,4.298291730620124,"Disagree",0,"3","2","5",10
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",39,"engine temperature","wiper on","gps on gte 1","h1v1",6,"medium","H","M","E","WHAT_Qn",66.14,64.93,33.33,-1,174,"H","WHAT_Qn_H_M","H_M","5","91.653","32",34.14,5.098663781886574,"86",-21.069999999999993,4.40565206128037,"39",-5.670000000000002,2.5348086612317475,"Disagree",1,"2","1","5",11
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",63,"engine temperature","gps on","wiper on gte 1","h1v1",6,"medium","E","E","M","WHAT_Ql",14.89,84.16,14.89,1,37,"E","WHAT_Ql_E_M","E_M","4","146.721","98",-83.11,6.379118398597563,"83",1.1599999999999966,0.3617683594191496,"17",-2.1099999999999994,1.1602748314085927,"Disagree",0,"2","5","2",12
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",14,"engine temperature","gps on","wiper on gte 1","h1v1",5,"medium","M","M","E","WHAT_Ql",19.7,84.23,23.65,1,120,"M","WHAT_Ql_M_M","M_M","5","133.204","95",-75.3,6.23697088625934,"36",48.230000000000004,5.595593169744556,"60",-36.35,5.1888360730305285,"Disagree",0,"4","5","4",13
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",20,"electricity consumption","radio on","wiper on gte 1","h1v1",8,"hard","M","H","H","WHAT_Ql",14.35,65.7,19.13,-1,212,"H","WHAT_Ql_H_H","H_H","4","187.77","82",-67.65,6.082681302950349,"61",4.700000000000003,2.270528942380719,"28",-8.870000000000001,3.169123281476758,"Disagree",1,"4","4","3",14
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",9,"hard","E","E","E","WHERE",16.3,15.53,21.88,1,81,"E","WHERE_E_H","E_H","4","546.628","26",-9.7,3.296457407371244,"46",-30.47,4.935223994060032,"19",2.879999999999999,1.5873649909364602,"Neither agree nor disagree",0,"2","0","4",15
"13/11/2021 19:18","13/11/2021 20:07","IP Address","41.78.200.213","100","2922","True","13/11/2021 20:07","R_u31n1ywJGsxX52F","-26.38110352","27.83760071","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h1v1",9,"hard","M","M","M","WHERE",32.93,38.08,36.44,1,157,"M","WHERE_M_H","M_H","3","109.583","36",-3.0700000000000003,1.6758159311722698,"52",-13.920000000000002,3.811984719351674,"22",14.439999999999998,3.8644337963656237,"Neither agree nor disagree",0,"1","0","4",16
