ResponseId,Progress,RecordedDate,StartDate,EndDate,Finished,Duration_in_seconds,filename,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA,bslnB,cntrQ,FirstClick,LastClick,PageSubmit
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc69-eG-rO-qry_fC_gte_97.25-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_t_t-cntrQ_247",69,"engine temperature","radio on","fuel consumption gte 97.25","h0v0",3,"easy","H","M","H","WHAT_Qn",1,1,247,"0","0","22.169"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc6-sF-gO-qry_eT_gte_79.40-flips_h0v0-nMasks_6-dMask_medium-dCmplx_EEM-fcs_WHAT_Qn-bsln_f_f-cntrQ_349",6,"suspension force","gps on","engine temperature gte 79.40","h0v0",6,"medium","E","E","M","WHAT_Qn",-1,-1,349,"0","0","32"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc34-sF-gO-qry_eT_gte_86.22-flips_h0v0-nMasks_9-dMask_hard-dCmplx_MMM-fcs_WHAT_Qn-bsln_t_f-cntrQ_426",34,"suspension force","gps on","engine temperature gte 86.22","h0v0",9,"hard","M","M","M","WHAT_Qn",1,-1,426,"0","0","69.988"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc39-eG-wO-qry_fC_gte_98.05-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EHE-fcs_WHAT_Ql-bsln_t_t-cntrQ_278",39,"engine temperature","wiper on","fuel consumption gte 98.05","h0v0",2,"easy","E","H","E","WHAT_Ql",1,1,278,"0","0","32.783"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc22-eC-rO-qry_gO_gte_1-flips_h0v0-nMasks_5-dMask_medium-dCmplx_EMH-fcs_WHAT_Ql-bsln_t_t-cntrQ_366",22,"electricity consumption","radio on","gps on gte 1","h0v0",5,"medium","E","M","H","WHAT_Ql",1,1,366,"0","0","38.457"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc33-eG-gO-qry_fC_gte_98.14-flips_h0v0-nMasks_8-dMask_hard-dCmplx_MME-fcs_WHAT_Ql-bsln_t_t-cntrQ_441",33,"engine temperature","gps on","fuel consumption gte 98.14","h0v0",8,"hard","M","M","E","WHAT_Ql",1,1,441,"0","0","33.051"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc2-sF-wO-qry_gO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_f_f-cntrQ_315",2,"suspension force","wiper on","gps on gte 1","h0v0",3,"easy","E","E","E","WHERE",-1,-1,315,"0","0","22.997"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc33-eG-gO-qry_rO_gte_1-flips_h0v0-nMasks_6-dMask_medium-dCmplx_MME-fcs_WHERE-bsln_t_t-cntrQ_387",33,"engine temperature","gps on","radio on gte 1","h0v0",6,"medium","M","M","E","WHERE",1,1,387,"0","0","17.851"
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc33-eG-gO-qry_fC_gte_98.14-flips_h0v0-nMasks_8-dMask_hard-dCmplx_MME-fcs_WHERE-bsln_f_t-cntrQ_468",33,"engine temperature","gps on","fuel consumption gte 98.14","h0v0",8,"hard","M","M","E","WHERE",-1,1,468,"61.1","61.1","75.982"
"R_wZanjSwZmUNUpvX","100","10/04/2021 07:36","10/04/2021 07:29","10/04/2021 07:36","True","429","idc4-sF-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_t_f-cntrQ_250",4,"suspension force","gps on","radio on gte 1","h0v0",3,"easy","E","E","E","WHAT_Qn",1,-1,250,"0","0","20.373"
