ResponseId,Progress,RecordedDate,StartDate,EndDate,Finished,Duration_in_seconds,filename,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,answerA1,answerA2,answerA3,trustA,answerB,trustB,diffA1,diffA2,diffA3,correctB
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc39-eG-wO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HME-fcs_WHAT_Qn-bsln_55.60)52.51)28.33_t-cntrQ_251",39,"engine temperature","wiper on","radio on gte 1","h0v0",4,"easy","H","M","E","WHAT_Qn",55.6,52.51,28.33,1,251,null,null,null,3,"5",1,68,25,1,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc64-eG-gO-qry_fC_gte_105.44-flips_h0v0-nMasks_7-dMask_medium-dCmplx_EEH-fcs_WHAT_Qn-bsln_47.35)51.26)22.15_t-cntrQ_343",64,"engine temperature","gps on","fuel consumption gte 105.44","h0v0",7,"medium","E","E","H","WHAT_Qn",47.35,51.26,22.15,1,343,null,null,null,1,"3",0,83,7,16,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc20-eC-rO-qry_wO_gte_1-flips_h0v0-nMasks_11-dMask_hard-dCmplx_MHH-fcs_WHAT_Qn-bsln_58.43)57.57)44.53_f-cntrQ_429",20,"electricity consumption","radio on","wiper on gte 1","h0v0",11,"hard","M","H","H","WHAT_Qn",58.43,57.57,44.53,-1,429,null,null,null,3,"4",1,83,97,94,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc6-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HEH-fcs_WHAT_Ql-bsln_14.48)9.40)41.31_t-cntrQ_295",6,"suspension force","gps on","heating on gte 1","h0v0",3,"easy","H","E","H","WHAT_Ql",14.48,null,41.31,1,295,null,null,null,3,"5",0,20,7,54,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc63-eG-gO-qry_fC_gte_104.45-flips_h0v0-nMasks_5-dMask_medium-dCmplx_EEM-fcs_WHAT_Ql-bsln_67.81)70.35)26.04_f-cntrQ_361",63,"engine temperature","gps on","fuel consumption gte 104.45","h0v0",5,"medium","E","E","M","WHAT_Ql",67.81,70.35,26.04,-1,361,null,null,null,2,"0",2,43,50,92,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc22-eC-rO-qry_wO_gte_1-flips_h0v0-nMasks_12-dMask_hard-dCmplx_MHM-fcs_WHAT_Ql-bsln_12.76)18.11)34.98_t-cntrQ_447",22,"electricity consumption","radio on","wiper on gte 1","h0v0",12,"hard","M","H","M","WHAT_Ql",12.76,18.11,34.98,1,447,null,null,null,1,"4",4,61,77,58,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc1-eC-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_42.49)44.74)38.67_t-cntrQ_298",1,"electricity consumption","gps on","heating on gte 1","h0v0",4,"easy","E","E","E","WHERE",42.49,44.74,38.67,1,298,null,null,null,2,"0",1,74,17,29,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc4-sF-gO-qry_fC_gte_104.37-flips_h0v0-nMasks_6-dMask_medium-dCmplx_HEE-fcs_WHERE-bsln_39.52)40.59)29.29_t-cntrQ_385",4,"suspension force","gps on","fuel consumption gte 104.37","h0v0",6,"medium","H","E","E","WHERE",39.52,40.59,29.29,1,385,null,null,null,3,"0",2,28,34,9,0
"R_54p6NumSzPfnYuW","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc4-sF-gO-qry_rO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_HEE-fcs_WHERE-bsln_43.62)43.61)35.28_t-cntrQ_466",4,"suspension force","gps on","radio on gte 1","h0v0",9,"hard","H","E","E","WHERE",43.62,43.61,35.28,1,466,null,null,null,4,"1",2,84,78,99,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc47-sF-wO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_MMH-fcs_WHAT_Qn-bsln_41.44)47.87)33.42_f-cntrQ_266",47,"suspension force","wiper on","radio on gte 1","h0v0",4,"easy","M","M","H","WHAT_Qn",41.44,47.87,33.42,-1,266,null,null,null,3,"4",0,72,44,96,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc54-sF-rO-qry_eT_gte_87.52-flips_h0v0-nMasks_5-dMask_medium-dCmplx_EHM-fcs_WHAT_Qn-bsln_61.45)51.33)20.38_t-cntrQ_336",54,"suspension force","radio on","engine temperature gte 87.52","h0v0",5,"medium","E","H","M","WHAT_Qn",61.45,51.33,20.38,1,336,null,null,null,1,"5",2,15,78,96,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc61-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_MEM-fcs_WHAT_Qn-bsln_53.43)55.66)39.04_f-cntrQ_418",61,"electricity consumption","gps on","radio on gte 1","h0v0",9,"hard","M","E","M","WHAT_Qn",53.43,55.66,39.04,-1,418,null,null,null,3,"0",3,69,52,98,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc59-eC-rO-qry_gO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_MMM-fcs_WHAT_Ql-bsln_20)54.06)18.89_t-cntrQ_284",59,"electricity consumption","radio on","gps on gte 1","h0v0",2,"easy","M","M","M","WHAT_Ql",20,54.06,18.89,1,284,null,null,null,4,"2",4,37,18,0,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc68-fC-gO-qry_eT_gte_81.82-flips_h0v0-nMasks_7-dMask_medium-dCmplx_EME-fcs_WHAT_Ql-bsln_63.63)42.57)43.56_t-cntrQ_353",68,"fuel consumption","gps on","engine temperature gte 81.82","h0v0",7,"medium","E","M","E","WHAT_Ql",63.63,42.57,43.56,1,353,null,null,null,0,"4",3,76,88,3,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc67-eC-wO-qry_gO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_HHH-fcs_WHAT_Ql-bsln_54.47)38.74)35.07_t-cntrQ_459",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","H","H","WHAT_Ql",54.47,38.74,35.07,1,459,null,null,null,2,"1",4,75,75,17,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc34-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EHH-fcs_WHERE-bsln_71.89)74.21)56.75_f-cntrQ_318",34,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","E","H","H","WHERE",71.89,74.21,56.75,-1,318,null,null,null,0,"4",5,63,46,13,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc47-sF-wO-qry_eT_gte_88.15-flips_h0v0-nMasks_5-dMask_medium-dCmplx_MMH-fcs_WHERE-bsln_48.08)66.00)12.63_t-cntrQ_401",47,"suspension force","wiper on","engine temperature gte 88.15","h0v0",5,"medium","M","M","H","WHERE",48.08,66,12.63,1,401,null,null,null,3,"5",4,8,76,96,0
"R_0v6sKWrdYIb6z42","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc47-sF-wO-qry_gO_gte_1-flips_h0v0-nMasks_13-dMask_hard-dCmplx_MMH-fcs_WHERE-bsln_63.82)64.81)49.83_t-cntrQ_482",47,"suspension force","wiper on","gps on gte 1","h0v0",13,"hard","M","M","H","WHERE",63.82,64.81,49.83,1,482,null,null,null,4,"1",2,12,43,100,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc3-sF-rO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HMM-fcs_WHAT_Qn-bsln_57.07)50.75)47.38_f-cntrQ_260",3,"suspension force","radio on","heating on gte 1","h0v0",4,"easy","H","M","M","WHAT_Qn",57.07,50.75,47.38,-1,260,null,null,null,0,"5",2,82,93,72,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc39-eG-wO-qry_sF_gte_101.81-flips_h0v0-nMasks_5-dMask_medium-dCmplx_HME-fcs_WHAT_Qn-bsln_49.99)52.51)28.99_f-cntrQ_332",39,"engine temperature","wiper on","suspension force gte 101.81","h0v0",5,"medium","H","M","E","WHAT_Qn",49.99,52.51,28.99,-1,332,null,null,null,5,"5",5,89,24,42,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc67-eC-wO-qry_gO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_HHH-fcs_WHAT_Qn-bsln_49.93)52.57)35.07_f-cntrQ_432",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","H","H","WHAT_Qn",49.93,52.57,35.07,-1,432,null,null,null,5,"5",0,20,17,98,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc4-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HEE-fcs_WHAT_Ql-bsln_12.29)8.71)48.77_f-cntrQ_277",4,"suspension force","gps on","heating on gte 1","h0v0",3,"easy","H","E","E","WHAT_Ql",12.29,null,48.77,-1,277,null,null,null,2,"4",3,27,94,18,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc69-eG-rO-qry_sF_gte_106.47-flips_h0v0-nMasks_5-dMask_medium-dCmplx_MEE-fcs_WHAT_Ql-bsln_63.33)49.34)7.83_f-cntrQ_355",69,"engine temperature","radio on","suspension force gte 106.47","h0v0",5,"medium","M","E","E","WHAT_Ql",63.33,49.34,null,-1,355,null,null,null,3,"1",4,85,83,57,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc41-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_15-dMask_hard-dCmplx_HEM-fcs_WHAT_Ql-bsln_42.65)41.24)42.43_f-cntrQ_448",41,"engine temperature","radio on","gps on gte 1","h0v0",15,"hard","H","E","M","WHAT_Ql",42.65,41.24,42.43,-1,448,null,null,null,4,"0",1,6,63,36,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc47-sF-wO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_MMH-fcs_WHERE-bsln_74.56)64.81)35.68_t-cntrQ_320",47,"suspension force","wiper on","radio on gte 1","h0v0",4,"easy","M","M","H","WHERE",74.56,64.81,35.68,1,320,null,null,null,5,"2",2,21,63,54,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc33-eG-gO-qry_fC_gte_105.42-flips_h0v0-nMasks_6-dMask_medium-dCmplx_HHE-fcs_WHERE-bsln_13.44)14.76)25.10_t-cntrQ_387",33,"engine temperature","gps on","fuel consumption gte 105.42","h0v0",6,"medium","H","H","E","WHERE",13.44,14.76,25.1,1,387,null,null,null,4,"2",0,31,2,56,0
"R_6ih6LaqadDzznxQ","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","0","idc61-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_MEM-fcs_WHERE-bsln_58.46)59.60)36.29_t-cntrQ_472",61,"electricity consumption","gps on","radio on gte 1","h0v0",9,"hard","M","E","M","WHERE",58.46,59.6,36.29,1,472,null,null,null,1,"1",2,92,62,74,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc33-eG-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HHE-fcs_WHAT_Qn-bsln_50.71)53.09)15.04_t-cntrQ_252",33,"engine temperature","gps on","radio on gte 1","h0v0",4,"easy","H","H","E","WHAT_Qn",50.71,53.09,15.04,1,252,null,null,null,1,"0",0,10,47,34,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc34-sF-gO-qry_eT_gte_88.76-flips_h0v0-nMasks_5-dMask_medium-dCmplx_EHH-fcs_WHAT_Qn-bsln_26.43)42.23)9.28_t-cntrQ_345",34,"suspension force","gps on","engine temperature gte 88.76","h0v0",5,"medium","E","H","H","WHAT_Qn",26.43,42.23,null,1,345,null,null,null,5,"2",3,95,86,29,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc41-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_15-dMask_hard-dCmplx_HEM-fcs_WHAT_Qn-bsln_54.04)50.18)42.43_f-cntrQ_421",41,"engine temperature","radio on","gps on gte 1","h0v0",15,"hard","H","E","M","WHAT_Qn",54.04,50.18,42.43,-1,421,null,null,null,3,"3",2,70,88,85,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc34-sF-gO-qry_wO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EHH-fcs_WHAT_Ql-bsln_31.01)32.81)57.89_t-cntrQ_291",34,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","E","H","H","WHAT_Ql",31.01,32.81,57.89,1,291,null,null,null,3,"0",4,79,48,91,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc38-eC-wO-qry_eT_gte_92.70-flips_h0v0-nMasks_5-dMask_medium-dCmplx_MEH-fcs_WHAT_Ql-bsln_73.68)61.99)3.32_t-cntrQ_373",38,"electricity consumption","wiper on","engine temperature gte 92.70","h0v0",5,"medium","M","E","H","WHAT_Ql",73.68,61.99,null,1,373,null,null,null,2,"0",4,39,73,97,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc59-eC-rO-qry_wO_gte_1-flips_h0v0-nMasks_14-dMask_hard-dCmplx_MMM-fcs_WHAT_Ql-bsln_53.6)54.06)36.33_t-cntrQ_446",59,"electricity consumption","radio on","wiper on gte 1","h0v0",14,"hard","M","M","M","WHAT_Ql",53.6,54.06,36.33,1,446,null,null,null,0,"1",3,14,51,7,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc33-eG-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HHE-fcs_WHERE-bsln_36.47)37.04)16.15_t-cntrQ_306",33,"engine temperature","gps on","radio on gte 1","h0v0",4,"easy","H","H","E","WHERE",36.47,37.04,16.15,1,306,null,null,null,5,"4",5,24,27,28,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc72-fC-gO-qry_eT_gte_87.63-flips_h0v0-nMasks_6-dMask_medium-dCmplx_EMH-fcs_WHERE-bsln_87.91)85.88)14.67_t-cntrQ_398",72,"fuel consumption","gps on","engine temperature gte 87.63","h0v0",6,"medium","E","M","H","WHERE",87.91,85.88,14.67,1,398,null,null,null,5,"4",0,1,57,1,0
"R_bKFT3fpVuwMI9y6","100","01/06/2021 14:18","01/06/2021 14:18","01/06/2021 14:18","True","1","idc69-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_MEE-fcs_WHERE-bsln_32.15)31.28)44.84_t-cntrQ_463",69,"engine temperature","radio on","gps on gte 1","h0v0",9,"hard","M","E","E","WHERE",32.15,31.28,44.84,1,463,null,null,null,1,"3",0,54,31,28,0
"R_3HZZ9Qx3sEym9VQ","100","01/06/2021 14:40","01/06/2021 14:29","01/06/2021 14:40","True","631","idc64-eG-gO-qry_fC_gte_109.85-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEH-fcs_WHAT_Qn-bsln_55.94)51.26)3.79_f-cntrQ_262",64,"engine temperature","gps on","fuel consumption gte 109.85","h0v0",4,"easy","E","E","H","WHAT_Qn",55.94,51.26,null,-1,262,null,null,null,2,"4",4,40,60,5,0
"R_3HZZ9Qx3sEym9VQ","100","01/06/2021 14:40","01/06/2021 14:29","01/06/2021 14:40","True","631","idc2-sF-wO-qry_eT_gte_76.54-flips_h0v0-nMasks_6-dMask_medium-dCmplx_HHM-fcs_WHAT_Qn-bsln_51.65)52.04)65.04_f-cntrQ_342",2,"suspension force","wiper on","engine temperature gte 76.54","h0v0",6,"medium","H","H","M","WHAT_Qn",51.65,52.04,65.04,-1,342,null,null,null,3,"4",4,61,52,60,0
