StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",20,"electricity consumption","radio on","gps on gte 1","h0v0",2,"easy","M","H","H","WHAT_Qn",40.22,34.48,75.1,-1,267,"M","WHAT_Qn_M_E","M_E","0","40.189","48",-7.780000000000001,"46",-11.520000000000003,"45",30.099999999999994,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",34,"suspension force","gps on","wiper on gte 1","h0v0",10,"medium","E","H","H","WHAT_Qn",43.83,48.94,59.13,-1,345,"E","WHAT_Qn_E_M","E_M","0","22.578","47",-3.1700000000000017,"50",-1.0600000000000023,"57",2.1300000000000026,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",68,"fuel consumption","gps on","wiper on gte 1","h0v0",13,"hard","E","M","E","WHAT_Qn",25.89,29.26,53.46,-1,407,"E","WHAT_Qn_E_H","E_H","0","52.458","41",-15.11,"44",-14.739999999999998,"45",8.46,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",6,"suspension force","gps on","radio on gte 1","h0v0",5,"easy","H","E","H","WHAT_Ql",86.29,92.29,94,-1,295,"E","WHAT_Ql_E_E","E_E","0","23.324","57",29.290000000000006,"30",62.290000000000006,"59",35,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",41,"engine temperature","radio on","wiper on gte 1","h0v0",11,"medium","H","E","M","WHAT_Ql",38.42,77.31,52.31,-1,367,"E","WHAT_Ql_E_M","E_M","0","19.147","60",-21.58,"62",15.310000000000002,"57",-4.689999999999998,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",22,"electricity consumption","radio on","wiper on gte 1","h0v0",15,"hard","M","H","M","WHAT_Ql",8.72,14.83,62.3,-1,447,"H","WHAT_Ql_H_H","H_H","0","28.553","47",-38.28,"44",-29.17,"39",23.299999999999997,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",64,"engine temperature","gps on","wiper on gte 1","h0v0",3,"easy","E","E","H","WHERE",67.25,74.15,60.28,1,316,"H","WHERE_H_E","H_E","0","20.175","44",23.25,"46",28.150000000000006,"38",22.28,"Agree",1,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",12,"medium","E","E","E","WHERE",41.4,42.34,51.49,-1,379,"E","WHERE_E_M","E_M","0","17.68","72",-30.6,"76",-33.66,"83",-31.509999999999998,"Agree",0,"0","0","0"
"28/08/2021 16:00","28/08/2021 16:07","IP Address","176.78.136.244","100","446","True","28/08/2021 16:07","R_1oGULXI2bJqM3vm","38.83329773","-9.165298462","anonymous","EN",72,"fuel consumption","gps on","wiper on gte 1","h0v0",13,"hard","E","M","H","WHERE",87.54,85.88,62.39,-1,479,"H","WHERE_H_H","H_H","0","23.285","25",62.540000000000006,"59",26.879999999999995,"29",33.39,"Agree",0,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",69,"engine temperature","radio on","heating on gte 1","h0v0",3,"easy","M","E","E","WHAT_Qn",52.4,58.12,16.18,-1,247,"M","WHAT_Qn_M_E","M_E","0","48.657","75",-22.6,"54",4.119999999999997,"63",-46.82,"Agree",0,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",54,"suspension force","radio on","wiper on gte 1","h0v0",8,"medium","E","H","M","WHAT_Qn",59.99,64.78,68.28,1,336,"E","WHAT_Qn_E_M","E_M","0","80.656","67",-7.009999999999998,"49",15.780000000000001,"20",48.28,"Agree",1,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",32,"suspension force","radio on","wiper on gte 1","h0v0",14,"hard","E","M","M","WHAT_Qn",45.26,48.76,59.34,1,416,"E","WHAT_Qn_E_H","E_H","0","65.043","76",-30.740000000000002,"69",-20.240000000000002,"79",-19.659999999999997,"Agree",1,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",63,"engine temperature","gps on","wiper on gte 1","h0v0",4,"easy","E","E","M","WHAT_Ql",15.6,15.83,77.06,-1,280,"E","WHAT_Ql_E_E","E_E","0","15.742","66",-50.4,"45",-29.17,"46",31.060000000000002,"Agree",0,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",68,"fuel consumption","gps on","wiper on gte 1","h0v0",10,"medium","E","M","E","WHAT_Ql",2.17,4.9,59.12,1,353,"M","WHAT_Ql_M_M","M_M","0","111.643","45",-42.83,"72",-67.1,"100",-40.88,"Agree",1,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",61,"electricity consumption","gps on","wiper on gte 1","h0v0",14,"hard","M","E","M","WHAT_Ql",23.27,54.74,53.07,1,445,"E","WHAT_Ql_E_H","E_H","0","59.816","79",-55.730000000000004,"85",-30.259999999999998,"72",-18.93,"Agree",1,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",31,"electricity consumption","gps on","radio on gte 1","h0v0",3,"easy","M","H","E","WHERE",41.58,41.95,81.48,-1,303,"E","WHERE_E_E","E_E","0","79.464","81",-39.42,"64",-22.049999999999997,"100",-18.519999999999996,"Agree",0,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",63,"engine temperature","gps on","wiper on gte 1","h0v0",9,"medium","E","E","M","WHERE",56.84,57.51,61.9,-1,388,"M","WHERE_M_M","M_M","0","90.444","90",-33.16,"66",-8.490000000000002,"85",-23.1,"Agree",0,"0","0","0"
"28/08/2021 16:10","28/08/2021 16:31","IP Address","71.38.3.53","100","1275","True","28/08/2021 16:31","R_qxYd43n38AG9NCx","36.12359619","-115.2757034","anonymous","EN",33,"engine temperature","gps on","wiper on gte 1","h0v0",12,"hard","H","H","E","WHERE",14.1,14.76,66.14,1,468,"E","WHERE_E_H","E_H","0","33.197","64",-49.9,"70",-55.24,"54",12.14,"Agree",1,"0","0","0"
"28/08/2021 16:09","28/08/2021 16:33","IP Address","46.189.188.80","100","1476","True","28/08/2021 16:33","R_3JJciwW89cS7KBJ","38.73100281","-9.137298584","anonymous","EN",33,"engine temperature","gps on","radio on gte 1","h0v0",3,"easy","H","H","E","WHAT_Qn",66.01,51.81,54.54,1,252,"H","WHAT_Qn_H_E","H_E","5","108.662","57",9.010000000000005,"53",-1.1899999999999977,"45",9.54,"Disagree",0,"4","3","4"
"28/08/2021 16:09","28/08/2021 16:33","IP Address","46.189.188.80","100","1476","True","28/08/2021 16:33","R_3JJciwW89cS7KBJ","38.73100281","-9.137298584","anonymous","EN",41,"engine temperature","radio on","wiper on gte 1","h0v0",9,"medium","H","E","M","WHAT_Qn",27.48,26.9,72.4,-1,340,"H","WHAT_Qn_H_M","H_M","5","85.627","28",-0.5199999999999996,"30",-3.1000000000000014,"84",-11.599999999999994,"Disagree",1,"3","3","4"
"28/08/2021 16:09","28/08/2021 16:33","IP Address","46.189.188.80","100","1476","True","28/08/2021 16:33","R_3JJciwW89cS7KBJ","38.73100281","-9.137298584","anonymous","EN",72,"fuel consumption","gps on","wiper on gte 1","h0v0",13,"hard","E","M","H","WHAT_Qn",29.54,28.76,66.05,1,425,"E","WHAT_Qn_E_H","E_H","5","91.797","29",0.5399999999999991,"25",3.7600000000000016,"60",6.049999999999997,"Disagree",0,"4","3","4"
"28/08/2021 16:09","28/08/2021 16:33","IP Address","46.189.188.80","100","1476","True","28/08/2021 16:33","R_3JJciwW89cS7KBJ","38.73100281","-9.137298584","anonymous","EN",41,"engine temperature","radio on","gps on gte 1","h0v0",2,"easy","H","E","M","WHAT_Ql",12.96,77.31,12.96,1,286,"E","WHAT_Ql_E_E","E_E","0","71.555","12",0.9600000000000009,"78",-0.6899999999999977,"12",0.9600000000000009,"Neither agree nor disagree",0,"4","4","4"
"28/08/2021 16:09","28/08/2021 16:33","IP Address","46.189.188.80","100","1476","True","28/08/2021 16:33","R_3JJciwW89cS7KBJ","38.73100281","-9.137298584","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",10,"medium","M","M","M","WHAT_Ql",2.95,5.91,60.15,1,365,"M","WHAT_Ql_M_M","M_M","3","106.26","4",-1.0499999999999998,"7",-1.0899999999999999,"70",-9.850000000000001,"Disagree",0,"4","4","3"
