StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,33,engine temperature,gps on,radio on gte 1,h0v0,3,easy,E,E,E,WHAT_Qn,66.01,51.81,54.54,1,252,E,WHAT_Qn_E_E,E_E,5,108.662,57,9.01,53,-1.19,45,9.54,Disagree,0,4,3,4,0
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,41,engine temperature,radio on,wiper on gte 1,h0v0,9,medium,H,E,M,WHAT_Qn,27.48,26.9,72.4,-1,340,H,WHAT_Qn_H_M,H_M,5,85.627,28,-0.52,30,-3.1,84,-11.6,Disagree,1,3,3,4,1
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,72,fuel consumption,gps on,wiper on gte 1,h0v0,13,hard,E,M,H,WHAT_Qn,29.54,28.76,66.05,1,425,E,WHAT_Qn_E_H,E_H,5,91.797,29,0.54,25,3.76,60,6.05,Disagree,0,4,3,4,2
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,41,engine temperature,radio on,gps on gte 1,h0v0,2,easy,H,E,M,WHAT_Ql,12.96,77.31,12.96,1,286,E,WHAT_Ql_E_E,E_E,0,71.555,12,0.96,78,-0.69,12,0.96,Neither agree nor disagree,0,4,4,4,3
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,10,medium,M,M,M,WHAT_Ql,2.95,5.91,60.15,1,365,M,WHAT_Ql_M_M,M_M,3,106.26,4,-1.05,7,-1.09,70,-9.85,Disagree,0,4,4,3,4
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,38,electricity consumption,wiper on,heating on gte 1,h0v0,13,hard,M,E,H,WHAT_Ql,43.47,67.13,74.55,-1,454,E,WHAT_Ql_E_H,E_H,4,99.631,80,-36.53,78,-10.87,91,-16.45,Agree,0,4,4,4,5
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,14,engine temperature,gps on,radio on gte 1,h0v0,3,easy,M,M,E,WHERE,7.44,7.67,85.37,-1,302,E,WHERE_E_E,E_E,5,76.986,6,1.44,10,-2.33,95,-9.63,Agree,0,5,1,4,6
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,34,suspension force,gps on,wiper on gte 1,h0v0,9,medium,E,H,H,WHERE,77.84,76.94,63.38,-1,399,H,WHERE_H_M,H_M,5,123.53,20,57.84,80,-3.06,60,3.38,Agree,0,3,0,4,7
28/08/2021 16:09,28/08/2021 16:33,IP Address,46.189.188.80,100,1476,True,28/08/2021 16:33,R_3JJciwW89cS7KBJ,38.73100281,-9.137298584,anonymous,EN,39,engine temperature,wiper on,heating on gte 1,h0v0,15,hard,H,M,E,WHERE,28.3,28.34,47.79,1,467,E,WHERE_E_H,E_H,5,105.752,28,0.3,46,-17.66,85,-37.21,Disagree,0,3,0,4,8
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,31,electricity consumption,gps on,radio on gte 1,h0v0,3,easy,M,H,E,WHAT_Qn,27.63,26.9,86.05,-1,249,M,WHAT_Qn_M_E,M_E,5,179.761,30,-2.37,25,1.9,82,4.05,Disagree,1,4,4,4,9
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,31,electricity consumption,gps on,wiper on gte 1,h0v0,10,medium,M,H,E,WHAT_Qn,30.63,26.9,60.83,-1,330,M,WHAT_Qn_M_M,M_M,4,71.283,30,0.63,22,4.9,57,3.83,Disagree,1,3,3,4,10
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,63,engine temperature,gps on,wiper on gte 1,h0v0,12,hard,E,E,M,WHAT_Qn,54.96,54.56,62.87,-1,415,E,WHAT_Qn_E_H,E_H,4,125.86,25,29.96,40,14.56,55,7.87,Disagree,1,2,3,4,11
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,69,engine temperature,radio on,heating on gte 1,h0v0,3,easy,M,E,E,WHAT_Ql,16.46,72.83,16.46,1,274,E,WHAT_Ql_E_E,E_E,3,137.373,18,-1.54,71,1.83,18,-1.54,Agree,1,4,4,4,12
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,72,fuel consumption,gps on,wiper on gte 1,h0v0,11,medium,E,M,H,WHAT_Ql,52.5,94.78,57.72,-1,371,M,WHAT_Ql_M_M,M_M,3,72.383,40,12.5,91,3.78,48,9.72,Agree,0,3,4,4,13
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,3,suspension force,radio on,wiper on gte 1,h0v0,13,hard,H,M,M,WHAT_Ql,44.91,88.41,50,-1,449,M,WHAT_Ql_M_H,M_H,5,246.324,41,3.91,80,8.41,50,0,Neither agree nor disagree,0,3,4,3,14
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,2,easy,H,H,H,WHERE,55.16,59.43,39.73,-1,324,H,WHERE_H_E,H_E,5,127.62,20,35.16,40,19.43,39,0.73,Agree,0,3,2,4,15
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,10,medium,E,H,E,WHERE,36.14,37.82,68.9,-1,381,E,WHERE_E_M,E_M,3,145.731,15,21.14,30,7.82,80,-11.1,Agree,0,1,2,4,16
28/08/2021 16:06,28/08/2021 16:35,IP Address,132.235.96.1,100,1721,True,28/08/2021 16:35,R_2sZsL7412DFJGBf,39.31840515,-82.10119629,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h0v0,13,hard,H,M,H,WHERE,63.14,56.63,46.84,1,485,H,WHERE_H_H,H_H,4,63.063,30,33.14,46,10.63,45,1.84,Disagree,0,3,3,4,17
28/08/2021 16:01,28/08/2021 16:38,IP Address,66.183.239.118,100,2209,True,28/08/2021 16:38,R_1lh3Vj5kkbbZq4k,49.13780212,-122.8520966,anonymous,EN,4,suspension force,gps on,radio on gte 1,h0v0,3,easy,H,E,E,WHAT_Qn,65.95,67.04,95.36,-1,250,H,WHAT_Qn_H_E,H_E,3,177.922,39,26.95,32,35.04,96,-0.64,Agree,0,3,2,3,18
28/08/2021 16:01,28/08/2021 16:38,IP Address,66.183.239.118,100,2209,True,28/08/2021 16:38,R_1lh3Vj5kkbbZq4k,49.13780212,-122.8520966,anonymous,EN,12,suspension force,gps on,wiper on gte 1,h0v0,8,medium,H,M,H,WHAT_Qn,74.89,67.07,59.4,1,350,H,WHAT_Qn_H_M,H_M,2,107.273,35,39.89,27,40.07,47,12.4,Agree,1,3,2,3,19
28/08/2021 16:01,28/08/2021 16:38,IP Address,66.183.239.118,100,2209,True,28/08/2021 16:38,R_1lh3Vj5kkbbZq4k,49.13780212,-122.8520966,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,13,hard,E,E,E,WHAT_Qn,27.6,28.74,56.96,1,406,E,WHAT_Qn_E_H,E_H,2,130.239,16,11.6,20,8.74,61,-4.04,Agree,1,3,3,3,20
28/08/2021 16:01,28/08/2021 16:38,IP Address,66.183.239.118,100,2209,True,28/08/2021 16:38,R_1lh3Vj5kkbbZq4k,49.13780212,-122.8520966,anonymous,EN,14,engine temperature,gps on,radio on gte 1,h0v0,3,easy,M,M,E,WHAT_Ql,14.31,15.56,86.51,1,275,M,WHAT_Ql_M_E,M_E,3,186.628,87,-72.69,23,-7.44,77,9.51,Agree,1,4,3,3,21
28/08/2021 16:01,28/08/2021 16:38,IP Address,66.183.239.118,100,2209,True,28/08/2021 16:38,R_1lh3Vj5kkbbZq4k,49.13780212,-122.8520966,anonymous,EN,47,suspension force,wiper on,heating on gte 1,h0v0,12,medium,M,M,H,WHAT_Ql,26.13,46.5,61.31,-1,374,M,WHAT_Ql_M_M,M_M,3,150.577,98,-71.87,50,-3.5,64,-2.69,Agree,0,3,2,2,22
